Date,AMG
2010-01-04,68.714967528909
2010-01-05,69.26364976092
2010-01-06,70.620391280073
2010-01-07,70.301157981449
2010-01-08,69.652715343618
2010-01-11,70.121589250973
2010-01-12,69.602835140708
2010-01-13,70.351038184359
2010-01-14,69.054152908697
2010-01-15,67.597650983723
2010-01-19,68.136357175152
2010-01-20,66.969160427057
2010-01-21,65.791987638379
2010-01-22,65.692227232559
2010-01-25,65.851843881871
2010-01-26,63.078504600071
2010-01-27,63.746899319066
2010-01-28,61.631978715679
2010-01-29,60.424877805256
2010-02-01,63.96637221187
2010-02-02,65.313137690442
2010-02-03,65.692227232559
2010-02-04,63.188241046473
2010-02-05,63.557354548008
2010-02-08,62.350253637584
2010-02-09,62.300373434674
2010-02-10,67.358226009755
2010-02-11,67.697411389544
2010-02-12,68.545374839015
2010-02-16,69.233721639174
2010-02-17,69.602835140708
2010-02-18,68.256069662136
2010-02-19,68.724943569491
2010-02-22,70.70019960473
2010-02-23,70.171469453883
2010-02-24,70.540582955417
2010-02-25,70.450798590179
2010-02-26,70.959576659862
2010-03-01,72.036989042719
2010-03-02,73.752868022826
2010-03-03,74.301550254836
2010-03-04,76.615991669864
2010-03-05,77.763236336795
2010-03-08,77.274410348276
2010-03-09,76.74568019743
2010-03-10,76.5960395887
2010-03-11,76.74568019743
2010-03-12,77.853020702033
2010-03-15,76.635943751028
2010-03-16,77.543763443991
2010-03-17,78.860600800817
2010-03-18,79.169858058859
2010-03-19,78.53139146161
2010-03-22,79.419259073409
2010-03-23,80.26722252288
2010-03-24,79.928037143092
2010-03-25,79.61877988505
2010-03-26,80.576479780923
2010-03-29,80.506647496849
2010-03-30,79.578875722722
2010-03-31,78.810720597907
2010-04-01,81.065305769442
2010-04-05,82.272406679865
2010-04-06,83.479507590289
2010-04-07,82.332262923357
2010-04-08,80.905689120129
2010-04-09,81.095233891188
2010-04-12,80.247270441716
2010-04-13,81.025401607114
2010-04-14,82.701376424892
2010-04-15,83.798740888913
2010-04-16,82.59163997849
2010-04-19,82.092837949389
2010-04-20,82.970729520606
2010-04-21,83.599220077273
2010-04-22,84.37735124267
2010-04-23,85.185410529813
2010-04-26,82.342238963939
2010-04-27,81.10520993177
2010-04-28,83.220130535156
2010-04-29,86.841433266427
2010-04-30,83.97830961939
2010-05-03,85.125554286321
2010-05-04,83.559315914945
2010-05-05,80.875760998383
2010-05-06,77.613595728065
2010-05-07,73.912484672138
2010-05-10,79.698588209706
2010-05-11,78.820696638489
2010-05-12,80.795952673727
2010-05-13,79.648708006796
2010-05-14,76.935224968488
2010-05-17,76.755656238012
2010-05-18,74.092053402614
2010-05-19,74.830280405683
2010-05-20,71.119193309174
2010-05-21,72.715359802296
2010-05-24,69.872188236422
2010-05-25,69.233721639174
2010-05-26,69.453194531978
2010-05-27,73.503467008275
2010-05-28,71.478330770127
2010-06-01,68.575302960761
2010-06-02,70.879768335206
2010-06-03,70.859816254042
2010-06-04,68.02662072875
2010-06-07,65.911700125363
2010-06-08,66.430454235628
2010-06-09,65.20340124404
2010-06-10,67.886956160602
2010-06-11,68.365806108538
2010-06-14,67.238513522771
2010-06-15,68.934440421713
2010-06-16,69.971948642243
2010-06-17,70.001876763989
2010-06-18,69.582883059544
2010-06-21,70.430846509015
2010-06-22,68.924464381131
2010-06-23,68.07650093166
2010-06-24,65.093664797638
2010-06-25,66.759663574834
2010-06-28,65.772035557215
2010-06-29,61.641954756261
2010-06-30,60.624398616896
2010-07-01,59.55696227462
2010-07-02,60.265261155943
2010-07-06,59.816339329753
2010-07-07,62.440038002822
2010-07-08,64.225749267003
2010-07-09,65.522634542665
2010-07-12,64.85423982367
2010-07-13,66.909304183564
2010-07-14,66.071316774675
2010-07-15,64.75447941785
2010-07-16,62.519846327479
2010-07-19,62.050972420124
2010-07-20,62.759271301447
2010-07-21,61.203008970653
2010-07-22,63.946420130706
2010-07-23,65.791987638379
2010-07-26,68.954392502877
2010-07-27,73.174257669069
2010-07-28,72.116797367375
2010-07-29,71.34864224256
2010-07-30,70.660295442402
2010-08-02,72.68543168055
2010-08-03,72.166677570286
2010-08-04,72.974736857429
2010-08-05,72.795168126952
2010-08-06,72.206581732614
2010-08-09,73.363802440127
2010-08-10,71.647923460021
2010-08-11,68.794775853565
2010-08-12,68.465566514359
2010-08-13,68.086476972242
2010-08-16,67.97674052584
2010-08-17,69.273625801502
2010-08-18,68.934440421713
2010-08-19,67.857028038856
2010-08-20,68.046572809914
2010-08-23,66.949208345892
2010-08-24,64.973952310654
2010-08-25,64.95400022949
2010-08-26,65.602442867321
2010-08-27,66.83947189949
2010-08-30,64.654719012029
2010-08-31,64.056156577109
2010-09-01,67.996692607004
2010-09-02,69.223745598592
2010-09-03,71.578091175947
2010-09-07,71.238905796158
2010-09-08,71.917276555735
2010-09-09,72.266437976106
2010-09-10,72.68543168055
2010-09-13,75.977525072615
2010-09-14,75.768028220392
2010-09-15,76.755656238012
2010-09-16,76.566111466953
2010-09-17,77.813116539705
2010-09-20,79.648708006796
2010-09-21,77.354218672933
2010-09-22,75.967549032033
2010-09-23,74.920064770921
2010-09-24,78.760840394996
2010-09-27,77.523811362827
2010-09-28,78.78079247616
2010-09-29,77.304338470022
2010-09-30,77.823092580287
2010-10-01,79.548947600976
2010-10-04,78.880552881981
2010-10-05,82.352215004521
2010-10-06,82.232502517537
2010-10-07,82.801136830712
2010-10-08,82.920849317696
2010-10-11,83.349819062723
2010-10-12,84.137926268702
2010-10-13,86.053326060448
2010-10-14,85.215338651559
2010-10-15,85.574476112512
