Date,ADS
2010-01-04,65.282648531966
2010-01-05,65.411450236461
2010-01-06,65.738408409409
2010-01-07,66.342785638192
2010-01-08,67.056148924624
2010-01-11,67.125503688582
2010-01-12,66.025735288666
2010-01-13,66.005919641821
2010-01-14,66.07527440578
2010-01-15,65.034952946399
2010-01-19,66.630112517449
2010-01-20,66.511218636377
2010-01-21,63.241636906896
2010-01-22,60.754773227806
2010-01-25,59.694636121581
2010-01-26,59.863069119766
2010-01-27,60.001778647683
2010-01-28,59.397401418901
2010-01-29,58.91191807119
2010-02-01,60.457538525126
2010-02-02,60.893482755724
2010-02-03,54.195794121999
2010-02-04,52.561003257259
2010-02-05,54.79026352736
2010-02-08,55.315378168761
2010-02-09,54.483121001257
2010-02-10,53.680587304021
2010-02-11,54.106623711195
2010-02-12,53.363536954495
2010-02-16,53.680587304021
2010-02-17,53.49233865899
2010-02-18,54.819986997628
2010-02-19,56.355699628141
2010-02-22,56.623210860553
2010-02-23,55.463995520101
2010-02-24,55.870216280431
2010-02-25,55.563073754328
2010-02-26,54.928973055277
2010-03-01,55.6819676354
2010-03-02,56.57367174344
2010-03-03,57.950859199191
2010-03-04,58.604775545087
2010-03-05,59.80362217923
2010-03-08,59.645097004467
2010-03-09,60.318828997209
2010-03-10,61.14117834129
2010-03-11,62.122052860135
2010-03-12,62.171591977248
2010-03-15,63.509148139308
2010-03-16,65.07458424009
2010-03-17,65.579883234646
2010-03-18,64.549469598689
2010-03-19,63.47942466904
2010-03-22,63.687488960916
2010-03-23,63.984723663596
2010-03-24,63.707304607762
2010-03-25,63.984723663596
2010-03-26,63.528963786154
2010-03-29,63.796475018566
2010-03-30,63.410069905082
2010-03-31,63.400162081659
2010-04-01,63.697396784339
2010-04-05,64.390944423926
2010-04-06,65.361911119347
2010-04-07,65.143939004049
2010-04-08,64.212603602318
2010-04-09,64.361220953658
2010-04-12,64.281958366276
2010-04-13,64.18288013205
2010-04-14,66.640020340872
2010-04-15,66.70937510483
2010-04-16,66.253615227388
2010-04-19,66.590481223758
2010-04-20,67.630802683139
2010-04-21,67.581263566025
2010-04-22,72.83240998004
2010-04-23,76.032636945562
2010-04-26,75.606600538387
2010-04-27,74.298767846595
2010-04-28,74.070887907873
2010-04-29,74.932868545646
2010-04-30,74.368122610554
2010-05-03,76.646921997767
2010-05-04,75.794849183418
2010-05-05,74.9130528988
2010-05-06,71.425499054021
2010-05-07,70.840937472083
2010-05-10,75.279642365439
2010-05-11,75.755217889727
2010-05-12,77.261207049973
2010-05-13,76.131715179789
2010-05-14,69.285409194724
2010-05-17,70.157297655919
2010-05-18,68.978266668622
2010-05-19,69.701537778476
2010-05-20,68.106378207427
2010-05-21,69.166515313652
2010-05-24,69.424118722642
2010-05-25,68.60176937856
2010-05-26,68.770202376746
2010-05-27,71.207526938722
2010-05-28,70.008680304579
2010-06-01,67.700157447097
2010-06-02,69.770892542435
2010-06-03,71.465130347712
2010-06-04,67.977576502932
2010-06-07,65.451081530151
2010-06-08,65.976196171553
2010-06-09,65.629422351759
2010-06-10,66.877808103016
2010-06-11,68.7503867299
2010-06-14,67.828959151592
2010-06-15,69.800616012703
2010-06-16,70.404993241486
2010-06-17,70.246468066723
2010-06-18,69.850155129816
2010-06-21,68.403612910107
2010-06-22,65.887025760749
2010-06-23,66.352693461614
2010-06-24,64.945782535595
2010-06-25,63.310991670855
2010-06-28,62.577812737577
2010-06-29,59.050627599107
2010-06-30,58.971365011726
2010-07-01,58.971365011726
2010-07-02,55.186576464266
2010-07-06,54.126439358041
2010-07-07,55.295562521916
2010-07-08,56.058464925461
2010-07-09,57.663532319934
2010-07-12,55.553165930905
2010-07-13,58.178739137912
2010-07-14,58.218370431603
2010-07-15,58.267909548716
2010-07-16,55.364917285874
2010-07-19,56.325976157873
2010-07-20,56.672749977667
2010-07-21,56.732196918203
2010-07-22,55.206392111112
2010-07-23,56.137727512843
2010-07-26,58.040029609995
2010-07-27,58.099476550531
2010-07-28,57.693255790202
2010-07-29,57.039339444305
2010-07-30,56.950169033501
2010-08-02,58.555236427974
2010-08-03,58.485881664015
2010-08-04,60.368368114322
2010-08-05,60.556616759353
2010-08-06,60.853851462033
2010-08-09,63.29117602401
2010-08-10,60.526893289085
2010-08-11,57.772518377583
2010-08-12,57.326666323563
2010-08-13,57.534730615439
2010-08-16,56.543948273172
2010-08-17,59.100166716221
2010-08-18,58.50569731086
2010-08-19,56.712381271357
2010-08-20,56.068372748884
2010-08-23,55.483811166946
2010-08-24,53.740034244557
2010-08-25,54.423674060721
2010-08-26,54.245333239113
2010-08-27,56.801551682161
2010-08-30,56.207082276801
2010-08-31,55.672059811977
2010-09-01,58.882194600922
2010-09-02,60.031502117951
2010-09-03,60.437722878281
2010-09-07,58.76330071985
2010-09-08,58.783116366695
2010-09-09,60.734957580961
2010-09-10,61.190717458404
2010-09-13,63.310991670855
2010-09-14,62.29048585832
2010-09-15,63.172282142938
2010-09-16,62.458918856505
2010-09-17,62.716522265495
2010-09-20,63.994631487019
2010-09-21,62.845323969989
2010-09-22,62.73633791234
2010-09-23,61.973435508795
2010-09-24,64.747626067142
2010-09-27,66.41214040215
2010-09-28,65.887025760749
2010-09-29,65.708684939141
2010-09-30,64.658455656338
2010-10-01,65.104307710358
2010-10-04,62.835416146567
2010-10-05,64.440483541039
2010-10-06,63.519055962731
2010-10-07,63.489332492463
2010-10-08,63.955000193328
2010-10-11,64.163064485204
2010-10-12,65.560067587801
2010-10-13,67.620894859716
2010-10-14,68.116286030849
2010-10-15,67.719973093943
