Date,AMT
2010-01-04,39.212730070793
2010-01-05,39.862365727742
2010-01-06,40.069888229267
2010-01-07,39.961615619775
2010-01-08,40.042820076894
2010-01-11,39.681911378589
2010-01-12,39.194684635878
2010-01-13,40.024774641979
2010-01-14,40.250342578419
2010-01-15,39.699956813504
2010-01-19,39.871388445199
2010-01-20,39.997706489606
2010-01-21,39.681911378589
2010-01-22,38.057822236219
2010-01-25,38.978139416895
2010-01-26,38.382640064693
2010-01-27,38.490912674184
2010-01-28,38.184140280625
2010-01-29,38.301435607574
2010-02-01,38.869866807404
2010-02-02,38.824753220116
2010-02-03,38.608208001133
2010-02-04,37.011187011135
2010-02-05,36.181097005035
2010-02-08,36.695391900119
2010-02-09,37.399163861813
2010-02-10,37.525481906219
2010-02-11,38.364594629777
2010-02-12,38.454821804354
2010-02-16,39.122502896217
2010-02-17,39.438298007234
2010-02-18,39.14957104859
2010-02-19,39.627775073844
2010-02-22,39.501457029437
2010-02-23,38.626253436048
2010-02-24,38.454821804354
2010-02-25,38.617230718591
2010-02-26,38.490912674184
2010-03-01,38.73452604554
2010-03-02,38.599185283675
2010-03-03,38.779639632828
2010-03-04,38.761594197913
2010-03-05,39.167616483505
2010-03-08,38.301435607574
2010-03-09,38.698435175709
2010-03-10,38.896934959777
2010-03-11,39.248820940624
2010-03-12,39.140548331132
2010-03-15,39.104457461302
2010-03-16,39.934547467402
2010-03-17,39.925524749945
2010-03-18,39.708979530962
2010-03-19,39.961615619775
2010-03-22,39.925524749945
2010-03-23,40.214251708588
2010-03-24,40.124024534012
2010-03-25,38.310458325032
2010-03-26,37.579618210965
2010-03-29,38.590162566218
2010-03-30,38.599185283675
2010-03-31,38.445799086896
2010-04-01,38.527003544015
2010-04-05,39.086412026387
2010-04-06,38.626253436048
2010-04-07,37.742027125202
2010-04-08,37.922481474354
2010-04-09,38.454821804354
2010-04-12,38.211208432998
2010-04-13,38.030754083846
2010-04-14,37.994663214015
2010-04-15,37.922481474354
2010-04-16,37.868345169609
2010-04-19,37.480368318931
2010-04-20,38.057822236219
2010-04-21,37.913458756897
2010-04-22,38.048799518761
2010-04-23,38.229253867913
2010-04-26,37.769095277575
2010-04-27,37.119459620627
2010-04-28,36.80366450961
2010-04-29,37.038255163508
2010-04-30,36.821709944525
2010-05-03,37.245777665033
2010-05-04,37.002164293678
2010-05-05,36.884868966729
2010-05-06,36.117937982831
2010-05-07,35.062280040291
2010-05-10,36.866823531813
2010-05-11,36.966073423847
2010-05-12,37.642777233168
2010-05-13,37.669845385541
2010-05-14,37.155550490457
2010-05-17,37.462322884016
2010-05-18,37.110436903169
2010-05-19,36.532982985882
2010-05-20,35.233711671985
2010-05-21,36.433733093848
2010-05-24,35.648756675035
2010-05-25,35.757029284527
2010-05-26,35.865301894018
2010-05-27,36.984118858762
2010-05-28,36.569073855712
2010-06-01,35.946506351137
2010-06-02,37.399163861813
2010-06-03,38.328503759947
2010-06-04,37.453300166558
2010-06-07,37.805186147405
2010-06-08,38.120981258422
2010-06-09,37.868345169609
2010-06-10,38.969116699438
2010-06-11,39.898456597572
2010-06-14,39.402207137403
2010-06-15,40.051842794351
2010-06-16,40.331547035537
2010-06-17,40.575160406893
2010-06-18,40.665387581469
2010-06-21,40.710501168757
2010-06-22,40.033797359436
2010-06-23,40.340569752995
2010-06-24,39.284911810454
2010-06-25,39.681911378589
2010-06-28,40.899978235367
2010-06-29,40.160115403843
2010-06-30,40.151092686385
2010-07-01,39.781161270623
2010-07-02,39.429275289776
2010-07-06,40.7014784513
2010-07-07,42.298499441297
2010-07-08,41.856386285874
2010-07-09,41.513523022485
2010-07-12,40.89095551791
2010-07-13,41.143591606723
2010-07-14,41.30600052096
2010-07-15,41.098478019435
2010-07-16,39.871388445199
2010-07-19,39.817252140453
2010-07-20,42.027817917569
2010-07-21,41.161637041638
2010-07-22,41.856386285874
2010-07-23,42.199249549264
2010-07-26,41.775181828756
2010-07-27,41.15261432418
2010-07-28,41.242841498757
2010-07-29,41.080432584519
2010-07-30,41.72104552401
2010-08-02,42.127067809603
2010-08-03,41.919545308078
2010-08-04,42.352635746043
2010-08-05,42.370681180958
2010-08-06,42.181204114348
2010-08-09,42.181204114348
2010-08-10,42.109022374688
2010-08-11,40.800728343333
2010-08-12,41.405250412994
2010-08-13,41.287955086045
2010-08-16,41.540591174858
2010-08-17,42.776703466551
2010-08-18,43.327089231466
2010-08-19,42.848885206212
2010-08-20,42.794748901466
2010-08-23,42.352635746043
2010-08-24,41.703000089095
2010-08-25,42.551135530111
2010-08-26,42.496999225365
2010-08-27,42.731589879263
2010-08-30,41.919545308078
2010-08-31,42.280454006382
2010-09-01,42.632339987229
2010-09-02,43.164680317228
2010-09-03,43.507543580618
2010-09-07,43.642884342482
2010-09-08,44.536133370786
2010-09-09,44.29251999943
2010-09-10,44.274474564515
2010-09-13,44.211315542312
2010-09-14,43.967702170956
2010-09-15,44.10304293282
2010-09-16,43.633861625024
2010-09-17,44.454928913667
2010-09-20,45.176746310277
2010-09-21,45.546677726039
2010-09-22,45.564723160954
2010-09-23,45.636904900615
2010-09-24,46.63842653841
2010-09-27,46.755721865359
2010-09-28,47.01738067163
2010-09-29,46.728653712986
2010-09-30,46.250449687733
2010-10-01,46.575267516207
2010-10-04,46.06999533858
2010-10-05,46.809858170105
2010-10-06,45.790291097394
2010-10-07,45.483518703835
2010-10-08,45.447427834005
2010-10-11,45.122610005531
2010-10-12,45.672995770445
2010-10-13,45.799313814852
2010-10-14,46.358722297224
2010-10-15,45.84442740214
