Date,AMAT
2010-01-04,12.102139929085
2010-01-05,12.009046545015
2010-01-06,11.983657440268
2010-01-07,11.856711916537
2010-01-08,12.315408408954
2010-01-11,12.584532919265
2010-01-12,12.01750957993
2010-01-13,12.076750824338
2010-01-14,12.144455103662
2010-01-15,11.619746938904
2010-01-19,11.822859776875
2010-01-20,11.678988183312
2010-01-21,11.492801415173
2010-01-22,10.688813098205
2010-01-25,10.697276133121
2010-01-26,10.705739168036
2010-01-27,11.035797529739
2010-01-28,10.671887028375
2010-01-29,10.30797652701
2010-02-01,10.595719714136
2010-02-02,10.58725667922
2010-02-03,10.392606876165
2010-02-04,9.9863812002236
2010-02-05,10.350291701588
2010-02-08,10.214883142941
2010-02-09,10.282587422264
2010-02-10,10.350291701588
2010-02-11,10.553404539558
2010-02-12,10.553404539558
2010-02-16,10.9596302155
2010-02-17,10.993482355161
2010-02-18,10.731128272783
2010-02-19,10.578793644305
2010-02-22,10.58725667922
2010-02-23,10.213088571681
2010-02-24,10.434187907954
2010-02-25,10.391668804825
2010-02-26,10.408676446077
2010-03-01,10.629775782349
2010-03-02,10.561745217342
2010-03-03,10.536233755465
2010-03-04,10.425684087328
2010-03-05,10.451195549206
2010-03-08,10.510722293587
2010-03-09,10.451195549206
2010-03-10,10.655287244227
2010-03-11,10.553241396717
2010-03-12,10.510722293587
2010-03-15,10.400172625451
2010-03-16,10.58725667922
2010-03-17,10.765836912364
2010-03-18,10.740325450486
2010-03-19,10.621271961724
2010-03-22,10.867882759874
2010-03-23,11.254806598352
2010-03-24,11.054966813643
2010-03-25,11.191027943658
2010-03-26,11.233547046787
2010-03-29,11.318585253046
2010-03-30,11.437638741808
2010-03-31,11.452520427903
2010-04-01,11.352600535549
2010-04-05,11.497165486189
2010-04-06,11.463150203686
2010-04-07,11.548188409944
2010-04-08,11.344096714923
2010-04-09,11.450394472747
2010-04-12,11.590707513074
2010-04-13,11.735272463714
2010-04-14,12.254005521892
2010-04-15,12.194478777511
2010-04-16,12.211486418763
2010-04-19,12.160463495008
2010-04-20,12.296524625022
2010-04-21,12.271013163144
2010-04-22,12.219990239389
2010-04-23,12.305028445648
2010-04-26,12.211486418763
2010-04-27,11.84582213185
2010-04-28,11.947867979361
2010-04-29,12.126448212504
2010-04-30,11.718264822462
2010-05-03,11.905348876231
2010-05-04,11.386615818053
2010-05-05,11.242050867413
2010-05-06,10.808356015493
2010-05-07,10.629775782349
2010-05-10,11.216539405535
2010-05-11,11.361104356175
2010-05-12,11.709761001836
2010-05-13,11.250554688039
2010-05-14,11.012447710514
2010-05-17,11.208035584909
2010-05-18,11.003943889888
2010-05-19,11.071974454895
2010-05-20,10.791348374241
2010-05-21,10.816859836119
2010-05-24,10.680798706105
2010-05-25,10.834725348787
2010-05-26,10.706453146552
2010-05-27,11.176784554747
2010-05-28,11.048512352512
2010-06-01,10.766313507595
2010-06-02,10.988651991469
2010-06-03,11.142578634151
2010-06-04,10.744934807222
2010-06-07,10.415702821486
2010-06-08,10.55252650387
2010-06-09,10.424254301635
2010-06-10,10.715004626701
2010-06-11,10.851828309085
2010-06-14,10.851828309085
2010-06-15,11.339262677578
2010-06-16,11.450431919515
2010-06-17,11.458983399664
2010-06-18,11.40767451877
2010-06-21,11.339262677578
2010-06-22,11.168233074598
2010-06-23,11.219541955492
2010-06-24,10.912116244135
2010-06-25,11.069891052884
2010-06-28,10.971549031171
2010-06-29,10.535423543572
2010-06-30,10.278879139102
2010-07-01,10.261776178804
2010-07-02,10.261776178804
2010-07-06,10.073643615526
2010-07-07,10.424254301635
2010-07-08,10.355842460443
2010-07-09,10.518320583274
2010-07-12,10.526872063423
2010-07-13,10.706453146552
2010-07-14,10.715004626701
2010-07-15,10.655144265658
2010-07-16,10.424254301635
2010-07-19,10.585022128436
2010-07-20,10.55252650387
2010-07-21,10.432805781784
2010-07-22,10.646592785509
2010-07-23,10.697901666403
2010-07-26,10.740659067148
2010-07-27,10.783416467893
2010-07-28,10.561077984019
2010-07-29,10.21046729791
2010-07-30,10.090746575824
2010-08-02,10.270327658953
2010-08-03,10.107849536122
2010-08-04,10.150606936867
2010-08-05,10.099298055973
2010-08-06,10.12495249642
2010-08-09,10.150606936867
2010-08-10,9.8598566118005
2010-08-11,9.5853540990175
2010-08-12,9.5434518462874
2010-08-13,9.5520033264364
2010-08-16,9.5862092470324
2010-08-17,9.7358601496399
2010-08-18,9.7315844095654
2010-08-19,9.7144814492674
2010-08-20,9.4835914852443
2010-08-23,9.4579370447973
2010-08-24,9.115850604824
2010-08-25,9.2169704958853
2010-08-26,9.0620634287276
2010-08-27,9.1954556254467
2010-08-30,9.010427739675
2010-08-31,8.9243682579207
2010-09-01,9.2169704958853
2010-09-02,9.2858180812887
2010-09-03,9.4493310966219
2010-09-07,9.311635925815
2010-09-08,9.1050931696047
2010-09-09,9.2772121331133
2010-09-10,9.191152651359
2010-09-13,9.2772121331133
2010-09-14,9.5612084229025
2010-09-15,9.5009667856745
2010-09-16,9.5353905783762
2010-09-17,9.4859063763675
2010-09-20,9.6043242232614
2010-09-21,9.6816916973585
2010-09-22,9.6042381637796
2010-09-23,9.7161154900602
2010-09-24,10.009578322842
2010-09-27,9.931264194446
2010-09-28,10.094777209779
2010-09-29,10.051747468902
2010-09-30,10.051747468902
2010-10-01,10.077565313428
2010-10-04,9.8882344535688
2010-10-05,10.208375725695
2010-10-06,10.094777209779
2010-10-07,10.094777209779
2010-10-08,10.172230743358
2010-10-11,10.172230743358
2010-10-12,10.292714017814
2010-10-13,10.299598776354
