Date,ACN
2010-01-04,35.484403111309
2010-01-05,35.703702964148
2010-01-06,36.083260401754
2010-01-07,36.049521962856
2010-01-08,35.906133597538
2010-01-11,35.87239515864
2010-01-12,35.644660696076
2010-01-13,36.049521962856
2010-01-14,36.37003713239
2010-01-15,36.108564230928
2010-01-19,36.901417545039
2010-01-20,36.698986911649
2010-01-21,36.344733303216
2010-01-22,35.57718381828
2010-01-25,35.324145526542
2010-01-26,35.281972477919
2010-01-27,35.366318575165
2010-01-28,34.826503552792
2010-01-29,34.573465261054
2010-02-01,34.742157455546
2010-02-02,35.104845673703
2010-02-03,35.087976454254
2010-02-04,34.25295009152
2010-02-05,34.193907823448
2010-02-08,33.881827263639
2010-02-09,33.940869531711
2010-02-10,33.75530811777
2010-02-11,33.966173360885
2010-02-12,34.151734774825
2010-02-16,34.446946115186
2010-02-17,34.404773066563
2010-02-18,34.843372772241
2010-02-19,34.472249944359
2010-02-22,34.328861579042
2010-02-23,33.95773875116
2010-02-24,33.974607970609
2010-02-25,33.527573655206
2010-02-26,33.713135069147
2010-03-01,33.814350385842
2010-03-02,34.244515481796
2010-03-03,34.278253920694
2010-03-04,34.505988383258
2010-03-05,34.733722845821
2010-03-08,34.96989191811
2010-03-09,35.475968501585
2010-03-10,35.475968501585
2010-03-11,35.425360843237
2010-03-12,35.526576159932
2010-03-15,35.847091329466
2010-03-16,35.425360843237
2010-03-17,35.627791476627
2010-03-18,35.661529915525
2010-03-19,35.475968501585
2010-03-22,35.788049061394
2010-03-23,35.76274523222
2010-03-24,35.248234039021
2010-03-25,35.020499576457
2010-03-26,35.76274523222
2010-03-29,35.678399134974
2010-03-30,35.602487647453
2010-03-31,35.383187794614
2010-04-01,35.290407087644
2010-04-05,35.391622404339
2010-04-06,35.020499576457
2010-04-07,35.054238015356
2010-04-08,35.341014745991
2010-04-09,36.125433450377
2010-04-12,36.327864083767
2010-04-13,36.353167912941
2010-04-14,36.618858119265
2010-04-15,36.789020099373
2010-04-16,36.712447208325
2010-04-19,36.440188040152
2010-04-20,37.154868356606
2010-04-21,37.418619425773
2010-04-22,37.367570831741
2010-04-23,38.005678257146
2010-04-26,37.495192316822
2010-04-27,36.754987703352
2010-04-28,37.027246871525
2010-04-29,37.597289504887
2010-04-30,37.129344059589
2010-05-03,37.222933148649
2010-05-04,36.584825723244
2010-05-05,35.878653505795
2010-05-06,34.959778813211
2010-05-07,34.304655189795
2010-05-10,34.925746417189
2010-05-11,35.010827407244
2010-05-12,35.274578476411
2010-05-13,34.730060140065
2010-05-14,33.173078022076
2010-05-17,33.879250239525
2010-05-18,33.402796695222
2010-05-19,33.385780497211
2010-05-20,32.296743824519
2010-05-21,32.449889606616
2010-05-24,32.620051586725
2010-05-25,32.271219527503
2010-05-26,31.828798379222
2010-05-27,32.543478695676
2010-05-28,31.922387468281
2010-06-01,31.233231448843
2010-06-02,31.335328636908
2010-06-03,32.20315473546
2010-06-04,31.420409626962
2010-06-07,31.097101864757
2010-06-08,31.003512775698
2010-06-09,31.003512775698
2010-06-10,32.041500854357
2010-06-11,32.024484656346
2010-06-14,32.160614240433
2010-06-15,32.790213566833
2010-06-16,32.917835051914
2010-06-17,32.747673071806
2010-06-18,33.122029428044
2010-06-21,33.019932239979
2010-06-22,32.534970596671
2010-06-23,32.475413903633
2010-06-24,31.947911765298
2010-06-25,34.500341466919
2010-06-28,33.794169249471
2010-06-29,32.883802655892
2010-06-30,32.883802655892
2010-07-01,32.569002992692
2010-07-02,32.279727626508
2010-07-06,32.679608279762
2010-07-07,33.402796695222
2010-07-08,33.470861487265
2010-07-09,33.538926279308
2010-07-12,33.802677348476
2010-07-13,34.245098496757
2010-07-14,34.117477011676
2010-07-15,34.049412219633
2010-07-16,33.181586121081
2010-07-19,33.326223804173
2010-07-20,33.096505131027
2010-07-21,32.849770259871
2010-07-22,33.828201645492
2010-07-23,34.355703783827
2010-07-26,34.440784773881
2010-07-27,34.3131632888
2010-07-28,33.913282635546
2010-07-29,33.394288596216
2010-07-30,33.726104457427
2010-08-02,34.3131632888
2010-08-03,34.032396021622
2010-08-04,34.321671387806
2010-08-05,34.006871724606
2010-08-06,34.262114694768
2010-08-09,34.51735766493
2010-08-10,34.432276674876
2010-08-11,34.023887922616
2010-08-12,33.57295867533
2010-08-13,33.053964636
2010-08-16,33.105013230033
2010-08-17,33.743120655438
2010-08-18,33.743120655438
2010-08-19,33.096505131027
2010-08-20,32.688116378768
2010-08-23,32.330776220541
2010-08-24,31.641620201103
2010-08-25,31.718193092152
2010-08-26,31.599079706076
2010-08-27,31.650128300108
2010-08-30,31.394885329946
2010-08-31,31.139642359784
2010-09-01,31.820290280216
2010-09-02,32.322268121535
2010-09-03,32.824245962854
2010-09-07,32.62855968573
2010-09-08,32.441381507611
2010-09-09,32.509446299654
2010-09-10,33.028440338984
2010-09-13,33.25815901213
2010-09-14,33.360256200195
2010-09-15,33.726104457427
2010-09-16,33.921790734552
2010-09-17,34.508849565925
2010-09-20,35.35115136746
2010-09-21,35.342643268454
2010-09-22,35.955226396844
2010-09-23,36.099864079935
2010-09-24,35.648934832649
2010-09-27,35.46175665453
2010-09-28,35.66595103066
2010-09-29,35.989258792865
2010-09-30,36.150912673968
2010-10-01,37.758943385989
2010-10-04,37.767451484995
2010-10-05,38.414067009406
2010-10-06,38.456607504433
2010-10-07,39.001125840779
2010-10-08,38.950077246746
2010-10-11,38.762899068627
2010-10-12,38.907536751719
2010-10-13,38.882012454703
2010-10-14,39.036681233528
2010-10-15,38.916383294442
