Date,ATVI
2010-01-04,10.329469434003055
2010-01-05,10.347751680788901
2010-01-06,10.292904940431363
2010-01-07,10.04609460882244
2010-01-08,9.963824498286133
2010-01-11,9.954683374893209
2010-01-12,9.844989894178132
2010-01-13,9.972965621679055
2010-01-14,9.927260004714439
2010-01-15,9.954683374893209
2010-01-19,9.908977757928595
2010-01-20,9.890695511142749
2010-01-21,9.680449673105517
2010-01-22,9.474774396764749
2010-01-25,9.250816873638133
2010-01-26,9.15026451631598
2010-01-27,9.470203835068286
2010-01-28,9.369651477746133
2010-01-29,9.287381367209827
2010-02-01,9.214252380066442
2010-02-02,9.369651477746133
2010-02-03,9.561615068997519
2010-02-04,9.287381367209827
2010-02-05,9.333086984174443
2010-02-08,9.287381367209827
2010-02-09,9.186829009887672
2010-02-10,9.231620514512995
2010-02-11,10.119223595965824
2010-02-12,10.155788089537516
2010-02-16,10.064376855608286
2010-02-17,10.192352583109209
2010-02-18,10.055235732215362
2010-02-19,9.99963074199113
2010-02-22,9.851350768059845
2010-02-23,9.777210781094201
2010-02-24,9.925490755025487
2010-02-25,9.934758253396193
2010-02-26,9.851350768059845
2010-03-01,10.138643217551712
2010-03-02,10.018165738732542
2010-03-03,10.166445712663828
2010-03-04,10.22205070288806
2010-03-05,10.22205070288806
2010-03-08,10.296190689853702
2010-03-09,10.296190689853702
2010-03-10,10.36106317844864
2010-03-11,10.666890624681919
2010-03-12,10.629820631199099
2010-03-15,10.694693119794035
2010-03-16,10.787368103501091
2010-03-17,10.92638057906167
2010-03-18,11.083928051363664
2010-03-19,10.954183074173788
2010-03-22,11.083928051363664
2010-03-23,11.09319554973437
2010-03-24,11.056125556251546
2010-03-25,10.944915575803082
2010-03-26,11.09319554973437
2010-03-29,11.028323061139432
2010-03-30,11.1488005399586
2010-03-31,11.167335536700012
2010-04-01,11.046858057880842
2010-04-05,11.1488005399586
2010-04-06,11.185870533441422
2010-04-07,11.222940526924244
2010-04-08,11.232208025294948
2010-04-09,11.565837966640345
2010-04-12,11.584372963381755
2010-04-13,11.37122050085553
2010-04-14,11.028323061139432
2010-04-15,10.815170598613205
2010-04-16,10.92638057906167
2010-04-19,10.833705595354617
2010-04-20,11.000520566027314
2010-04-21,10.88931058557885
2010-04-22,10.741030611647563
2010-04-23,10.750298110018267
2010-04-26,10.731763113276857
2010-04-27,10.602018136086981
2010-04-28,10.129375719181006
2010-04-29,10.435203165414284
2010-04-30,10.268388194741588
2010-05-03,10.333260683336526
2010-05-04,10.147910715922416
2010-05-05,9.96256074850831
2010-05-06,9.721605790869969
2010-05-07,9.786478279464907
2010-05-10,10.092305725698186
2010-05-11,10.10157322406889
2010-05-12,10.305458188224408
2010-05-13,10.157178214293124
2010-05-14,9.906955758284075
2010-05-17,9.96256074850831
2010-05-18,9.851350768059845
2010-05-19,9.740140787611379
2010-05-20,9.601128312050797
2010-05-21,9.49223520619501
2010-05-24,9.499185829973039
2010-05-25,9.526988325085155
2010-05-26,9.749408285982085
2010-05-27,9.953293250137603
2010-05-28,9.96256074850831
2010-06-01,9.795745777835611
2010-06-02,10.018165738732542
2010-06-03,10.194248207775944
2010-06-04,9.916223256654781
2010-06-07,9.823548272947727
2010-06-08,9.760992658945467
2010-06-09,9.628930807162915
2010-06-10,9.906955758284075
2010-06-11,10.064503230586068
2010-06-14,10.138643217551712
2010-06-15,10.509343152379929
2010-06-16,10.333260683336526
2010-06-17,10.527878149121339
2010-06-18,10.629820631199099
2010-06-21,10.694693119794035
2010-06-22,10.379598175190052
2010-06-23,10.388865673560758
2010-06-24,10.212783204517354
2010-06-25,10.194248207775944
2010-06-28,10.212783204517354
2010-06-29,9.823548272947727
2010-06-30,9.721605790869969
2010-07-01,9.730873289240673
2010-07-02,9.86061826643055
2010-07-06,9.767943282723495
2010-07-07,10.175713211034534
2010-07-08,10.259120696370882
2010-07-09,10.277655693112292
2010-07-12,10.305458188224408
2010-07-13,10.574215640974867
2010-07-14,10.472273158897107
2010-07-15,10.500075654009223
2010-07-16,10.305458188224408
2010-07-19,10.54641314586275
2010-07-20,10.620553132828393
2010-07-21,10.416668168672874
2010-07-22,10.76883310675968
2010-07-23,10.87077558883744
2010-07-26,11.037590559510136
2010-07-27,11.065393054622252
2010-07-28,10.991253067656608
2010-07-29,10.917113080690966
2010-07-30,11.00978806439802
2010-08-02,11.074660552992956
2010-08-03,10.68542562142333
2010-08-04,10.944915575803082
2010-08-05,10.88931058557885
2010-08-06,10.184980709405238
2010-08-09,10.175713211034534
2010-08-10,10.245219448814824
2010-08-11,10.166445712663828
2010-08-12,10.036700735473952
2010-08-13,10.073770728956774
2010-08-16,10.08303822732748
2010-08-17,10.110840722439596
2010-08-18,10.194248207775944
2010-08-19,10.20351570614665
2010-08-20,10.249853198000176
2010-08-23,10.092305725698186
2010-08-24,9.96256074850831
2010-08-25,10.184980709405238
2010-08-26,9.990363243620425
2010-08-27,9.96256074850831
2010-08-30,9.823548272947727
2010-08-31,9.89305451072802
2010-09-01,10.110840722439596
2010-09-02,10.20351570614665
2010-09-03,10.388865673560758
2010-09-07,10.22205070288806
2010-09-08,10.305458188224408
2010-09-09,10.388865673560758
2010-09-10,10.314725686595114
2010-09-13,10.41898504326555
2010-09-14,10.518610650750633
2010-09-15,10.4630056605264
2010-09-16,9.96256074850831
2010-09-17,10.027433237103248
2010-09-20,10.130302469018076
2010-09-21,10.138643217551712
2010-09-22,10.212783204517354
2010-09-23,10.10157322406889
2010-09-24,10.008898240361837
2010-09-27,10.027433237103248
2010-09-28,10.337894432521876
