Date,ALLE
2013-11-18,47.237126569964
2013-11-19,44.630436243514
2013-11-20,43.509803019059
2013-11-21,42.671764259902
2013-11-22,42.866656994589
2013-11-25,43.051805092543
2013-11-26,42.096830692572
2013-11-27,42.13580923951
2013-11-29,42.13580923951
2013-12-02,42.038362872166
2013-12-03,41.804491590541
2013-12-04,40.761815459961
2013-12-05,40.001733794678
2013-12-06,39.660671508975
2013-12-09,40.128414072225
2013-12-10,41.473173941571
2013-12-11,41.375727574227
2013-12-12,41.872704047681
2013-12-13,42.145553876244
2013-12-16,42.574317892558
2013-12-17,42.632785712964
2013-12-18,43.139506823152
2013-12-19,43.314910284371
2013-12-20,43.129762186418
2013-12-23,43.509803019059
2013-12-24,43.441590561919
2013-12-26,43.558526202731
2013-12-27,43.500058382325
2013-12-30,42.993337272137
2013-12-31,43.061549729277
2014-01-02,42.53533934562
2014-01-03,42.837423084386
2014-01-06,42.564573255823
2014-01-07,42.749721353777
2014-01-08,42.759465990511
2014-01-09,43.003081908871
2014-01-10,44.562223786374
2014-01-13,45.838771198579
2014-01-14,46.579363590393
2014-01-15,46.287024488361
2014-01-16,46.189578121017
2014-01-17,46.774256325081
2014-01-21,46.939915149565
2014-01-22,47.271232798534
2014-01-23,46.501406496518
2014-01-24,45.643878463891
2014-01-27,45.410007182266
2014-01-28,46.511151133252
2014-01-29,46.559874316924
2014-01-30,48.157994741364
2014-01-31,48.089782284223
2014-02-03,46.228556667955
2014-02-04,46.822979508752
2014-02-05,46.384470855705
2014-02-06,47.982591280145
2014-02-07,48.664715851553
2014-02-10,48.567269484209
2014-02-11,48.615992667881
2014-02-12,48.723183671959
2014-02-13,48.840119312772
2014-02-14,48.362632112786
2014-02-18,48.830374676037
2014-02-19,47.90463418627
2014-02-20,50.204368455586
2014-02-21,51.03266257801
2014-02-24,51.510149777995
2014-02-25,53.166738022842
2014-02-26,53.264184390185
2014-02-27,53.936564324858
2014-02-28,52.962100651419
2014-03-03,52.124061892262
2014-03-04,52.621038365716
2014-03-05,52.572315182044
2014-03-06,51.83172279023
2014-03-07,52.026615524918
2014-03-10,51.929169157574
2014-03-11,53.108270202435
2014-03-12,52.893888194279
2014-03-13,52.309209990215
2014-03-14,52.016434561165
2014-03-17,51.684622408242
2014-03-18,51.996916199229
2014-03-19,51.996916199229
2014-03-20,52.865483305409
2014-03-21,52.51415279055
2014-03-24,52.182340637627
2014-03-25,51.92860193245
2014-03-26,50.786777759157
2014-03-27,50.210986082025
2014-03-28,50.903887930776
2014-03-31,50.913647111745
2014-04-01,52.621503781201
2014-04-02,53.353442353826
2014-04-03,53.626699420939
2014-04-04,52.436079342803
2014-04-07,50.376892158487
2014-04-08,50.171949358152
2014-04-09,50.259781986867
2014-04-10,49.459529147465
2014-04-11,48.805664022587
2014-04-14,48.571443679347
2014-04-15,48.756868117745
2014-04-16,49.02036600389
2014-04-17,48.942292556143
2014-04-21,49.410733242623
2014-04-22,49.771822938451
2014-04-23,49.186272080351
2014-04-24,49.030125184858
2014-04-25,48.346982517076
2014-04-28,47.644321487356
2014-04-29,47.722394935103
2014-04-30,48.161558078677
2014-05-01,50.015802462659
2014-05-02,49.479047509401
2014-05-05,48.854459927428
2014-05-06,48.688553850967
2014-05-07,48.72759057484
2014-05-08,48.171317259646
2014-05-09,48.795904841619
2014-05-12,49.264345528098
2014-05-13,49.264345528098
2014-05-14,48.590962041284
2014-05-15,47.127084896035
2014-05-16,48.093243811899
2014-05-19,49.000847641953
2014-05-20,49.283863890035
2014-05-21,49.488806690369
2014-05-22,50.250022805899
2014-05-23,51.196663359826
2014-05-27,51.206422540794
2014-05-28,51.665104046306
2014-05-29,52.231136542468
2014-05-30,51.128349093048
2014-06-02,50.816055302062
2014-06-03,51.147867454985
2014-06-04,51.87004684664
2014-06-05,53.002111838966
2014-06-06,54.485507346151
2014-06-09,54.992984756504
2014-06-10,55.3638336333
2014-06-11,54.983225575536
2014-06-12,54.846597041979
2014-06-13,54.817277763446
2014-06-16,55.833679419249
2014-06-17,55.95095653338
2014-06-18,56.038914368979
2014-06-19,55.970502719069
2014-06-20,56.312560968618
2014-06-23,56.253922411552
2014-06-24,55.393890241258
2014-06-25,55.403663334102
2014-06-26,55.042058898864
2014-06-27,54.318850028389
2014-06-30,55.393890241258
2014-07-01,55.76526776934
2014-07-02,56.068233647512
2014-07-03,55.862998697782
2014-07-07,54.768412299225
2014-07-08,54.250438378479
2014-07-09,54.348169306922
2014-07-10,54.338396214078
2014-07-11,54.758639206381
2014-07-14,54.70977374216
2014-07-15,54.348169306922
2014-07-16,54.172253635725
2014-07-17,53.038574865791
2014-07-18,53.644506622135
2014-07-21,53.51745641516
2014-07-22,53.65427971498
2014-07-23,53.214490536988
2014-07-24,53.722691364889
2014-07-25,53.849741571865
2014-07-28,52.354458366693
2014-07-29,51.259871968136
2014-07-30,52.442416202292
2014-07-31,50.263016498022
2014-08-01,49.217295563686
2014-08-04,48.982741335424
2014-08-05,49.256387935063
2014-08-06,48.982741335424
2014-08-07,48.738414014318
2014-08-08,49.461622884793
2014-08-11,49.217295563686
2014-08-12,49.803681134342
2014-08-13,51.054637018407
2014-08-14,50.839628975833
2014-08-15,51.074183204095
2014-08-18,51.445560732177
2014-08-19,51.416241453644
2014-08-20,51.328283618046
2014-08-21,50.956906089964
2014-08-22,50.790763511612
2014-08-25,51.279418153825
2014-08-26,51.191460318226
2014-08-27,50.829855882989
2014-08-28,50.380293612153
2014-08-29,50.263016498022
2014-09-02,51.08395629694
2014-09-03,51.005771554186
