Date,GOOGL
2010-01-04,314.34535399391206
2010-01-05,312.96108087540676
2010-01-06,305.0717271963892
2010-01-07,297.96980424057944
2010-01-08,301.942066232812
2010-01-11,301.4856573422903
2010-01-12,296.15419964311957
2010-01-13,294.4539511388685
2010-01-14,295.8382242573738
2010-01-15,290.89797417865014
2010-01-19,294.71977170148
2010-01-20,291.10360895350055
2010-01-21,292.3925879080508
2010-01-22,275.85654272068854
2010-01-25,270.83604492495016
2010-01-26,272.049791644799
2010-01-27,271.88929621076943
2010-01-28,267.97220452398443
2010-01-29,265.7924759105699
2010-02-01,267.3352382701795
2010-02-02,266.38229663062873
2010-02-03,271.24731447465103
2010-02-04,264.20457421013964
2010-02-05,266.46755982995694
2010-02-08,267.5609349742836
2010-02-09,269.05053322137087
2010-02-10,268.0499444998426
2010-02-11,269.0304712921171
2010-02-12,267.3853930933137
2010-02-16,271.4880576256954
2010-02-17,269.93676894615305
2010-02-18,272.451030229873
2010-02-19,271.2187262254645
2010-02-22,272.2403799727091
2010-02-23,268.36341214443166
2010-02-24,266.5578385115986
2010-02-25,264.0300354256324
2010-02-26,264.2156082712291
2010-03-01,267.1697273538365
2010-03-02,271.3676860501732
2010-03-03,273.50428151569224
2010-03-04,278.15363362023726
2010-03-05,282.9785276057521
2010-03-08,282.11084916552954
2010-03-09,280.96230371575524
2010-03-10,289.1174779573843
2010-03-11,291.4697391623806
2010-03-12,290.66726199223257
2010-03-15,282.46193292746926
2010-03-16,283.4750603547812
2010-03-17,283.65561771806443
2010-03-18,284.07691823239213
2010-03-19,280.86700955180015
2010-03-22,279.6131389734439
2010-03-23,275.34997900703263
2010-03-24,279.52787577411567
2010-03-25,282.31146845806654
2010-03-26,282.2161742941115
2010-03-29,282.0958027185893
2010-03-30,284.2323981841083
2010-03-31,284.43803295895873
2010-04-01,285.2806339876141
2010-04-05,286.3890555788811
2010-04-06,284.9897360134355
2010-04-07,282.64249029075256
2010-04-08,284.6236058045555
2010-04-09,283.9866395507505
2010-04-12,287.2517185367902
2010-04-13,294.2934557048389
2010-04-14,295.4119082607327
2010-04-15,298.5716621181904
2010-04-16,275.9242517319198
2010-04-19,275.9016820615094
2010-04-20,278.3793303243413
2010-04-21,278.0081846331479
2010-04-22,274.37697543822816
2010-04-23,273.33877059934923
2010-04-26,266.6431017109268
2010-04-27,265.34910727406316
2010-04-28,265.4143085441377
2010-04-29,266.8236590742101
2010-04-30,263.6613974755957
2010-05-03,266.12149155033063
2010-05-04,253.96897790490186
2010-05-05,255.66922640915294
2010-05-06,250.1070565235646
2010-05-07,247.33349480424056
2010-05-10,261.63263487981527
2010-05-11,255.31312716489975
2010-05-12,253.4774606381862
2010-05-13,256.23096042825654
2010-05-14,254.55077385325913
2010-05-17,254.77145507504986
2010-05-18,249.95659205416186
2010-05-19,247.9804920226724
2010-05-20,238.24042537000105
2010-05-21,236.75584260522726
2010-05-24,239.31875406738743
2010-05-25,239.2736147265666
2010-05-26,238.47113755641863
2010-05-27,245.98934554424267
2010-05-28,243.5668675868584
2010-06-01,241.93182035268185
2010-06-02,247.44885089744935
2010-06-03,253.58278576676815
2010-06-04,250.13213393513175
2010-06-07,243.5116972814107
2010-06-08,243.14055159021726
2010-06-09,237.74389262097196
2010-06-10,244.25900414611104
2010-06-11,245.00631101081137
2010-06-14,242.3430899023827
2010-06-15,249.7660037262517
2010-06-16,251.4110819250551
2010-06-17,250.81423952975751
2010-06-18,250.7891621181904
2010-06-21,245.03640390469192
2010-06-22,243.87782749029074
2010-06-23,241.77132491865225
2010-06-24,238.2855647108219
2010-06-25,237.07181799097302
2010-06-28,236.77088905216752
2010-06-29,227.83329956964417
2010-06-30,223.16388553584548
2010-07-01,220.42543219271545
2010-07-02,218.9508803925685
2010-07-06,218.71013724152408
2010-07-07,225.7970137503936
2010-07-08,228.9868605017319
2010-07-09,234.46878267030544
2010-07-12,238.6516949197019
2010-07-13,245.35739477275112
2010-07-14,246.42870179489873
2010-07-15,247.77485724782198
2010-07-16,230.51407486616984
2010-07-19,233.8117544872468
2010-07-20,241.54061273223468
2010-07-21,239.48928046604388
2010-07-22,243.15559803715755
2010-07-23,245.78872625170567
2010-07-26,245.24203867954236
2010-07-27,247.0777052062559
2010-07-28,242.92488585074003
2010-07-29,243.2458767187992
2010-07-30,243.17565996641127
2010-08-02,245.96426813267556
2010-08-03,245.6733701584969
2010-08-04,253.94390049333472
2010-08-05,254.8366563451244
2010-08-06,250.8844562821455
2010-08-09,253.45739870893252
2010-08-10,252.6348596095308
2010-08-11,246.6313272803611
2010-08-12,246.76674530282355
2010-08-13,243.92798231342502
2010-08-16,243.5468056576047
2010-08-17,246.01943843812322
2010-08-18,241.82147974178648
2010-08-19,234.70952582134987
2010-08-20,231.72531384486197
2010-08-23,232.7534877191141
2010-08-24,226.3938561456912
2010-08-25,228.01385693292747
2010-08-26,226.18822137084078
2010-08-27,230.1253749868794
2010-08-30,227.04586884643643
2010-08-31,225.70673506875195
2010-09-01,230.87769733389314
2010-09-02,232.30710979321927
2010-09-03,235.87813320037787
2010-09-07,232.91899863545711
2010-09-08,236.01856670515377
2010-09-09,238.82723680067178
2010-09-10,238.80717487141806
2010-09-13,241.8816655295476
2010-09-14,240.9588167838774
2010-09-15,241.06414191245932
2010-09-16,241.27479216962317
2010-09-17,245.83386559252648
2010-09-20,254.92693502676602
2010-09-21,257.5249548651202
2010-09-22,258.7988873727301
2010-09-23,257.53498582974703
2010-09-24,264.46136690458695
2010-09-27,266.02619738637554
2010-09-28,264.40118111682585
