Date,ARNC
2010-01-04,34.357533361405
2010-01-05,33.28450529246
2010-01-06,35.01785832691
2010-01-07,34.274992740717
2010-01-08,35.12103410277
2010-01-11,36.008345775166
2010-01-12,32.025760826967
2010-01-13,32.97497796488
2010-01-14,32.624180326956
2010-01-15,32.25274753386
2010-01-19,32.232112378688
2010-01-20,31.427341326979
2010-01-21,29.405096120122
2010-01-22,27.6511079305
2010-01-25,27.630472775328
2010-01-26,27.940000102908
2010-01-27,27.44475637878
2010-01-28,26.660620482244
2010-01-29,26.268552533975
2010-02-01,27.568567309812
2010-02-02,28.146351654629
2010-02-03,27.898729792564
2010-02-04,26.6992291788
2010-02-05,27.257617395552
2010-02-08,27.009444854773
2010-02-09,27.464427846201
2010-02-10,27.216255305422
2010-02-11,28.084859198149
2010-02-12,27.464427846201
2010-02-16,28.415755919187
2010-02-17,28.126221288278
2010-02-18,28.146902333343
2010-02-19,27.981453972824
2010-02-22,28.002135017889
2010-02-23,27.257617395552
2010-02-24,27.009444854773
2010-02-25,27.526470981396
2010-02-26,27.505789936331
2010-03-01,27.526470981396
2010-03-02,27.381703665942
2010-03-03,27.588514116591
2010-03-04,27.774643522175
2010-03-05,28.622566369836
2010-03-08,28.498480099447
2010-03-09,28.270988603733
2010-03-10,28.064178153084
2010-03-11,28.208945468538
2010-03-12,28.126221288278
2010-03-15,27.940091882694
2010-03-16,28.539842189577
2010-03-17,29.904791163861
2010-03-18,29.573894442822
2010-03-19,29.491170262563
2010-03-22,29.656618623082
2010-03-23,29.98751534412
2010-03-24,29.615256532952
2010-03-25,29.180954586589
2010-03-26,29.511851307627
2010-03-29,29.863429073731
2010-03-30,29.780704893471
2010-03-31,29.449808172433
2010-04-01,30.401136245419
2010-04-05,30.463179380613
2010-04-06,31.083610732561
2010-04-07,30.483860425678
2010-04-08,30.752714011522
2010-04-09,29.760023848406
2010-04-12,30.132282659575
2010-04-13,29.656618623082
2010-04-14,29.842748028666
2010-04-15,29.594575487887
2010-04-16,28.767333685291
2010-04-19,28.374393829057
2010-04-20,28.436436964252
2010-04-21,28.353712783992
2010-04-22,28.643247414901
2010-04-23,29.180954586589
2010-04-26,29.056868316199
2010-04-27,27.79532456724
2010-04-28,28.064178153084
2010-04-29,28.374393829057
2010-04-30,27.774643522175
2010-05-03,27.195574260357
2010-05-04,25.954711556463
2010-05-05,25.830625286073
2010-05-06,24.752621662578
2010-05-07,24.877006696058
2010-05-10,26.100126191947
2010-05-11,25.146507601932
2010-05-12,25.830625286073
2010-05-13,26.535473809128
2010-05-14,25.62331689694
2010-05-17,25.084315085192
2010-05-18,24.503851595617
2010-05-19,24.420928239963
2010-05-20,22.949038677113
2010-05-21,23.529502166688
2010-05-24,22.99050035494
2010-05-25,23.425847972121
2010-05-26,23.322193777554
2010-05-27,24.503851595617
2010-05-28,24.130696495176
2010-06-01,23.197808744074
2010-06-02,23.799003072562
2010-06-03,23.570963844515
2010-06-04,22.472229382106
2010-06-07,21.788111697964
2010-06-08,22.306382670799
2010-06-09,22.389306026452
2010-06-10,23.322193777554
2010-06-11,23.550233005601
2010-06-14,23.508771327775
2010-06-15,24.027042300609
2010-06-16,23.653887200168
2010-06-17,23.177077905161
2010-06-18,23.031962032767
2010-06-21,24.296543206483
2010-06-22,23.405117133208
2010-06-23,23.695348877995
2010-06-24,23.031962032767
2010-06-25,23.280732099727
2010-06-28,22.86611532146
2010-06-29,21.435687436437
2010-06-30,20.855223946862
2010-07-01,20.834493107948
2010-07-02,20.730838913382
2010-07-06,21.166186530563
2010-07-07,21.871035053618
2010-07-08,22.223459315145
2010-07-09,22.679537771239
2010-07-12,22.534421898846
2010-07-13,22.80392280472
2010-07-14,22.617345254499
2010-07-15,22.472229382106
2010-07-16,21.58080330883
2010-07-19,21.933227570358
2010-07-20,22.492960221019
2010-07-21,21.953958409271
2010-07-22,22.430767704279
2010-07-23,22.907576999287
2010-07-26,23.280732099727
2010-07-27,23.239270421901
2010-07-28,22.886846160373
2010-07-29,22.845384482546
2010-07-30,23.156347066247
2010-08-02,24.27581236757
2010-08-03,23.964849783869
2010-08-04,23.944118944956
2010-08-05,24.068827897794
2010-08-06,24.089612723267
2010-08-09,24.235106501578
2010-08-10,23.590776911914
2010-08-11,22.156623954273
2010-08-12,22.301078491311
2010-08-13,22.115054303327
2010-08-16,22.031915001435
2010-08-17,22.759383892992
2010-08-18,22.717814242046
2010-08-19,22.156623954273
2010-08-20,21.969560525016
2010-08-23,21.553864015555
2010-08-24,20.90953442589
2010-08-25,21.013458553255
2010-08-26,20.805610298525
2010-08-27,21.449939888189
2010-08-30,21.304446109878
2010-08-31,21.236895427091
2010-09-01,21.86563639765
2010-09-02,22.509965987315
2010-09-03,22.61389011468
2010-09-07,22.572320463734
2010-09-08,23.008801798668
2010-09-09,23.341359006237
2010-09-10,23.216650053399
2010-09-13,23.944118944956
2010-09-14,23.881764468537
2010-09-15,23.757055515698
2010-09-16,23.403713482656
2010-09-17,23.21976777722
2010-09-20,23.65520987088
2010-09-21,23.216650053399
2010-09-22,24.318245803471
2010-09-23,24.401385105363
2010-09-24,25.357487077123
2010-09-27,25.087284345974
2010-09-28,25.399056728069
2010-09-29,25.108069171447
2010-09-30,25.170423647866
2010-10-01,25.419841553542
2010-10-04,24.775511963878
2010-10-05,25.232778124285
2010-10-06,25.710829110165
2010-10-07,25.357487077123
2010-10-08,26.791640034764
2010-10-11,26.874779336656
2010-10-12,27.435969624428
2010-10-13,27.78931165747
2010-10-14,27.290475846117
2010-10-15,27.290475846117
