Date,AFL
2010-01-04,39.172575543767
2010-01-05,40.3089672665
2010-01-06,40.663060339526
2010-01-07,41.099500638836
2010-01-08,40.687764507411
2010-01-11,41.758278449116
2010-01-12,41.544175660775
2010-01-13,41.997085405342
2010-01-14,42.548811821452
2010-01-15,42.087667354256
2010-01-19,42.902904894477
2010-01-20,42.12060624477
2010-01-21,41.560645106032
2010-01-22,40.432488105928
2010-01-25,41.321838149806
2010-01-26,40.943040908895
2010-01-27,41.017153412551
2010-01-28,40.506600609584
2010-01-29,39.880761689818
2010-02-01,40.498365886956
2010-02-02,40.926571463638
2010-02-03,41.947677069571
2010-02-04,39.773710295648
2010-02-05,39.238453324795
2010-02-08,37.838550477951
2010-02-09,38.752604689714
2010-02-10,38.793778302857
2010-02-11,39.230218602167
2010-02-12,39.047983633998
2010-02-16,39.967441882486
2010-02-17,40.373328857044
2010-02-18,40.464446341129
2010-02-19,40.621831086365
2010-02-22,40.688098347518
2010-02-23,39.868040990758
2010-02-24,40.646681309298
2010-02-25,40.746082201026
2010-02-26,40.961450799771
2010-03-01,41.433605035481
2010-03-02,41.367337774329
2010-03-03,41.557856150142
2010-03-04,41.889192455903
2010-03-05,42.667832774443
2010-03-08,42.82521751968
2010-03-09,42.452464175698
2010-03-10,43.463039908271
2010-03-11,43.595574430575
2010-03-12,43.64527487644
2010-03-15,43.711542137592
2010-03-16,44.481899048487
2010-03-17,45.260539367027
2010-03-18,45.40964070462
2010-03-19,44.813235354249
2010-03-22,44.614433570792
2010-03-23,44.316230895607
2010-03-24,44.440482010267
2010-03-25,44.07601207393
2010-03-26,44.291380672675
2010-03-29,44.440482010267
2010-03-30,44.556449717284
2010-03-31,44.970620099486
2010-04-01,45.343373443467
2010-04-05,45.989479239702
2010-04-06,46.35394917604
2010-04-07,45.790677456246
2010-04-08,45.890078347974
2010-04-09,46.188281023159
2010-04-12,46.022612870279
2010-04-13,45.948062201482
2010-04-14,46.850953634682
2010-04-15,45.948062201482
2010-04-16,45.078304398858
2010-04-19,45.219122328807
2010-04-20,45.823811086822
2010-04-21,45.351656851111
2010-04-22,45.227405736451
2010-04-23,45.948062201482
2010-04-26,45.335090035823
2010-04-27,43.413339462406
2010-04-28,41.110552137364
2010-04-29,43.347072201254
2010-04-30,42.212245354021
2010-05-03,42.601565513291
2010-05-04,40.439596118197
2010-05-05,39.876324398402
2010-05-06,38.335610576611
2010-05-07,36.670645640159
2010-05-10,41.209953029092
2010-05-11,40.538997009925
2010-05-12,41.450171850769
2010-05-13,40.108259812435
2010-05-14,38.020841086137
2010-05-17,38.310760353679
2010-05-18,37.510709669765
2010-05-19,36.952340963283
2010-05-20,34.685530692193
2010-05-21,36.160624140659
2010-05-24,35.185562369639
2010-05-25,35.41057662449
2010-05-26,35.635590879341
2010-05-27,38.194086295608
2010-05-28,36.91900551812
2010-06-01,35.943943747099
2010-06-02,37.202356802006
2010-06-03,37.052347298772
2010-06-04,34.44384871476
2010-06-07,33.735470505045
2010-06-08,34.802204750264
2010-06-09,34.352176240562
2010-06-10,35.652258601922
2010-06-11,35.660592463213
2010-06-14,35.41057662449
2010-06-15,36.985676408446
2010-06-16,36.685657401978
2010-06-17,36.460643147127
2010-06-18,37.002344131027
2010-06-21,37.044013437481
2010-06-22,36.477310869709
2010-06-23,36.177291863241
2010-06-24,35.577253850305
2010-06-25,36.327301366475
2010-06-28,37.319030860077
2010-06-29,35.30223642771
2010-06-30,35.560586127724
2010-07-01,36.093953250333
2010-07-02,35.935609885809
2010-07-06,36.302299782603
2010-07-07,37.89406728914
2010-07-08,39.327491431153
2010-07-09,40.069205086032
2010-07-12,39.927529444088
2010-07-13,40.735913989293
2010-07-14,40.344222508627
2010-07-15,40.319220924755
2010-07-16,38.552442331111
2010-07-19,38.76078886338
2010-07-20,39.894193998925
2010-07-21,39.069141731139
2010-07-22,41.544298534498
2010-07-23,42.094333379689
2010-07-26,42.5360280281
2010-07-27,42.261010605505
2010-07-28,41.269281111903
2010-07-29,41.502629228044
2010-07-30,40.994263689307
2010-08-02,42.494358721646
2010-08-03,41.510963089335
2010-08-04,42.544361889391
2010-08-05,42.736040699079
2010-08-06,42.294346050668
2010-08-09,42.902717924894
2010-08-10,42.411020108738
2010-08-11,41.210944082867
2010-08-12,40.560902902187
2010-08-13,39.802521524727
2010-08-16,39.869192415053
2010-08-17,40.464380106699
2010-08-18,40.288338676776
2010-08-19,39.030899891608
2010-08-20,39.089580368249
2010-08-23,38.754263358871
2010-08-24,37.890822059722
2010-08-25,38.511158527072
2010-08-26,38.360265872852
2010-08-27,40.087148471149
2010-08-30,38.955453564498
2010-08-31,39.609321732785
2010-09-01,41.554160387178
2010-09-02,41.931392022728
2010-09-03,42.702621144298
2010-09-07,41.847562770384
2010-09-08,41.998455424604
2010-09-09,42.417601686326
2010-09-10,42.560111415312
2010-09-13,43.750486798604
2010-09-14,43.792401424776
2010-09-15,43.498999041571
2010-09-16,43.465467340633
2010-09-17,43.406786863992
2010-09-20,44.940862181896
2010-09-21,44.563630546346
2010-09-22,43.574445368681
2010-09-23,42.300240733044
2010-09-24,43.884613602355
2010-09-27,43.532530742508
2010-09-28,43.985208705169
2010-09-29,43.230745434068
2010-09-30,43.348106387351
2010-10-01,43.641508770556
2010-10-04,43.130150331255
2010-10-05,44.211547686499
2010-10-06,45.049840209944
2010-10-07,44.924096331427
2010-10-08,45.561198649246
2010-10-11,45.56958157448
2010-10-12,45.686942527763
2010-10-13,45.955196135265
2010-10-14,45.963579060499
2010-10-15,45.703708378231
