Date,AGN
2010-01-04,39.851427699177
2010-01-05,39.455781854559
2010-01-06,39.58436675406
2010-01-07,39.267850078365
2010-01-08,38.981006841017
2010-01-11,39.337088101174
2010-01-12,39.287632370596
2010-01-13,40.444896466105
2010-01-14,40.652610534529
2010-01-15,40.45478761222
2010-01-19,41.374664200958
2010-01-20,41.087820963609
2010-01-21,39.970121452563
2010-01-22,39.079918302172
2010-01-25,38.961224548786
2010-01-26,38.575469850283
2010-01-27,38.436993804667
2010-01-28,37.95232764501
2010-01-29,37.95232764501
2010-02-01,37.982001083356
2010-02-02,39.079918302172
2010-02-03,38.93155111044
2010-02-04,37.774287014931
2010-02-05,37.774287014931
2010-02-08,37.279729709158
2010-02-09,37.685266699892
2010-02-10,37.329185439736
2010-02-11,37.586355238738
2010-02-12,37.665484407661
2010-02-16,38.179824005665
2010-02-17,38.16993285955
2010-02-18,38.476558389129
2010-02-19,38.684272457553
2010-02-22,38.93155111044
2010-02-23,38.555687558052
2010-02-24,39.178829763326
2010-02-25,39.267850078365
2010-02-26,39.356870393404
2010-03-01,39.683278215215
2010-03-02,39.643713630753
2010-03-03,39.505237585136
2010-03-04,39.426108416213
2010-03-05,40.118488644295
2010-03-08,39.564584461829
2010-03-09,39.742625091907
2010-03-10,40.138270936526
2010-03-11,40.533916781144
2010-03-12,40.919671479647
2010-03-15,39.841536553062
2010-03-16,40.207508959334
2010-03-17,40.187726667103
2010-03-18,40.336093858835
2010-03-19,39.980012598678
2010-03-22,40.227291251565
2010-03-23,40.949344917993
2010-03-24,40.988909502455
2010-03-25,40.929562625762
2010-03-26,40.860324602954
2010-03-29,41.374664200958
2010-03-30,41.691180876652
2010-03-31,41.315317324265
2010-04-01,41.938459529539
2010-04-05,41.819765776153
2010-04-06,41.493357954343
2010-04-07,41.52303139269
2010-04-08,41.681289730537
2010-04-09,41.8494392145
2010-04-12,41.879112652846
2010-04-13,41.978024114001
2010-04-14,41.839548068384
2010-04-15,41.918677237308
2010-04-16,42.086826721271
2010-04-19,42.165955890194
2010-04-20,42.858336118276
2010-04-21,42.709968926544
2010-04-22,42.294540789695
2010-04-23,42.680295488198
2010-04-26,42.630839757621
2010-04-27,41.621942853844
2010-04-28,42.264867351349
2010-04-29,42.403343396965
2010-04-30,42.353887666388
2010-05-03,42.957247579431
2010-05-04,42.531928296466
2010-05-05,43.115505917278
2010-05-06,41.908786091192
2010-05-07,41.532922538805
2010-05-10,41.117494401956
2010-05-11,42.690186634314
2010-05-12,42.907791848854
2010-05-13,43.253981962895
2010-05-14,42.28464964358
2010-05-17,42.116500159617
2010-05-18,41.968132967885
2010-05-19,43.253981962895
2010-05-20,42.878118410507
2010-05-21,42.403343396965
2010-05-24,42.146173597963
2010-05-25,42.106609013502
2010-05-26,43.056159040585
2010-05-27,43.718865830321
2010-05-28,43.679301245859
2010-06-01,42.660513195967
2010-06-02,43.946362190977
2010-06-03,44.450810642865
2010-06-04,43.224308524548
2010-06-07,42.413234543081
2010-06-08,41.809874630038
2010-06-09,41.562595977151
2010-06-10,42.264867351349
2010-06-11,42.205520474656
2010-06-14,42.235193913003
2010-06-15,43.649627807513
2010-06-16,43.461696031319
2010-06-17,43.778212707014
2010-06-18,43.530934054127
2010-06-21,42.561601734813
2010-06-22,42.709968926544
2010-06-23,42.254976205233
2010-06-24,42.106609013502
2010-06-25,42.126391305732
2010-06-28,41.651616292191
2010-06-29,40.78119543403
2010-06-30,40.12837979041
2010-07-01,40.207508959334
2010-07-02,40.148162082641
2010-07-06,40.929562625762
2010-07-07,41.552704831036
2010-07-08,41.997806406232
2010-07-09,42.116500159617
2010-07-12,42.116500159617
2010-07-13,42.759424657122
2010-07-14,43.412240300742
2010-07-15,43.323219985703
2010-07-16,42.373669958619
2010-07-19,43.095723625047
2010-07-20,42.9374652872
2010-07-21,42.967138725546
2010-07-22,43.066050186701
2010-07-23,41.186732424764
2010-07-26,41.651616292191
2010-07-27,40.939453771878
2010-07-28,39.930556868101
2010-07-29,39.426108416213
2010-07-30,40.059141767602
2010-08-02,40.642719388414
2010-08-03,40.415223027758
2010-08-04,40.880106895185
2010-08-05,40.909780333531
2010-08-06,40.771304287915
2010-08-09,41.236188155341
2010-08-10,41.255970447572
2010-08-11,40.761413141799
2010-08-12,41.077929817494
2010-08-13,41.275752739803
2010-08-16,41.968132967885
2010-08-17,42.512146004235
2010-08-18,42.512146004235
2010-08-19,41.859330360615
2010-08-20,41.730745461114
2010-08-23,41.908786091192
2010-08-24,41.770310045576
2010-08-25,42.116500159617
2010-08-26,42.492363712004
2010-08-27,43.273764255126
2010-08-30,42.779206949353
2010-08-31,42.601166319274
2010-09-01,43.669410099744
2010-09-02,44.361790327826
2010-09-03,44.124402821055
2010-09-07,44.272770012787
2010-09-08,44.282661158902
2010-09-09,44.431028350634
2010-09-10,42.61105746539
2010-09-13,42.235193913003
2010-09-14,42.027479844578
2010-09-15,42.413234543081
2010-09-16,42.690186634314
2010-09-17,42.818771533814
2010-09-20,43.451804885204
2010-09-21,43.37267571628
2010-09-22,43.48147832355
2010-09-23,43.253981962895
2010-09-24,44.183749697748
2010-09-27,43.402349154626
2010-09-28,43.273764255126
2010-09-29,42.225302766887
2010-09-30,41.8494392145
2010-10-01,42.897900702738
2010-10-04,42.670404342083
2010-10-05,43.788103853129
2010-10-06,43.768321560898
2010-10-07,43.936471044861
2010-10-08,44.54972210402
2010-10-11,44.648633565174
2010-10-12,45.608074738373
2010-10-13,45.845462245144
2010-10-14,46.577407057688
2010-10-15,46.844468002806
