Date,APC
2010-01-04,61.270944500836
2010-01-05,62.993420852266
2010-01-06,63.542341887336
2010-01-07,63.438236173789
2010-01-08,63.46662864112
2010-01-11,62.756816957839
2010-01-12,60.703095154211
2010-01-13,62.908243450272
2010-01-14,63.192168123584
2010-01-15,62.359322415201
2010-01-19,63.334130460241
2010-01-20,62.245752545876
2010-01-21,60.712559309989
2010-01-22,59.747215420726
2010-01-25,61.450763460601
2010-01-26,60.466491259784
2010-01-27,61.498084239486
2010-01-28,61.87665047057
2010-01-29,60.362385546236
2010-02-01,61.611654108811
2010-02-02,62.78520942517
2010-02-03,62.851458515609
2010-02-04,59.425434124305
2010-02-05,59.576860616739
2010-02-08,58.990082958559
2010-02-09,60.135245807586
2010-02-10,60.608453596441
2010-02-11,62.018612807226
2010-02-12,61.819865535907
2010-02-16,64.280546037949
2010-02-17,65.122855902109
2010-02-18,66.618192514888
2010-02-19,66.41944524357
2010-02-22,65.482493821638
2010-02-23,65.473029665861
2010-02-24,65.908380831607
2010-02-25,65.96516576627
2010-02-26,66.372124464684
2010-03-01,66.637120826443
2010-03-02,67.081936147966
2010-03-03,66.409981087793
2010-03-04,66.362660308907
2010-03-05,68.246027308547
2010-03-08,67.413181600163
2010-03-09,67.49846676103
2010-03-10,67.55532353494
2010-03-11,68.531364820408
2010-03-12,68.27550933781
2010-03-15,67.564799663925
2010-03-16,68.123891274048
2010-03-17,69.308407397188
2010-03-18,67.223659020461
2010-03-19,66.323426766874
2010-03-22,66.825661603086
2010-03-23,67.062564827714
2010-03-24,66.674043539324
2010-03-25,65.148386772719
2010-03-26,65.764335156752
2010-03-29,67.782750630583
2010-03-30,68.559793207363
2010-03-31,69.014647398649
2010-04-01,70.417114488447
2010-04-05,70.824588034808
2010-04-06,70.075973844983
2010-04-07,68.692459013155
2010-04-08,69.251550623277
2010-04-09,69.46002546095
2010-04-12,69.09045643053
2010-04-13,68.739839658081
2010-04-14,70.189687392804
2010-04-15,70.824588034808
2010-04-16,69.649548040652
2010-04-19,69.47897771892
2010-04-20,70.066497715998
2010-04-21,68.777744174021
2010-04-22,69.526358363846
2010-04-23,70.227591908745
2010-04-26,69.346311913129
2010-04-27,66.427664185711
2010-04-28,66.522425475562
2010-04-29,63.802776456832
2010-04-30,58.903617771523
2010-05-03,60.675653891741
2010-05-04,61.026270664191
2010-05-05,58.590905515014
2010-05-06,57.757006164323
2010-05-07,55.795447464403
2010-05-10,54.610931341263
2010-05-11,52.914704252926
2010-05-12,53.976030699259
2010-05-13,54.819406178935
2010-05-14,54.317171342724
2010-05-17,54.184505536932
2010-05-18,54.999452629653
2010-05-19,53.710699087676
2010-05-20,50.55514813563
2010-05-21,51.957615225428
2010-05-24,50.403530071868
2010-05-25,50.033961041448
2010-05-26,50.545672006645
2010-05-27,52.658848770327
2010-05-28,49.588582979147
2010-06-01,39.894503027367
2010-06-02,42.036108178005
2010-06-03,43.647050105476
2010-06-04,42.756293980874
2010-06-07,42.557295272186
2010-06-08,40.639273486157
2010-06-09,33.071633072964
2010-06-10,37.173541051006
2010-06-11,39.680262593143
2010-06-14,39.879660897631
2010-06-15,42.452848541264
2010-06-16,40.886147577429
2010-06-17,39.499854603368
2010-06-18,40.420884866956
2010-06-21,41.256458714335
2010-06-22,39.594806176934
2010-06-23,37.847697223323
2010-06-24,35.863209335798
2010-06-25,35.777752919589
2010-06-28,35.834723863729
2010-06-29,34.818742026575
2010-06-30,34.268022899893
2010-07-01,35.293499894404
2010-07-02,36.148064056496
2010-07-06,36.689288025821
2010-07-07,39.490359446011
2010-07-08,42.310421180915
2010-07-09,43.117509556225
2010-07-12,44.389860642006
2010-07-13,45.215939332028
2010-07-14,45.177958702602
2010-07-15,46.602232306089
2010-07-16,45.064016814323
2010-07-19,43.221956287147
2010-07-20,43.810656043255
2010-07-21,43.65873352555
2010-07-22,45.671706885144
2010-07-23,46.307882428035
2010-07-26,47.979030122793
2010-07-27,47.770136660948
2010-07-28,46.355358214818
2010-07-29,47.428310996111
2010-07-30,46.678193564942
2010-08-02,50.580703238496
2010-08-03,50.45726619286
2010-08-04,52.62216207016
2010-08-05,54.046435673647
2010-08-06,52.869036161431
2010-08-09,53.505211704322
2010-08-10,51.359306141735
2010-08-11,49.935032538248
2010-08-12,49.222895736505
2010-08-13,49.726139076403
2010-08-16,49.317847310071
2010-08-17,50.371809776651
2010-08-18,49.574216558698
2010-08-19,47.475786782894
2010-08-20,46.241416326539
2010-08-23,44.627239575921
2010-08-24,43.93409308889
2010-08-25,44.389860642006
2010-08-26,44.589258946494
2010-08-27,45.01654102754
2010-08-30,44.0195495051
2010-08-31,43.668228682906
2010-09-01,46.326872742748
2010-09-02,47.703670559452
2010-09-03,49.517245614559
2010-09-07,47.814674165268
2010-09-08,49.831127501858
2010-09-09,49.726500206092
2010-09-10,50.325729263663
2010-09-13,50.715703729702
2010-09-14,50.078428382761
2010-09-15,51.467117944752
2010-09-16,51.467117944752
2010-09-17,51.495652661779
2010-09-20,52.694110776922
2010-09-21,53.055550525933
2010-09-22,52.304136310883
2010-09-23,52.751180210976
2010-09-24,54.234985496391
2010-09-27,54.86274927099
2010-09-28,54.158892917652
2010-09-29,54.729587258196
2010-09-30,54.263520213419
2010-10-01,54.273031785761
2010-10-04,53.550152287738
2010-10-05,54.6630062518
2010-10-06,54.567890528376
2010-10-07,54.025730904859
2010-10-08,55.347839460453
2010-10-11,55.909022228655
2010-10-12,55.452466756219
2010-10-13,55.585628769013
2010-10-14,54.434728515582
2010-10-15,54.824702981621
