Date,AAP
2010-01-04,39.554635609962
2010-01-05,39.319541193261
2010-01-06,39.662387217617
2010-01-07,39.652591616921
2010-01-08,39.809321228055
2010-01-11,39.41749720022
2010-01-12,38.731805151508
2010-01-13,39.270563189782
2010-01-14,38.7513963529
2010-01-15,38.506506335503
2010-01-19,38.692622748725
2010-01-20,38.359572325065
2010-01-21,38.428141529936
2010-01-22,38.927717165426
2010-01-25,39.672182818313
2010-01-26,39.721160821792
2010-01-27,39.760343224576
2010-01-28,38.957103967514
2010-01-29,38.643644745245
2010-02-01,39.662387217617
2010-02-02,40.348079266329
2010-02-03,40.348079266329
2010-02-04,40.093393648236
2010-02-05,39.887686033622
2010-02-08,39.975846439885
2010-02-09,40.720312092772
2010-02-10,41.464777745659
2010-02-11,41.680280960968
2010-02-12,41.934966579061
2010-02-16,41.758645766535
2010-02-17,42.003535783932
2010-02-18,39.329336793957
2010-02-19,39.182402783519
2010-02-22,39.41749720022
2010-02-23,39.397905998828
2010-02-24,39.633000415529
2010-02-25,39.897481634318
2010-02-26,39.966050839189
2010-03-01,40.455830873983
2010-03-02,40.495013276767
2010-03-03,40.641947287205
2010-03-04,40.926019707385
2010-03-05,41.425595342875
2010-03-08,41.239478929654
2010-03-09,41.08274931852
2010-03-10,41.268865731741
2010-03-11,41.513755749138
2010-03-12,41.317843735221
2010-03-15,41.219887728262
2010-03-16,41.435390943571
2010-03-17,41.484368947051
2010-03-18,41.631302957489
2010-03-19,42.375768610376
2010-03-22,42.748001436819
2010-03-23,43.061460659087
2010-03-24,42.561885023597
2010-03-25,42.198946617081
2010-03-26,41.66925272649
2010-03-29,41.384787488951
2010-03-30,41.424024073439
2010-03-31,41.119940543655
2010-04-01,41.551542973026
2010-04-05,41.855626502809
2010-04-06,41.747725895467
2010-04-07,41.296505173852
2010-04-08,41.443642365683
2010-04-09,41.325932612218
2010-04-12,41.600588703636
2010-04-13,41.453451511805
2010-04-14,44.415813640666
2010-04-15,44.513905101886
2010-04-16,44.180394133736
2010-04-19,43.601654512535
2010-04-20,43.611463658657
2010-04-21,44.111730110882
2010-04-22,44.621805709229
2010-04-23,45.229972768796
2010-04-26,45.43596483736
2010-04-27,44.376577056178
2010-04-28,44.661042293717
2010-04-29,45.004362407989
2010-04-30,44.239249010469
2010-05-03,45.43596483736
2010-05-04,44.798370339426
2010-05-05,44.258867302713
2010-05-06,43.356425859484
2010-05-07,42.924823430113
2010-05-10,44.249058156591
2010-05-11,44.543332540253
2010-05-12,45.082835576966
2010-05-13,44.3863862023
2010-05-14,44.043066088028
2010-05-17,44.876843508402
2010-05-18,44.876843508402
2010-05-19,45.210354476552
2010-05-20,48.055006851948
2010-05-21,48.525845865807
2010-05-24,48.604319034783
2010-05-25,50.056072660848
2010-05-26,49.241913532717
2010-05-27,50.350347044509
2010-05-28,50.772140327758
2010-06-01,49.408669016792
2010-06-02,50.369965336753
2010-06-03,50.507293382462
2010-06-04,49.202676948229
2010-06-07,47.672450153188
2010-06-08,48.516036719685
2010-06-09,48.741647080492
2010-06-10,49.271340971083
2010-06-11,49.545997062501
2010-06-14,49.83046230004
2010-06-15,51.144887880396
2010-06-16,50.987941542443
2010-06-17,50.899659227344
2010-06-18,50.605384843683
2010-06-21,50.360156190631
2010-06-22,49.359623286182
2010-06-23,49.957981199627
2010-06-24,50.026726210124
2010-06-25,49.987443346983
2010-06-28,49.565152568216
2010-06-29,49.378558968297
2010-06-30,49.280351810444
2010-07-01,50.773100609804
2010-07-02,50.095471220621
2010-07-06,49.594614715572
2010-07-07,49.977622631197
2010-07-08,49.908877620701
2010-07-09,50.350809831037
2010-07-12,50.537403430957
2010-07-13,51.706068609404
2010-07-14,51.656965030477
2010-07-15,52.108717956599
2010-07-16,50.419554841534
2010-07-19,51.028439220221
2010-07-20,52.049793661888
2010-07-21,50.763279894018
2010-07-22,52.14800081974
2010-07-23,53.198817408763
2010-07-26,53.866626082161
2010-07-27,53.562183892818
2010-07-28,52.678319472145
2010-07-29,52.226566546022
2010-07-30,52.570291598507
2010-08-02,52.472084440654
2010-08-03,51.666785746263
2010-08-04,52.403339430157
2010-08-05,52.904195935206
2010-08-06,51.804275767256
2010-08-09,52.305132272305
2010-08-10,52.098897240814
2010-08-11,50.979335641294
2010-08-12,53.6407496191
2010-08-13,53.287203850831
2010-08-16,53.326486713972
2010-08-17,53.522901029677
2010-08-18,54.20053041886
2010-08-19,54.288916860927
2010-08-20,54.887980523828
2010-08-23,53.768418924309
2010-08-24,53.287203850831
2010-08-25,53.876446797946
2010-08-26,53.699673913812
2010-08-27,54.583538334485
2010-08-30,53.188996692978
2010-08-31,53.493438882321
2010-09-01,54.485331176633
2010-09-02,55.280809155239
2010-09-03,55.52632704987
2010-09-07,55.270988439454
2010-09-08,55.545968481441
2010-09-09,55.035291260607
2010-09-10,55.064753407963
2010-09-13,55.545968481441
2010-09-14,56.331625744262
2010-09-15,56.380729323188
2010-09-16,56.950330838733
2010-09-17,57.107462291298
2010-09-20,58.099354585609
2010-09-21,57.362800901714
2010-09-22,58.796625406363
2010-09-23,57.862721474979
2010-09-24,58.600014052387
2010-09-27,58.373910995315
2010-09-28,58.452555536906
2010-09-29,58.649166890881
2010-09-30,57.685771256401
2010-10-01,57.705432391799
2010-10-04,56.801020163512
2010-10-05,57.675940688702
2010-10-06,57.459668199329
2010-10-07,57.793907501088
2010-10-08,57.557973876317
2010-10-11,58.265774750629
2010-10-12,58.845778244856
2010-10-13,58.963745057242
2010-10-14,58.776964270965
2010-10-15,59.927140691722
