Date,AOS
2010-01-04,10.107816254651
2010-01-05,9.9786646010949
2010-01-06,9.9831962380618
2010-01-07,10.012651878347
2010-01-08,10.159930079771
2010-01-11,10.112347891618
2010-01-12,10.042107518631
2010-01-13,9.9854620565453
2010-01-14,10.033044244698
2010-01-15,9.9560064162605
2010-01-19,10.130474439486
2010-01-20,10.187119901572
2010-01-21,9.8381838551213
2010-01-22,9.7294245679159
2010-01-25,9.7090322015649
2010-01-26,9.6048045513264
2010-01-27,9.9707342364029
2010-01-28,9.822800494023
2010-01-29,9.6907980777456
2010-02-01,9.6725908479142
2010-02-02,9.6862462702878
2010-02-03,9.706729403848
2010-02-04,9.4358968601064
2010-02-05,9.4882426458716
2010-02-08,9.5451402390947
2010-02-09,9.7841101306314
2010-02-10,9.7522474784265
2010-02-11,9.9229402580955
2010-02-12,9.9912173699632
2010-02-16,10.007148696066
2010-02-17,9.9411474879269
2010-02-18,10.12549568997
2010-02-19,10.168737860819
2010-02-22,10.225635454042
2010-02-23,10.143702919801
2010-02-24,10.29391256591
2010-02-25,10.298464373368
2010-02-26,10.309843892012
2010-03-01,10.446398115747
2010-03-02,10.728610178134
2010-03-03,10.790059578814
2010-03-04,10.790059578814
2010-03-05,10.874268016785
2010-03-08,10.790059578814
2010-03-09,10.824198134748
2010-03-10,10.846957172037
2010-03-11,11.003994529333
2010-03-12,11.05178850764
2010-03-15,11.220205383581
2010-03-16,11.279378880532
2010-03-17,11.334000570027
2010-03-18,11.299862014093
2010-03-19,11.183790923918
2010-03-22,11.352207799858
2010-03-23,11.953046384293
2010-03-24,11.893872887341
2010-03-25,11.702696974112
2010-03-26,11.698145166654
2010-03-29,11.834699390389
2010-03-30,11.996288555143
2010-03-31,11.964425902938
2010-04-01,11.953046384293
2010-04-05,12.230706639221
2010-04-06,12.273948810071
2010-04-07,12.189740372101
2010-04-08,12.333122307023
2010-04-09,12.446917493469
2010-04-12,12.353605440583
2010-04-13,12.688163288735
2010-04-14,12.879339201964
2010-04-15,12.756440400602
2010-04-16,12.745060881958
2010-04-19,12.706370518566
2010-04-20,11.825595775473
2010-04-21,11.848354812763
2010-04-22,12.032703014805
2010-04-23,12.10780783786
2010-04-26,12.066841570739
2010-04-27,11.957598191751
2010-04-28,11.869975898187
2010-04-29,12.214927083835
2010-04-30,11.794589215231
2010-05-03,12.034455933728
2010-05-04,11.753469206346
2010-05-05,11.39481135107
2010-05-06,11.33541578268
2010-05-07,10.905940134324
2010-05-10,11.495326928345
2010-05-11,11.403949130822
2010-05-12,11.849415893745
2010-05-13,11.771744765851
2010-05-14,11.461060254274
2010-05-17,11.241753540219
2010-05-18,11.038437940732
2010-05-19,10.951629033085
2010-05-20,10.565557838552
2010-05-21,10.586117842995
2010-05-24,10.34396667956
2010-05-25,10.442197811897
2010-05-26,10.529006719543
2010-05-27,10.917362359014
2010-05-28,10.650082301261
2010-06-01,10.339397789684
2010-06-02,10.471895596091
2010-06-03,10.807709001987
2010-06-04,10.476464485968
2010-06-07,10.309700005489
2010-06-08,10.531291164481
2010-06-09,10.558704503738
2010-06-10,11.022446826165
2010-06-11,11.246322430096
2010-06-14,10.974473482466
2010-06-15,11.255460209848
2010-06-16,11.328562447866
2010-06-17,11.319424668114
2010-06-18,11.248606875034
2010-06-21,10.9105090242
2010-06-22,10.787148997544
2010-06-23,10.848829010872
2010-06-24,10.832837896306
2010-06-25,11.095549064183
2010-06-28,11.287442438981
2010-06-29,11.143522407883
2010-06-30,11.008740156537
2010-07-01,11.004171266661
2010-07-02,11.065851279988
2010-07-06,11.006455711599
2010-07-07,11.575282501177
2010-07-08,11.742046981656
2010-07-09,11.936224801391
2010-07-12,11.83114033424
2010-07-13,12.349709335181
2010-07-14,12.208073749021
2010-07-15,12.155531515446
2010-07-16,11.68950474808
2010-07-19,11.860838118435
2010-07-20,11.76032254116
2010-07-21,12.002473704595
2010-07-22,12.297167101606
2010-07-23,12.555309379607
2010-07-26,12.822589437361
2010-07-27,12.521042705536
2010-07-28,12.589576053678
2010-07-29,12.637732901971
2010-07-30,12.539126022133
2010-08-02,12.759271614329
2010-08-03,12.564351037906
2010-08-04,12.598748786686
2010-08-05,12.555178304897
2010-08-06,12.477210074328
2010-08-09,12.695062483272
2010-08-10,12.257064482133
2010-08-11,11.745684616929
2010-08-12,11.651664103595
2010-08-13,11.670009569612
2010-08-16,11.784668732213
2010-08-17,12.142405319531
2010-08-18,12.19744171758
2010-08-19,11.745684616929
2010-08-20,11.697527768636
2010-08-23,11.553057223758
2010-08-24,11.573695873026
2010-08-25,11.761736899693
2010-08-26,11.69064821888
2010-08-27,12.009400690913
2010-08-30,11.780082365709
2010-08-31,11.775495999205
2010-09-01,12.348791812214
2010-09-02,12.172216701807
2010-09-03,12.419880493027
2010-09-07,12.348791812214
2010-09-08,12.374016827987
2010-09-09,12.34420544571
2010-09-10,12.374016827987
2010-09-13,12.793669363109
2010-09-14,12.736339781808
2010-09-15,12.889983059695
2010-09-16,12.901448975955
2010-09-17,12.871637593678
2010-09-20,13.176630966199
2010-09-21,13.266065113029
2010-09-22,13.036746787825
2010-09-23,12.768444347337
2010-09-24,13.206442348476
2010-09-27,13.142233217419
2010-09-28,13.396776558395
2010-09-29,13.325687877582
2010-09-30,13.275237846037
2010-10-01,13.240840097256
2010-10-04,13.052799070589
2010-10-05,13.4586925062
2010-10-06,13.495383438232
2010-10-07,13.538953920021
2010-10-08,13.632974433354
2010-10-11,13.456399322948
2010-10-12,13.295876495305
2010-10-13,13.541247103273
2010-10-14,13.360085626362
