Date,APH
2010-01-04,21.79972693642
2010-01-05,21.344181924253
2010-01-06,21.424851353491
2010-01-07,21.282493537188
2010-01-08,21.439087135121
2010-01-11,21.491285001098
2010-01-12,21.021504207301
2010-01-13,21.35367244534
2010-01-14,21.491285001098
2010-01-15,20.803222222304
2010-01-19,20.917108475346
2010-01-20,20.926598996433
2010-01-21,20.167357309487
2010-01-22,19.237286242979
2010-01-25,19.384389319825
2010-01-26,19.550473438844
2010-01-27,19.355917756565
2010-01-28,18.990532694722
2010-01-29,18.905118004941
2010-02-01,19.25152202461
2010-02-02,19.25152202461
2010-02-03,19.185088377002
2010-02-04,18.278743613211
2010-02-05,18.440082471687
2010-02-08,18.487535077121
2010-02-09,18.800722272986
2010-02-10,18.767505449182
2010-02-11,19.009513736896
2010-02-12,18.924099047114
2010-02-16,19.597926044278
2010-02-17,19.782991205471
2010-02-18,19.911113240143
2010-02-19,20.304969865246
2010-02-22,19.816208029275
2010-02-23,19.564709220474
2010-02-24,19.754519642211
2010-02-25,19.678595473516
2010-02-26,19.764010163298
2010-03-01,20.167357309487
2010-03-02,20.138885746227
2010-03-03,20.665609666545
2010-03-04,20.523251850243
2010-03-05,20.836439046108
2010-03-08,20.765260137957
2010-03-09,21.016758946758
2010-03-10,21.420106092947
2010-03-11,21.035739988931
2010-03-12,20.95032529915
2010-03-15,20.834066415836
2010-03-16,21.066663648549
2010-03-17,21.156854412254
2010-03-18,21.009701060946
2010-03-19,20.644191123826
2010-03-22,20.392606361912
2010-03-23,20.055577718594
2010-03-24,19.927411896487
2010-03-25,19.913171249586
2010-03-26,19.680574016873
2010-03-29,20.136274717698
2010-03-30,20.041337071693
2010-03-31,20.027096424792
2010-04-01,20.122034070798
2010-04-05,20.397353244213
2010-04-06,20.397353244213
2010-04-07,20.311909362808
2010-04-08,20.316656245108
2010-04-09,20.554000360121
2010-04-12,20.639444241526
2010-04-13,20.663178653027
2010-04-14,21.218563882157
2010-04-15,21.09039806005
2010-04-16,20.800838239735
2010-04-19,20.89577588574
2010-04-20,22.519209632428
2010-04-21,22.18692787141
2010-04-22,22.18218098911
2010-04-23,22.296106164316
2010-04-26,22.495475220927
2010-04-27,21.792936640489
2010-04-28,22.006546344
2010-04-29,22.18218098911
2010-04-30,21.935343109496
2010-05-03,22.36256251652
2010-05-04,21.251792058259
2010-05-05,20.938497826442
2010-05-06,20.582481653923
2010-05-07,20.1600091292
2010-05-10,21.479642408672
2010-05-11,21.356223468865
2010-05-12,21.569833172376
2010-05-13,21.370464115766
2010-05-14,20.886282121139
2010-05-17,21.27077958746
2010-05-18,20.962232237943
2010-05-19,20.406847008813
2010-05-20,19.552408194766
2010-05-21,19.898930602685
2010-05-24,19.732789722176
2010-05-25,19.718549075276
2010-05-26,19.566648841667
2010-05-27,20.406847008813
2010-05-28,20.126780953098
2010-06-01,19.485951842563
2010-06-02,19.913171249586
2010-06-03,20.055577718594
2010-06-04,19.362532902756
2010-06-07,18.89259155503
2010-06-08,18.588791087814
2010-06-09,18.69796938072
2010-06-10,19.296076550552
2010-06-11,19.466964313362
2010-06-14,19.497819048313
2010-06-15,20.419050635107
2010-06-16,20.257597676597
2010-06-17,20.262346293023
2010-06-18,20.248100443743
2010-06-21,20.214860128756
2010-06-22,19.877708362455
2010-06-23,19.815976348907
2010-06-24,19.440835651192
2010-06-25,19.66402062325
2010-06-28,19.697260938238
2010-06-29,19.013460172783
2010-06-30,18.652565324349
2010-07-01,18.771280735018
2010-07-02,18.500609598692
2010-07-06,18.462620667278
2010-07-07,19.127426967025
2010-07-08,19.345863322657
2010-07-09,19.298377158389
2010-07-12,19.255639610548
2010-07-13,19.934691759576
2010-07-14,20.10564195094
2010-07-15,20.229105978036
2010-07-16,19.540556596154
2010-07-19,19.754244335359
2010-07-20,20.162625348061
2010-07-21,20.181619813768
2010-07-22,20.851174729943
2010-07-23,21.416260084728
2010-07-26,21.767657700309
2010-07-27,21.392517002594
2010-07-28,21.311790523339
2010-07-29,21.264304359072
2010-07-30,21.273801591925
2010-08-02,21.705925686761
2010-08-03,21.477992098276
2010-08-04,21.6774339882
2010-08-05,21.482740714703
2010-08-06,21.36877392046
2010-08-09,21.705925686761
2010-08-10,21.364025304034
2010-08-11,20.243351827316
2010-08-12,19.773238801066
2010-08-13,19.388600870498
2010-08-16,19.611785842556
2010-08-17,20.100893334513
2010-08-18,20.10564195094
2010-08-19,19.697260938238
2010-08-20,19.78273603392
2010-08-23,19.35536055551
2010-08-24,19.170164514866
2010-08-25,19.255639610548
2010-08-26,19.48832181546
2010-08-27,19.910948677442
2010-08-30,19.578545527569
2010-08-31,19.336366089803
2010-09-01,20.846426113516
2010-09-02,21.20732096195
2010-09-03,21.753411851029
2010-09-07,21.948105124526
2010-09-08,22.26626242512
2010-09-09,21.967099590233
2010-09-10,21.791400782443
2010-09-13,22.515564787525
2010-09-14,22.529815144986
2010-09-15,22.487064072604
2010-09-16,22.273308710697
2010-09-17,22.491814191758
2010-09-20,22.924075034725
2010-09-21,22.67231871959
2010-09-22,22.202056923395
2010-09-23,22.24955811493
2010-09-24,23.142580515785
2010-09-27,23.019077417795
2010-09-28,23.237582898855
2010-09-29,23.361085996846
2010-09-30,23.266083613776
2010-10-01,23.304084567004
2010-10-04,22.919324915571
2010-10-05,23.821847554734
2010-10-06,23.484589094836
2010-10-07,23.475088856529
2010-10-08,23.39433683092
2010-10-11,23.427587664995
2010-10-12,23.408587188381
2010-10-13,23.688844218436
2010-10-14,23.484589094836
2010-10-15,23.821847554734
