Date,ABBV
2013-01-02,29.375118725835
2013-01-03,29.132556526789
2013-01-04,28.765200258441
2013-01-07,28.823080617662
2013-01-08,28.195764585647
2013-01-09,28.35468464709
2013-01-10,28.438326784692
2013-01-11,28.647432128698
2013-01-14,28.850545384558
2013-01-15,29.282161053262
2013-01-16,30.077687972051
2013-01-17,30.822436576873
2013-01-18,31.584111286351
2013-01-22,30.822436576873
2013-01-23,31.990337798073
2013-01-24,31.702594018937
2013-01-25,31.821076751522
2013-01-28,31.220200036267
2013-01-29,31.575648234024
2013-01-30,31.254052245578
2013-01-31,31.050938989717
2013-02-01,31.465628553766
2013-02-04,31.550259077041
2013-02-05,31.482554658421
2013-02-06,31.431776344456
2013-02-07,30.822436576873
2013-02-08,30.678564687305
2013-02-11,30.340042594204
2013-02-12,29.97613134412
2013-02-13,29.849185559207
2013-02-14,30.949382361786
2013-02-15,31.804150646867
2013-02-19,32.320396838847
2013-02-20,32.675845036603
2013-02-21,32.819716926171
2013-02-22,32.54889925169
2013-02-25,31.626426547989
2013-02-26,31.389461082818
2013-02-27,31.084791199027
2013-02-28,31.24558919325
2013-03-01,31.9988008504
2013-03-04,32.362712100484
2013-03-05,31.744909280574
2013-03-06,31.939559484108
2013-03-07,31.727983175919
2013-03-08,31.601037391006
2013-03-11,31.880318117815
2013-03-12,31.457165501438
2013-03-13,31.457165501438
2013-03-14,31.787224542212
2013-03-15,32.582751461
2013-03-18,32.295007681864
2013-03-19,32.464268728415
2013-03-20,33.056682391342
2013-03-21,32.574288408673
2013-03-22,32.980514920394
2013-03-25,33.276721751858
2013-03-26,34.029933409008
2013-03-27,33.979155095043
2013-03-28,34.512327391678
2013-04-01,34.800071170814
2013-04-02,34.453086025385
2013-04-03,34.334603292799
2013-04-04,35.206297682535
2013-04-05,34.960869165037
2013-04-08,35.350169572103
2013-04-09,36.010287653651
2013-04-10,36.915834252697
2013-04-11,36.898908148042
2013-04-12,36.804952594887
2013-04-15,35.395619297566
2013-04-16,36.258302103805
2013-04-17,36.078932411419
2013-04-18,36.147263722804
2013-04-19,36.207053620266
2013-04-22,37.753049540358
2013-04-23,38.555942449134
2013-04-24,37.855546507435
2013-04-25,37.78721519605
2013-04-26,39.153841423755
2013-04-29,38.632815174443
2013-04-30,39.333211116142
2013-05-01,38.906140419984
2013-05-02,37.573679847971
2013-05-03,38.163037408669
2013-05-06,38.086164683361
2013-05-07,38.359489928902
2013-05-08,37.146609151813
2013-05-09,37.78721519605
2013-05-10,38.444904068133
2013-05-13,38.043457613745
2013-05-14,38.735312141521
2013-05-15,39.316128288295
2013-05-16,39.469873738912
2013-05-17,40.289849475535
2013-05-20,39.512580808528
2013-05-21,39.751740398376
2013-05-22,39.939651504686
2013-05-23,39.794447467992
2013-05-24,38.812184866829
2013-05-28,38.769477797213
2013-05-29,37.479724294816
2013-05-30,38.051999027668
2013-05-31,36.463296037961
2013-06-03,37.035570770812
2013-06-04,37.266188946738
2013-06-05,36.762245525271
2013-06-06,37.155150565736
2013-06-07,37.582221261894
2013-06-10,37.513889950509
2013-06-11,37.232023291045
2013-06-12,36.531627349346
2013-06-13,36.856201078426
2013-06-14,36.907449561965
2013-06-17,36.736621283502
2013-06-18,37.189316221429
2013-06-19,36.762245525271
2013-06-20,35.071045568486
2013-06-21,36.403506140499
2013-06-24,35.779982924108
2013-06-25,36.412047554422
2013-06-26,37.052653598659
2013-06-27,36.83911825058
2013-06-28,35.310205158334
2013-07-01,35.54082333426
2013-07-02,36.053308169649
2013-07-03,36.070390997495
2013-07-05,36.48892027973
2013-07-08,37.308896016353
2013-07-09,37.00140511512
2013-07-10,37.505348536586
2013-07-11,37.735966712511
2013-07-12,38.830637286401
2013-07-15,38.460000792879
2013-07-16,37.761825072524
2013-07-17,37.89111687259
2013-07-18,38.201417192748
2013-07-19,38.373806259502
2013-07-22,38.761681659699
2013-07-23,38.19279773941
2013-07-24,37.615294365783
2013-07-25,38.132461566046
2013-07-26,38.60653149962
2013-07-29,38.839256739739
2013-07-30,38.528956419581
2013-07-31,39.201273779923
2013-08-01,39.003026353155
2013-08-02,39.063362526519
2013-08-05,38.537575872919
2013-08-06,38.68410657966
2013-08-07,38.416903526191
2013-08-08,38.839256739739
2013-08-09,38.537575872919
2013-08-12,38.822017833063
2013-08-13,38.727203846348
2013-08-14,38.425522979528
2013-08-15,37.244657872262
2013-08-16,37.06364935217
2013-08-19,37.382569125665
2013-08-20,37.037790992156
2013-08-21,36.468907071867
2013-08-22,36.994693725468
2013-08-23,37.434285845691
2013-08-26,37.451524752367
2013-08-27,36.744729578674
2013-08-28,36.68439340531
2013-08-29,36.736110125336
2013-08-30,36.727490671999
2013-09-03,36.710251765323
2013-09-04,37.17570224556
2013-09-05,37.503241472393
2013-09-06,37.830780699226
2013-09-09,38.296231179463
2013-09-10,38.597912046283
2013-09-11,38.744442753024
2013-09-12,38.528956419581
2013-09-13,38.692726032997
2013-09-16,39.494335193405
2013-09-17,41.028597887518
2013-09-18,41.304420394325
2013-09-19,40.856208820764
2013-09-20,41.235464767623
2013-09-23,40.597625220632
2013-09-24,39.632246446808
2013-09-25,39.071981979857
2013-09-26,38.787540019712
2013-09-27,38.210036646085
2013-09-30,38.554814779594
2013-10-01,39.477096286729
2013-10-02,39.606388086795
2013-10-03,39.658104806821
2013-10-04,40.339041620501
2013-10-07,39.727060433523
2013-10-08,38.373806259502
2013-10-09,38.623770406296
2013-10-10,39.718440980185
2013-10-11,39.692356189699
2013-10-14,40.283611440718
2013-10-15,40.066238186667
