Date,APA
2010-01-04,97.07619189999487
2010-01-05,98.22236399666997
2010-01-06,99.76281929460131
2010-01-07,98.24987212699017
2010-01-08,97.73638702767973
2010-01-11,98.02980708442854
2010-01-12,96.54436804713761
2010-01-13,97.94728269346794
2010-01-14,98.4791065463252
2010-01-15,98.71751034243361
2010-01-19,99.39604422366529
2010-01-20,97.75472578122653
2010-01-21,96.46920430749257
2010-01-22,93.68696854648265
2010-01-25,95.49588090595114
2010-01-26,93.98998432243422
2010-01-27,93.10848388330237
2010-01-28,93.37477047429012
2010-01-29,90.69353997193072
2010-02-01,94.02671350739806
2010-02-02,96.07436556913142
2010-02-03,94.87148476156608
2010-02-04,90.79454523058124
2010-02-05,90.35379501101532
2010-02-08,89.24273716585954
2010-02-09,90.45480026966584
2010-02-10,90.49152945462967
2010-02-11,91.65768107723117
2010-02-12,91.43730596744822
2010-02-16,95.20204742624054
2010-02-17,95.10104216759
2010-02-18,95.11940676007193
2010-02-19,96.42329282628779
2010-02-22,95.51424549843306
2010-02-23,94.08180728484379
2010-02-24,93.90734365626561
2010-02-25,94.70620342922886
2010-02-26,95.1653182412767
2010-03-01,96.44165741876971
2010-03-02,97.49762148647974
2010-03-03,97.34152245038348
2010-03-04,96.2304646052277
2010-03-05,98.62704392411743
2010-03-08,97.35070474662443
2010-03-09,97.5251683752026
2010-03-10,97.87409563235897
2010-03-11,98.19547600079245
2010-03-12,98.11283533462384
2010-03-15,95.78971438566175
2010-03-16,96.09273016161335
2010-03-17,97.49762148647974
2010-03-18,94.99085461269853
2010-03-19,93.36558817804917
2010-03-22,93.2921298081215
2010-03-23,94.81639098412035
2010-03-24,93.95325513747039
2010-03-25,90.96900885915942
2010-03-26,90.2711543448467
2010-03-29,91.63931648474927
2010-03-30,91.56585811482162
2010-03-31,93.20030684571194
2010-04-01,95.3765110548187
2010-04-05,97.5251683752026
2010-04-06,97.82818415115419
2010-04-07,96.8456784533718
2010-04-08,97.59862674513028
2010-04-09,98.03019466845524
2010-04-12,98.35157503688872
2010-04-13,98.0577415571781
2010-04-14,99.22389317977962
2010-04-15,97.94755400228662
2010-04-16,96.81813156464892
2010-04-19,96.57939186238406
2010-04-20,99.13207021737007
2010-04-21,99.36194701501725
2010-04-22,99.52745830932322
2010-04-23,101.02625502998283
2010-04-26,100.67684229755912
2010-04-27,97.33903119572206
2010-04-28,98.00107637294595
2010-04-29,94.63568005539122
2010-04-30,93.56905171430832
2010-05-03,96.13447677605083
2010-05-04,92.79666567421378
2010-05-05,91.30706402546005
2010-05-06,88.23591000889371
2010-05-07,86.00150753576312
2010-05-10,90.35997161915367
2010-05-11,88.87956504230583
2010-05-12,90.51628784155375
2010-05-13,88.69566360418807
2010-05-14,86.69113792870466
2010-05-17,87.5278894721404
2010-05-18,86.47045620296338
2010-05-19,85.75324059430417
2010-05-20,80.88904755608984
2010-05-21,82.36945413293768
2010-05-24,80.31895309792482
2010-05-25,80.95341305943106
2010-05-26,80.74192640559563
2010-05-27,84.44754038366818
2010-05-28,82.33267384531413
2010-06-01,78.54430422008859
2010-06-02,81.87292025001977
2010-06-03,82.38784427674945
2010-06-04,80.52124467985433
2010-06-07,79.10520360634771
2010-06-08,81.73499417143145
2010-06-09,81.68901881190203
2010-06-10,85.75324059430417
2010-06-11,86.10265332672789
2010-06-14,87.66581555072871
2010-06-15,90.29560611581246
2010-06-16,89.762291945271
2010-06-17,89.36690385331785
2010-06-18,89.71631658574155
2010-06-21,87.85891206075235
2010-06-22,85.81760609764538
2010-06-23,84.787758044186
2010-06-24,82.45220978009067
2010-06-25,82.68208657773785
2010-06-28,80.64997568653676
2010-06-29,77.70755267665287
2010-06-30,77.41331037566447
2010-07-01,76.962751852276
2010-07-02,76.18117074027558
2010-07-06,76.21795102789913
2010-07-07,80.0431009407482
2010-07-08,80.36492845745427
2010-07-09,80.80629190893684
2010-07-12,78.22247670338254
2010-07-13,79.67529806451273
2010-07-14,79.84080935881869
2010-07-15,79.19715432540659
2010-07-16,76.0892200212167
2010-07-19,78.70062044248868
2010-07-20,81.31202086376065
2010-07-21,80.54753312795502
2010-07-22,82.23309042497226
2010-07-23,85.46604458482501
2010-07-26,87.96214309570846
2010-07-27,87.42792275020572
2010-07-28,86.92133449153934
2010-07-29,87.8700361395873
2010-07-30,88.03582866060539
2010-08-02,90.69771969250692
2010-08-03,90.2832383899617
2010-08-04,90.0437603040467
2010-08-05,89.85033569619225
2010-08-06,88.37662439825368
2010-08-09,88.62531317978082
2010-08-10,87.92530031325998
2010-08-11,85.04235258666766
2010-08-12,84.60023919728609
2010-08-13,84.05680815617124
2010-08-16,84.18575789474087
2010-08-17,85.65946919267944
2010-08-18,85.50288736727346
2010-08-19,84.50813224116493
2010-08-20,83.38442737648677
2010-08-23,82.39888294599035
2010-08-24,80.57516521479137
2010-08-25,79.81988817459785
2010-08-26,80.40016199816117
2010-08-27,82.86862842220827
2010-08-30,82.4817792064994
2010-08-31,82.75810007486287
2010-09-01,85.16209162962517
2010-09-02,84.0936509386197
2010-09-03,85.30946275941903
2010-09-07,83.22784555108079
2010-09-08,84.69234615340726
2010-09-09,85.39235901992807
2010-09-10,86.33184997236391
2010-09-13,87.133180490618
2010-09-14,87.22528744673917
2010-09-15,86.79238475296972
2010-09-16,86.85685962225453
2010-09-17,87.02265214327262
2010-09-20,88.45030996315062
2010-09-21,88.48715274559906
2010-09-22,87.88845753081154
2010-09-23,87.49239761949053
2010-09-24,90.38455604169498
2010-09-27,89.85954639180437
2010-09-28,89.43585439364702
