Date,ADI
2010-01-04,25.578014740197
2010-01-05,25.53763265188
2010-01-06,25.489174145899
2010-01-07,25.287263704312
2010-01-08,25.432639222254
2010-01-11,25.287263704312
2010-01-12,24.237329408062
2010-01-13,24.229252990398
2010-01-14,24.205023737408
2010-01-15,23.389305553398
2010-01-19,23.801202854234
2010-01-20,23.365076300407
2010-01-21,23.470069730032
2010-01-22,22.420135433782
2010-01-25,22.622045875368
2010-01-26,22.290912751166
2010-01-27,22.371676927801
2010-01-28,21.92747395631
2010-01-29,21.774022020704
2010-02-01,22.226301409858
2010-02-02,22.436288269109
2010-02-03,22.331294839484
2010-02-04,21.402506808185
2010-02-05,21.725563514724
2010-02-08,21.644799338089
2010-02-09,21.90324470332
2010-02-10,21.846709779676
2010-02-11,22.34744767481
2010-02-12,22.605893040041
2010-02-16,23.098554517513
2010-02-17,22.920873328917
2010-02-18,23.881967030869
2010-02-19,24.027342548811
2010-02-22,24.1404123961
2010-02-23,23.542757489003
2010-02-24,23.817355689561
2010-02-25,23.93042553685
2010-02-26,23.615445247975
2010-03-01,24.083877472456
2010-03-02,23.922349119186
2010-03-03,23.736591512927
2010-03-04,23.639010458403
2010-03-05,23.98867590378
2010-03-08,24.004939412867
2010-03-09,23.785382040189
2010-03-10,24.460317667312
2010-03-11,23.720328003839
2010-03-12,23.56582466751
2010-03-15,23.517034140248
2010-03-16,24.403395385506
2010-03-17,24.74492907634
2010-03-18,24.525371703661
2010-03-19,24.191969767371
2010-03-22,24.452185912768
2010-03-23,24.74492907634
2010-03-24,23.630878703859
2010-03-25,23.533297649335
2010-03-26,23.167368694871
2010-03-29,23.435716594811
2010-03-30,23.590219931141
2010-03-31,23.435716594811
2010-04-01,23.435716594811
2010-04-05,23.948017131062
2010-04-06,23.817909058363
2010-04-07,23.956148885605
2010-04-08,23.573956422054
2010-04-09,23.671537476577
2010-04-12,24.029334676498
2010-04-13,24.216365031002
2010-04-14,25.493050494356
2010-04-15,25.493050494356
2010-04-16,24.866905394495
2010-04-19,24.728665567252
2010-04-20,25.005145221737
2010-04-21,24.631084512729
2010-04-22,24.736797321796
2010-04-23,24.940091185387
2010-04-26,25.314151894396
2010-04-27,24.427790649137
2010-04-28,24.598557494554
2010-04-29,25.086462767173
2010-04-30,24.338341349157
2010-05-03,24.468449421855
2010-05-04,23.907358358343
2010-05-05,23.777250285645
2010-05-06,22.833966758581
2010-05-07,22.557487104097
2010-05-10,23.728459758383
2010-05-11,23.468243612986
2010-05-12,23.874831340169
2010-05-13,23.240554485764
2010-05-14,22.590014122271
2010-05-17,23.05352413126
2010-05-18,22.443642540486
2010-05-19,23.395057822093
2010-05-20,22.866493776756
2010-05-21,23.289345013026
2010-05-24,23.151105185784
2010-05-25,23.313740276657
2010-05-26,23.338135540288
2010-05-27,24.354262228137
2010-05-28,23.903560874655
2010-06-01,23.657723772756
2010-06-02,24.428013358707
2010-06-03,24.886909282252
2010-06-04,23.764253183579
2010-06-07,22.912017896996
2010-06-08,23.018547307819
2010-06-09,22.838266766426
2010-06-10,23.452859521174
2010-06-11,23.797031463833
2010-06-14,23.66591834282
2010-06-15,24.878714712189
2010-06-16,25.075384393708
2010-06-17,25.116357244024
2010-06-18,25.009827833201
2010-06-21,24.813158151682
2010-06-22,24.239538247251
2010-06-23,24.419818788644
2010-06-24,23.985506575289
2010-06-25,23.862588024339
2010-06-28,23.944533724972
2010-06-29,23.141465858768
2010-06-30,22.830072196363
2010-07-01,22.879239616743
2010-07-02,22.838266766426
2010-07-06,22.854655906553
2010-07-07,24.124814266365
2010-07-08,23.829809744086
2010-07-09,24.010090285478
2010-07-12,24.059257705858
2010-07-13,24.624683040226
2010-07-14,24.255927387378
2010-07-15,24.3624567982
2010-07-16,23.936339154909
2010-07-19,24.591904759973
2010-07-20,24.624683040226
2010-07-21,24.231343677188
2010-07-22,25.083578963771
2010-07-23,25.288443215354
2010-07-26,25.567058597506
2010-07-27,25.435945476493
2010-07-28,24.837741861872
2010-07-29,24.370651368264
2010-07-30,24.346067658074
2010-08-02,24.657461320479
2010-08-03,24.477180779087
2010-08-04,24.780379871429
2010-08-05,24.772185301366
2010-08-06,24.723017880986
2010-08-09,24.985244123011
2010-08-10,24.493569919213
2010-08-11,23.838004314149
2010-08-12,23.133271288705
2010-08-13,23.002158167692
2010-08-16,23.239800699528
2010-08-17,23.608556352377
2010-08-18,24.649266750416
2010-08-19,24.313289377821
2010-08-20,24.272316527504
2010-08-23,24.50995905934
2010-08-24,24.026479425605
2010-08-25,23.952728295035
2010-08-26,23.911444723344
2010-08-27,24.126119296137
2010-08-30,23.43255529173
2010-08-31,23.019719574822
2010-09-01,23.531635863789
2010-09-02,24.101349153122
2010-09-03,24.431617726649
2010-09-07,23.672000007537
2010-09-08,23.79585072261
2010-09-09,23.787594008272
2010-09-10,23.061003146513
2010-09-13,23.721540293566
2010-09-14,24.06832229577
2010-09-15,23.861904437315
2010-09-16,24.340793868929
2010-09-17,24.695832585471
2010-09-20,24.786656443191
2010-09-21,24.786656443191
2010-09-22,24.20042972518
2010-09-23,24.316023725915
2010-09-24,25.488477161935
2010-09-27,25.60407116267
2010-09-28,26.149014308989
2010-09-29,26.066447165607
2010-09-30,25.909569593182
2010-10-01,25.91782630752
2010-10-04,25.620584591346
2010-10-05,26.429742596487
2010-10-06,26.091217308622
2010-10-07,26.347175453105
2010-10-08,26.702214169646
2010-10-11,26.826064884719
2010-10-12,26.883861885086
2010-10-13,25.942596450535
2010-10-14,25.942596450535
2010-10-15,26.149014308989
