Date,AXP
2010-01-04,36.309611885161
2010-01-05,36.229752034974
2010-01-06,36.815390936348
2010-01-07,37.409903154409
2010-01-08,37.383169064494
2010-01-11,36.955423625853
2010-01-12,37.445548607629
2010-01-13,37.561396330594
2010-01-14,38.033698585759
2010-01-15,37.775269049914
2010-01-19,38.283216758299
2010-01-20,38.301039484909
2010-01-21,37.570307693899
2010-01-22,34.388950994012
2010-01-25,33.676041929612
2010-01-26,33.952294192067
2010-01-27,34.460241900452
2010-01-28,33.355232850632
2010-01-29,33.560194206647
2010-02-01,34.050319188422
2010-02-02,34.772139616127
2010-02-03,34.157255548082
2010-02-04,33.444346483682
2010-02-05,33.729510109442
2010-02-08,32.784905599111
2010-02-09,33.453257846987
2010-02-10,33.640396476392
2010-02-11,34.121610094862
2010-02-12,34.237457817827
2010-02-16,35.306821414428
2010-02-17,34.798873706042
2010-02-18,34.887987339092
2010-02-19,34.807785069347
2010-02-22,34.691937346382
2010-02-23,33.800801015882
2010-02-24,34.228546454522
2010-02-25,33.898826012237
2010-02-26,34.032496461812
2010-03-01,33.979028281982
2010-03-02,34.210723727912
2010-03-03,34.112698731557
2010-03-04,34.656291893162
2010-03-05,35.823680486118
2010-03-08,35.387023684173
2010-03-09,35.378112320868
2010-03-10,35.395935047478
2010-03-11,35.743478216373
2010-03-12,36.322716831198
2010-03-15,36.269248651368
2010-03-16,36.465298644078
2010-03-17,36.545500913823
2010-03-18,36.536589550518
2010-03-19,35.939528209083
2010-03-22,36.607880456958
2010-03-23,36.750462269838
2010-03-24,36.545500913823
2010-03-25,36.910866809328
2010-03-26,36.643525910178
2010-03-29,36.964334989158
2010-03-30,36.955423625853
2010-03-31,36.928572991105
2010-04-01,37.322382300753
2010-04-05,38.190552824296
2010-04-06,38.593312345527
2010-04-07,37.922046476808
2010-04-08,39.103474405753
2010-04-09,39.273528425828
2010-04-12,39.864242390301
2010-04-13,40.267001911532
2010-04-14,41.58268301422
2010-04-15,41.770637457461
2010-04-16,40.365454238944
2010-04-19,40.956168203416
2010-04-20,41.349977513064
2010-04-21,41.162023069823
2010-04-22,41.860139573291
2010-04-23,43.005766655904
2010-04-26,42.191297401858
2010-04-27,40.983018838165
2010-04-28,41.242574974069
2010-04-29,42.603007134672
2010-04-30,41.278375820401
2010-05-03,42.244998671356
2010-05-04,41.045670319245
2010-05-05,39.765790062889
2010-05-06,38.038399227386
2010-05-07,36.337859026632
2010-05-10,38.566461710778
2010-05-11,38.781266788768
2010-05-12,39.470433080652
2010-05-13,38.315855786456
2010-05-14,36.373659872964
2010-05-17,36.892772144773
2010-05-18,35.657642946331
2010-05-19,35.952999928567
2010-05-20,34.565717133215
2010-05-21,35.639742523165
2010-05-24,34.941626019698
2010-05-25,34.905825173366
2010-05-26,34.162957611984
2010-05-27,36.096203313894
2010-05-28,35.68449358108
2010-06-01,35.075879193441
2010-06-02,36.6690168552
2010-06-03,36.284157757135
2010-06-04,34.377762689974
2010-06-07,33.75124787917
2010-06-08,34.39566311314
2010-06-09,34.109256342487
2010-06-10,35.827696966406
2010-06-11,35.917199082235
2010-06-14,35.702394004245
2010-06-15,37.223929973341
2010-06-16,37.895195842059
2010-06-17,37.644589917738
2010-06-18,37.617739282989
2010-06-21,38.127901343215
2010-06-22,37.537187378743
2010-06-23,37.74304224515
2010-06-24,36.749568759446
2010-06-25,38.190552824296
2010-06-28,37.689340975652
2010-06-29,35.881398235904
2010-06-30,35.693443792663
2010-07-01,35.495646371141
2010-07-02,35.441701619818
2010-07-06,35.252894990184
2010-07-07,36.997108616324
2010-07-08,37.869215429394
2010-07-09,38.282791856211
2010-07-12,38.507561653394
2010-07-13,39.712327766295
2010-07-14,39.289760547591
2010-07-15,39.047009166633
2010-07-16,37.203896829732
2010-07-19,37.383712667479
2010-07-20,37.81527067807
2010-07-21,36.997108616324
2010-07-22,38.831230161337
2010-07-23,40.269756863309
2010-07-26,40.845167544097
2010-07-27,40.053977858013
2010-07-28,40.080950233675
2010-07-29,40.0629686499
2010-07-30,40.134894984999
2010-08-02,40.449572701055
2010-08-03,40.09893181745
2010-08-04,39.658383014971
2010-08-05,38.858202536999
2010-08-06,39.109944709844
2010-08-09,39.334714507027
2010-08-10,39.640401431196
2010-08-11,38.624441947929
2010-08-12,37.896187805056
2010-08-13,37.518574545789
2010-08-16,37.347749499929
2010-08-17,37.527565337676
2010-08-18,37.482611378239
2010-08-19,36.826283570465
2010-08-20,36.646467732718
2010-08-23,36.142983387029
2010-08-24,35.576563498127
2010-08-25,35.783351711536
2010-08-26,35.720416168324
2010-08-27,36.781329611028
2010-08-30,35.864268838522
2010-08-31,35.846287254747
2010-09-01,36.925182281225
2010-09-02,36.754357235366
2010-09-03,37.581510089
2010-09-07,36.044084676268
2010-09-08,36.026103092493
2010-09-09,36.583532189507
2010-09-10,36.133992595141
2010-09-13,37.060044159535
2010-09-14,36.304817641
2010-09-15,36.727384859704
2010-09-16,36.826283570465
2010-09-17,37.194906037845
2010-09-20,38.768294618126
2010-09-21,38.462607693957
2010-09-22,38.471598485845
2010-09-23,38.08499443469
2010-09-24,38.777285410013
2010-09-27,39.05599995852
2010-09-28,39.280769755703
2010-09-29,38.669395907366
2010-09-30,37.788298302408
2010-10-01,37.563528505225
2010-10-04,35.109042319987
2010-10-05,34.416751344663
2010-10-06,34.344825009564
2010-10-07,34.164157860645
2010-10-08,34.317724937227
2010-10-11,34.272558149997
2010-10-12,34.814559596755
2010-10-13,35.464961332864
2010-10-14,35.627561766892
2010-10-15,35.311394256283
