Date,AMP
2010-01-04,33.335381644364
2010-01-05,34.112761406883
2010-01-06,34.589219971008
2010-01-07,34.848346558514
2010-01-08,34.973730391179
2010-01-11,35.42511218877
2010-01-12,34.856705480692
2010-01-13,35.283010511751
2010-01-14,35.124190990376
2010-01-15,34.789834103271
2010-01-19,35.157626679086
2010-01-20,35.023883924244
2010-01-21,34.062607873818
2010-01-22,33.235074578233
2010-01-25,33.795122364134
2010-01-26,33.519277932272
2010-01-27,34.19635062866
2010-01-28,33.410611943963
2010-01-29,31.964518407234
2010-02-01,33.235074578233
2010-02-02,33.418970866141
2010-02-03,32.758616014108
2010-02-04,31.446265232221
2010-02-05,31.705391819728
2010-02-08,31.120267267294
2010-02-09,31.705391819728
2010-02-10,32.357387749582
2010-02-11,31.954389666557
2010-02-12,32.122305534484
2010-02-16,32.96188487412
2010-02-17,33.432049304317
2010-02-18,33.398466130731
2010-02-19,33.700714693
2010-02-22,33.986171668477
2010-02-23,33.390070337335
2010-02-24,34.128900156215
2010-02-25,33.725902073189
2010-02-26,33.60836096564
2010-03-01,33.826651593946
2010-03-02,34.002963255269
2010-03-03,34.137295949611
2010-03-04,34.641043553393
2010-03-05,36.017953670397
2010-03-08,36.135494777946
2010-03-09,35.933995736433
2010-03-10,35.975974703415
2010-03-11,35.975974703415
2010-03-12,36.37897278644
2010-03-15,36.479722307196
2010-03-16,36.916303563807
2010-03-17,37.680320762876
2010-03-18,37.629946002498
2010-03-19,37.092615225131
2010-03-22,37.268926886455
2010-03-23,37.520800688345
2010-03-24,37.512404894949
2010-03-25,37.529196481742
2010-03-26,36.907907770411
2010-03-29,37.361280613815
2010-03-30,38.007756705335
2010-03-31,38.083318845902
2010-04-01,38.763378111007
2010-04-05,38.822148664782
2010-04-06,38.612253829873
2010-04-07,38.024548292127
2010-04-08,38.629045416665
2010-04-09,38.754982317611
2010-04-12,39.225146747807
2010-04-13,39.955580773291
2010-04-14,40.576869484622
2010-04-15,40.484515757262
2010-04-16,39.560978483662
2010-04-19,40.022747120462
2010-04-20,40.677619005378
2010-04-21,40.610452658207
2010-04-22,40.786764319531
2010-04-23,41.18136660916
2010-04-26,40.727993765756
2010-04-27,37.722299729858
2010-04-28,39.015251912898
2010-04-29,40.383766236505
2010-04-30,38.922898185538
2010-05-03,39.880018632723
2010-05-04,38.553483276098
2010-05-05,38.360380027982
2010-05-06,36.817872986646
2010-05-07,35.856966960895
2010-05-10,38.478386031144
2010-05-11,38.925123043116
2010-05-12,39.043129046278
2010-05-13,38.141226022109
2010-05-14,36.573431980095
2010-05-17,36.396422975352
2010-05-18,34.904489935371
2010-05-19,34.761196931531
2010-05-20,32.460079869865
2010-05-21,34.061589912783
2010-05-24,32.881529881159
2010-05-25,32.40950586851
2010-05-26,32.637088874609
2010-05-27,34.508326924754
2010-05-28,33.538991898778
2010-06-01,32.69609187619
2010-06-02,33.968870910298
2010-06-03,33.918296908943
2010-06-04,32.375789867607
2010-06-07,31.634037847729
2010-06-08,32.131348861056
2010-06-09,31.937481855861
2010-06-10,32.932103882515
2010-06-11,33.26926389155
2010-06-14,33.277692891776
2010-06-15,34.179595915945
2010-06-16,34.339746920237
2010-06-17,33.65699790194
2010-06-18,33.513704898101
2010-06-21,33.505275897875
2010-06-22,32.965819883418
2010-06-23,32.578085873028
2010-06-24,31.827904852924
2010-06-25,32.443221869414
2010-06-28,32.072345859475
2010-06-29,30.335971812944
2010-06-30,30.453977816106
2010-07-01,30.20110780933
2010-07-02,30.496122817235
2010-07-06,30.740563823786
2010-07-07,32.148206861508
2010-07-08,32.215638863315
2010-07-09,32.873100880934
2010-07-12,32.544369872124
2010-07-13,33.361982894035
2010-07-14,33.227118890421
2010-07-15,33.041680885451
2010-07-16,31.650895848181
2010-07-19,31.777330851569
2010-07-20,32.350502866929
2010-07-21,31.44859984276
2010-07-22,32.729807877094
2010-07-23,32.578085873028
2010-07-26,32.45165086964
2010-07-27,32.653946875061
2010-07-28,32.26621286467
2010-07-29,36.227842970834
2010-07-30,35.730531957507
2010-08-02,36.758869985064
2010-08-03,36.09297896722
2010-08-04,36.590289980547
2010-08-05,36.734179624236
2010-08-06,36.353295273294
2010-08-09,37.174312651992
2010-08-10,37.42823555262
2010-08-11,36.43793624017
2010-08-12,36.200941532917
2010-08-13,35.718488021723
2010-08-16,36.006267309102
2010-08-17,37.682158453249
2010-08-18,37.851440387001
2010-08-19,36.776500107674
2010-08-20,36.505649013671
2010-08-23,36.573361787172
2010-08-24,35.710023925035
2010-08-25,36.023195502477
2010-08-26,35.710023925035
2010-08-27,36.996566621552
2010-08-30,36.590289980547
2010-08-31,36.886533364613
2010-09-01,38.723242345825
2010-09-02,39.078734406705
2010-09-03,39.967464558904
2010-09-07,39.30726501727
2010-09-08,39.772790335089
2010-09-09,39.975928655592
2010-09-10,39.959000462216
2010-09-13,40.79694603429
2010-09-14,40.449918070098
2010-09-15,40.128282395969
2010-09-16,40.085961912531
2010-09-17,40.306028426409
2010-09-20,40.949299774667
2010-09-21,40.568415423725
2010-09-22,39.374977790771
2010-09-23,38.807883312701
2010-09-24,39.984392752279
2010-09-27,39.84050310859
2010-09-28,40.365277103222
2010-09-29,40.559951327037
2010-09-30,40.060569622468
2010-10-01,40.424525780035
2010-10-04,40.517630843599
2010-10-05,41.880350410304
2010-10-06,42.455908985062
2010-10-07,42.32048343806
2010-10-08,42.261234761247
2010-10-11,42.066560537432
2010-10-12,42.28662705131
2010-10-13,42.430516694999
2010-10-14,42.523621758563
2010-10-15,42.261234761247
