Date,ARE
2010-01-04,49.928630131934
2010-01-05,49.402238594745
2010-01-06,49.142971121204
2010-01-07,49.598653347427
2010-01-08,49.433664955174
2010-01-11,49.692932428715
2010-01-12,49.763641739681
2010-01-13,49.897203771505
2010-01-14,49.88149059129
2010-01-15,49.268676562921
2010-01-19,49.850064230861
2010-01-20,50.274320096656
2010-01-21,48.946556368521
2010-01-22,48.616579584014
2010-01-25,48.750141615838
2010-01-26,47.815207393069
2010-01-27,47.823063983176
2010-01-28,47.34381198663
2010-01-29,46.927412710943
2010-02-01,47.705215131566
2010-02-02,48.318029159936
2010-02-03,48.208036898434
2010-02-04,46.094614159569
2010-02-05,46.573866156114
2010-02-08,45.073257445619
2010-02-09,44.978978364331
2010-02-10,45.049687675297
2010-02-11,44.696141120468
2010-02-12,45.866773046457
2010-02-16,48.082331456717
2010-02-17,47.980195785322
2010-02-18,48.467304371975
2010-02-19,48.388738470902
2010-02-22,48.200180308327
2010-02-23,48.522300502726
2010-02-24,48.459447781868
2010-02-25,48.710858665302
2010-02-26,48.412308241224
2010-03-01,48.632292764229
2010-03-02,49.025122269594
2010-03-03,49.048692039916
2010-03-04,48.860133877341
2010-03-05,49.716502199037
2010-03-08,50.651436421807
2010-03-09,50.769285273416
2010-03-10,50.926417075562
2010-03-11,50.989269796421
2010-03-12,51.075692287601
2010-03-15,51.272107040284
2010-03-16,52.576300998097
2010-03-17,52.906277782604
2010-03-18,52.992700273784
2010-03-19,52.317033524556
2010-03-22,53.03198322432
2010-03-23,52.631297128848
2010-03-24,52.953417323247
2010-03-25,53.322677058291
2010-03-26,53.605514302154
2010-03-29,53.896208136124
2010-03-30,53.833355415266
2010-03-31,53.383230542349
2010-04-01,53.722798428935
2010-04-05,55.096863830469
2010-04-06,56.731527842639
2010-04-07,56.083979779847
2010-04-08,56.226124476557
2010-04-09,57.30010662948
2010-04-12,56.463032304408
2010-04-13,57.458045181381
2010-04-14,56.739424770234
2010-04-15,55.468019427435
2010-04-16,54.804677509453
2010-04-19,54.907337568189
2010-04-20,55.744411893261
2010-04-21,55.712824182881
2010-04-22,56.036598214277
2010-04-23,58.587305827469
2010-04-26,58.911079858865
2010-04-27,56.98422952568
2010-04-28,56.873672539349
2010-04-29,58.366191854808
2010-04-30,55.918144300352
2010-05-03,57.663365298851
2010-05-04,56.091876707442
2010-05-05,55.41274093427
2010-05-06,52.885724103863
2010-05-07,51.337926295239
2010-05-10,55.088966902874
2010-05-11,55.231111599585
2010-05-12,56.044495141872
2010-05-13,55.128451540849
2010-05-14,52.885724103863
2010-05-17,52.814651755508
2010-05-18,51.527452557519
2010-05-19,51.416895571189
2010-05-20,48.984641871922
2010-05-21,50.224459504341
2010-05-24,49.916479328135
2010-05-25,49.86120083497
2010-05-26,49.687468427879
2010-05-27,52.593537782847
2010-05-28,51.788051168155
2010-06-01,50.737759798017
2010-06-02,51.977577430436
2010-06-03,51.914402009675
2010-06-04,49.245240482558
2010-06-07,49.395282106863
2010-06-08,51.487967919544
2010-06-09,52.009165140816
2010-06-10,54.867852930214
2010-06-11,56.194536766177
2010-06-14,56.786806335804
2010-06-15,57.489632891761
2010-06-16,57.039508018845
2010-06-17,57.955551619867
2010-06-18,57.789716140372
2010-06-21,56.755218625424
2010-06-22,54.401934202107
2010-06-23,54.709914378313
2010-06-24,53.6201383702
2010-06-25,54.086057098306
2010-06-28,53.406921325135
2010-06-29,50.642996666877
2010-06-30,50.31744588868
2010-07-01,50.349206940211
2010-07-02,49.031123301656
2010-07-06,48.300619116433
2010-07-07,51.365560589217
2010-07-08,51.611708738586
2010-07-09,51.778454259126
2010-07-12,51.659350315883
2010-07-13,53.382387361463
2010-07-14,53.09653789768
2010-07-15,52.675703964889
2010-07-16,51.103531914083
2010-07-19,51.889617939486
2010-07-20,53.914384974615
2010-07-21,52.588361073177
2010-07-22,55.367453082178
2010-07-23,56.304404102355
2010-07-26,57.638368266676
2010-07-27,57.241355122533
2010-07-28,56.717297772264
2010-07-29,55.526258339835
2010-07-30,56.018554638573
2010-08-02,57.828934575864
2010-08-03,57.169892756587
2010-08-04,57.312817488479
2010-08-05,56.884043292804
2010-08-06,57.439861694604
2010-08-09,58.162425616945
2010-08-10,56.518791200193
2010-08-11,55.240408876052
2010-08-12,54.192294175515
2010-08-13,53.477670516058
2010-08-16,53.572953670652
2010-08-17,54.946619149387
2010-08-18,55.859749380915
2010-08-19,54.446382587766
2010-08-20,53.882623923083
2010-08-23,53.795281031372
2010-08-24,53.890564185966
2010-08-25,54.994260726684
2010-08-26,54.756052840198
2010-08-27,55.62154149443
2010-08-30,55.232468613169
2010-08-31,55.081603618395
2010-09-01,55.430975185241
2010-09-02,56.137658581815
2010-09-03,57.058729076227
2010-09-07,56.296463839473
2010-09-08,56.590253566138
2010-09-09,55.827988329384
2010-09-10,55.859749380915
2010-09-13,56.971386184516
2010-09-14,57.090490127759
2010-09-15,57.217534333884
2010-09-16,56.95550565875
2010-09-17,57.304877225596
2010-09-20,58.249768508656
2010-09-21,57.892456678927
2010-09-22,55.978853324158
2010-09-23,54.430502062001
2010-09-24,55.589780442898
2010-09-27,55.335692030647
2010-09-28,55.708884386141
2010-09-29,55.558019391367
2010-09-30,55.861266265379
2010-10-01,56.699185259359
2010-10-04,57.010412314267
2010-10-05,57.736608775716
2010-10-06,56.81090779189
2010-10-07,56.332096938187
2010-10-08,56.739086163835
2010-10-11,57.122134846797
2010-10-12,56.890709600841
2010-10-13,57.999954745253
2010-10-14,58.598468312382
2010-10-15,58.462805237166
