Date,ABC
2010-01-04,23.67322999663
2010-01-05,23.504325989894
2010-01-06,23.282083875769
2010-01-07,22.908717124039
2010-01-08,23.157628291859
2010-01-11,23.415429144244
2010-01-12,23.575443466415
2010-01-13,24.037707063795
2010-01-14,24.1888317014
2010-01-15,23.931030849015
2010-01-19,24.331066654441
2010-01-20,24.126603909445
2010-01-21,23.628781573805
2010-01-22,23.699899050325
2010-01-25,24.09993485575
2010-01-26,24.393294446396
2010-01-27,24.233280124226
2010-01-28,24.251059493356
2010-01-29,24.233280124226
2010-02-01,24.668874667911
2010-02-02,25.380049433112
2010-02-03,25.175586688117
2010-02-04,24.375515077266
2010-02-05,24.0110380101
2010-02-08,23.95769990271
2010-02-09,24.144383278575
2010-02-10,24.242169808791
2010-02-11,24.536392539092
2010-02-12,24.384823253785
2010-02-16,24.580971740653
2010-02-17,24.598803421277
2010-02-18,24.839531109706
2010-02-19,25.089174638447
2010-02-22,24.866278630642
2010-02-23,24.741456866272
2010-02-24,24.866278630642
2010-02-25,25.035679596574
2010-02-26,25.000016235325
2010-03-01,25.026763756262
2010-03-02,25.374481528436
2010-03-03,24.964352874076
2010-03-04,24.955437033764
2010-03-05,25.329902326875
2010-03-08,25.026763756262
2010-03-09,24.955437033764
2010-03-10,25.008932075637
2010-03-11,25.035679596574
2010-03-12,24.901941991891
2010-03-15,24.741456866272
2010-03-16,25.285323125314
2010-03-17,25.14266968032
2010-03-18,25.47255577187
2010-03-19,25.570630015304
2010-03-22,26.114496274346
2010-03-23,26.043169551849
2010-03-24,25.606293376553
2010-03-25,25.499303292807
2010-03-26,25.490387452494
2010-03-29,25.713283460299
2010-03-30,26.105580434034
2010-03-31,25.784610182796
2010-04-01,25.490387452494
2010-04-05,25.784610182796
2010-04-06,25.88268442623
2010-04-07,25.891600266542
2010-04-08,26.016422030912
2010-04-09,26.274981399965
2010-04-12,26.159075475907
2010-04-13,26.266065559653
2010-04-14,26.034253711537
2010-04-15,26.29281308059
2010-04-16,26.640530852764
2010-04-19,26.587035810891
2010-04-20,27.086322868373
2010-04-21,27.068491187748
2010-04-22,28.004654420526
2010-04-23,27.755010891786
2010-04-26,27.844169294907
2010-04-27,27.514283203357
2010-04-28,27.451872321172
2010-04-29,27.960075218965
2010-04-30,27.505367363045
2010-05-03,27.888748496468
2010-05-04,27.612357446791
2010-05-05,27.665852488664
2010-05-06,27.416208959923
2010-05-07,26.667278373701
2010-05-10,27.6926000096
2010-05-11,27.835253454595
2010-05-12,28.343456352389
2010-05-13,28.174055386458
2010-05-14,27.915496017405
2010-05-17,27.995738580214
2010-05-18,27.89766433678
2010-05-19,28.013570260839
2010-05-20,27.425124800235
2010-05-21,27.559211134004
2010-05-24,27.443002978071
2010-05-25,27.0586221546
2010-05-26,27.210586666205
2010-05-27,28.220703713932
2010-05-28,27.961470135312
2010-06-01,27.541332956168
2010-06-02,28.363729136619
2010-06-03,28.676597248747
2010-06-04,27.505576600497
2010-06-07,27.505576600497
2010-06-08,27.371490266728
2010-06-09,27.657541112102
2010-06-10,28.327972780947
2010-06-11,28.53357182606
2010-06-14,28.79280540468
2010-06-15,29.016282627628
2010-06-16,29.284455295166
2010-06-17,29.391724362182
2010-06-18,29.105673516808
2010-06-21,28.980526271957
2010-06-22,28.569328181731
2010-06-23,28.48887638147
2010-06-24,28.238581891768
2010-06-25,28.48887638147
2010-06-28,29.078856250054
2010-06-29,28.354790047701
2010-06-30,28.381607314455
2010-07-01,27.648602023184
2010-07-02,27.639662934266
2010-07-06,28.015104668819
2010-07-07,28.408424581209
2010-07-08,28.53357182606
2010-07-09,28.462059114716
2010-07-12,28.381607314455
2010-07-13,28.900074471695
2010-07-14,29.31127256192
2010-07-15,29.257638028413
2010-07-16,28.730231782254
2010-07-19,28.596145448485
2010-07-20,28.83750084927
2010-07-21,28.614023626321
2010-07-22,26.486520463852
2010-07-23,27.291038466466
2010-07-26,27.264221199712
2010-07-27,26.048505106873
2010-07-28,25.860784239596
2010-07-29,25.905479684186
2010-07-30,26.790449487062
2010-08-02,27.335733911056
2010-08-03,26.79938857598
2010-08-04,27.139073954861
2010-08-05,27.121195777025
2010-08-06,27.031804887846
2010-08-09,26.861962198405
2010-08-10,26.790449487062
2010-08-11,26.030626929037
2010-08-12,26.057444195791
2010-08-13,25.959114217693
2010-08-16,25.664124283401
2010-08-17,26.361373219001
2010-08-18,26.334555952247
2010-08-19,26.075322373627
2010-08-20,25.923357862022
2010-08-23,25.582732827873
2010-08-24,24.98215710977
2010-08-25,25.02697619321
2010-08-26,24.775989325943
2010-08-27,24.856663676136
2010-08-30,24.758061692567
2010-08-31,24.453291925171
2010-09-01,25.071795276651
2010-09-02,25.17039726022
2010-09-03,25.17039726022
2010-09-07,25.12557817678
2010-09-08,25.143505810156
2010-09-09,25.322782143918
2010-09-10,25.519986111057
2010-09-13,25.546877561121
2010-09-14,26.07574274572
2010-09-15,27.115545481541
2010-09-16,27.007979681283
2010-09-17,27.052798764724
2010-09-20,27.465134332377
2010-09-21,27.599591582699
2010-09-22,27.267930365239
2010-09-23,27.196219831734
2010-09-24,28.101565317233
2010-09-27,27.743012649708
2010-09-28,27.940216616847
2010-09-29,27.572700132634
2010-09-30,27.483061965753
2010-10-01,27.653374482827
2010-10-04,27.554772499258
2010-10-05,28.236022567555
2010-10-06,28.092601500545
2010-10-07,28.406335084629
2010-10-08,28.388407451253
2010-10-11,28.49597325151
2010-10-12,28.737996302089
2010-10-13,29.01587461942
2010-10-14,28.962091719292
2010-10-15,28.944164085916
