Date,ADBE
2011-02-25,34.63
2011-02-28,34.5
2011-03-01,33.97
2011-03-02,34.48
2011-03-03,35.05
2011-03-04,35.27
2011-03-07,34.72
2011-03-08,35.29
2011-03-09,35.13
2011-03-10,34.86
2011-03-11,34.61
2011-03-14,34.08
2011-03-15,33.04
2011-03-16,32.09
2011-03-17,31.835
2011-03-18,31.99
2011-03-21,32.34
2011-03-22,32.88
2011-03-23,31.68
2011-03-24,32.59
2011-03-25,32.64
2011-03-28,32.43
2011-03-29,32.62
2011-03-30,32.95
2011-03-31,33.16
2011-04-01,34.16
2011-04-04,34.37
2011-04-05,34.18
2011-04-06,34.24
2011-04-07,34.48
2011-04-08,34.15
2011-04-11,34.38
2011-04-12,34.09
2011-04-13,34.21
2011-04-14,34.33
2011-04-15,34.51
2011-04-18,33.85
2011-04-19,33.65
2011-04-20,33.69
2011-04-21,33.48
2011-04-25,33.23
2011-04-26,33.13
2011-04-27,33.65
2011-04-28,34.02
2011-04-29,33.55
2011-05-02,33.55
2011-05-03,33.49
2011-05-04,33.22
2011-05-05,32.94
2011-05-06,33.4
2011-05-09,33.97
2011-05-10,34.75
2011-05-11,35.4
2011-05-12,35.86
2011-05-13,35.33
2011-05-16,34.39
2011-05-17,34.72
2011-05-18,34.87
2011-05-19,35.41
2011-05-20,35.31
2011-05-23,34.43
2011-05-24,34.14
2011-05-25,34.13
2011-05-26,34.54
2011-05-27,34.29
2011-05-31,34.63
2011-06-01,34.12
2011-06-02,34.26
2011-06-03,33.27
2011-06-06,32.84
2011-06-07,33.01
2011-06-08,32.24
2011-06-09,32.215
2011-06-10,31.67
2011-06-13,31.66
2011-06-14,32.09
2011-06-15,31.13
2011-06-16,30.8
2011-06-17,30.47
2011-06-20,30.95
2011-06-21,32.01
2011-06-22,30.01
2011-06-23,30.44
2011-06-24,29.97
2011-06-27,30.89
2011-06-28,30.79
2011-06-29,31.15
2011-06-30,31.45
2011-07-01,31.53
2011-07-05,31.52
2011-07-06,31.65
2011-07-07,32.07
2011-07-08,31.54
2011-07-11,30.98
2011-07-12,30.35
2011-07-13,30.07
2011-07-14,29.35
2011-07-15,29.29
2011-07-18,28.77
2011-07-19,29.4
2011-07-20,29.16
2011-07-21,29.56
2011-07-22,29.72
2011-07-25,29.65
2011-07-26,29.63
2011-07-27,28.5
2011-07-28,28.02
2011-07-29,27.71
2011-08-01,27.67
2011-08-02,27.03
2011-08-03,27.37
2011-08-04,26.15
2011-08-05,25.62
2011-08-08,23.91
2011-08-09,24.81
2011-08-10,22.8
2011-08-11,24.0
2011-08-12,24.1
2011-08-15,24.65
2011-08-16,24.63
2011-08-17,24.56
2011-08-18,23.28
2011-08-19,22.69
2011-08-22,23.17
2011-08-23,23.78
2011-08-24,24.1
2011-08-25,23.865
2011-08-26,24.54
2011-08-29,25.515
2011-08-30,25.19
2011-08-31,25.24
2011-09-01,24.77
2011-09-02,24.15
2011-09-06,23.74
2011-09-07,25.3
2011-09-08,24.99
2011-09-09,24.64
2011-09-12,25.2
2011-09-13,25.18
2011-09-14,25.755
2011-09-15,26.12
2011-09-16,25.52
2011-09-19,25.27
2011-09-20,24.64
2011-09-21,24.89
2011-09-22,24.31
2011-09-23,24.88
2011-09-26,25.13
2011-09-27,25.56
2011-09-28,25.11
2011-09-29,24.99
2011-09-30,24.17
2011-10-03,23.26
2011-10-04,24.04
2011-10-05,24.675
2011-10-06,25.33
2011-10-07,25.28
2011-10-10,25.76
2011-10-11,25.84
2011-10-12,25.88
2011-10-13,25.8
2011-10-14,26.81
2011-10-17,26.24
