Date,ADBE
2011-10-18,26.76
2011-10-19,26.02
2011-10-20,26.08
2011-10-21,27.3
2011-10-24,28.2
2011-10-25,27.85
2011-10-26,27.81
2011-10-27,28.34
2011-10-28,29.02
2011-10-31,29.41
2011-11-01,28.59
2011-11-02,29.35
2011-11-03,30.16
2011-11-04,29.79
2011-11-07,29.92
2011-11-08,30.42
2011-11-09,28.08
2011-11-10,28.03
2011-11-11,28.43
2011-11-14,28.24
2011-11-15,28.47
2011-11-16,28.54
2011-11-17,27.69
2011-11-18,27.18
2011-11-21,26.63
2011-11-22,26.33
2011-11-23,25.94
2011-11-25,25.83
2011-11-28,26.62
2011-11-29,26.07
2011-11-30,27.42
2011-12-01,27.14
2011-12-02,27.11
2011-12-05,27.91
2011-12-06,27.96
2011-12-07,27.86
2011-12-08,27.38
2011-12-09,28.04
2011-12-12,27.39
2011-12-13,26.99
2011-12-14,26.52
2011-12-15,26.46
2011-12-16,28.2
2011-12-19,27.505
2011-12-20,28.44
2011-12-21,27.97
2011-12-22,27.885
2011-12-23,28.29
2011-12-27,28.5
2011-12-28,28.015
2011-12-29,28.31
2011-12-30,28.27
2012-01-03,28.57
2012-01-04,28.28
2012-01-05,28.48
2012-01-06,28.72
2012-01-09,28.53
2012-01-10,29.2
2012-01-11,29.32
2012-01-12,29.23
2012-01-13,28.97
2012-01-17,29.35
2012-01-18,29.89
2012-01-19,30.24
2012-01-20,30.5
2012-01-23,30.23
2012-01-24,30.95
2012-01-25,31.34
2012-01-26,31.18
2012-01-27,31.05
2012-01-30,31.0
2012-01-31,30.95
2012-02-01,31.24
2012-02-02,31.285
2012-02-03,31.85
2012-02-06,31.855
2012-02-07,32.28
2012-02-08,32.1
2012-02-09,32.65
2012-02-10,32.21
2012-02-13,32.35
2012-02-14,32.44
2012-02-15,32.46
2012-02-16,32.86
2012-02-17,32.75
2012-02-21,32.54
2012-02-22,32.33
2012-02-23,32.97
2012-02-24,33.41
2012-02-27,33.27
2012-02-28,33.27
2012-02-29,32.89
2012-03-01,33.1
2012-03-02,33.73
2012-03-05,33.22
2012-03-06,31.99
2012-03-07,32.41
2012-03-08,33.05
2012-03-09,33.64
2012-03-12,33.56
2012-03-13,34.22
2012-03-14,33.77
2012-03-15,34.17
2012-03-16,33.82
2012-03-19,34.51
2012-03-20,33.16
2012-03-21,33.56
2012-03-22,33.71
2012-03-23,33.815
2012-03-26,34.4
2012-03-27,34.63
2012-03-28,34.46
2012-03-29,34.48
2012-03-30,34.31
2012-04-02,34.7
2012-04-03,34.31
2012-04-04,33.46
2012-04-05,33.59
2012-04-09,33.22
2012-04-10,32.61
2012-04-11,33.005
2012-04-12,33.55
2012-04-13,33.18
2012-04-16,32.845
2012-04-17,33.84
2012-04-18,33.39
2012-04-19,32.905
2012-04-20,33.06
2012-04-23,32.62
2012-04-24,32.4
2012-04-25,33.13
2012-04-26,33.26
2012-04-27,33.58
2012-04-30,33.55
2012-05-01,33.77
2012-05-02,33.76
2012-05-03,33.32
2012-05-04,32.61
2012-05-07,32.52
2012-05-08,32.67
2012-05-09,32.52
2012-05-10,31.92
2012-05-11,32.2
2012-05-14,32.23
2012-05-15,32.33
2012-05-16,32.36
2012-05-17,32.01
2012-05-18,31.31
2012-05-21,32.01
2012-05-22,32.01
2012-05-23,32.18
2012-05-24,31.54
2012-05-25,31.6
2012-05-29,32.05
2012-05-30,31.29
2012-05-31,31.05
2012-06-01,29.82
2012-06-04,30.31
2012-06-05,30.705
2012-06-06,31.69
2012-06-07,31.32
2012-06-08,31.65
2012-06-11,31.13
2012-06-12,31.77
2012-06-13,31.79
2012-06-14,31.67
2012-06-15,32.39
2012-06-18,32.63
2012-06-19,32.89
2012-06-20,31.99
2012-06-21,31.23
2012-06-22,31.565
2012-06-25,30.845
2012-06-26,31.07
2012-06-27,31.41
2012-06-28,31.17
2012-06-29,32.37
2012-07-02,32.19
2012-07-03,32.51
2012-07-05,32.53
2012-07-06,31.37
2012-07-09,30.43
2012-07-10,30.44
2012-07-11,30.2
2012-07-12,30.14
2012-07-13,30.65
2012-07-16,30.4
2012-07-17,30.65
2012-07-18,31.43
2012-07-19,31.885
2012-07-20,31.38
2012-07-23,30.64
2012-07-24,30.015
2012-07-25,30.33
2012-07-26,30.945
2012-07-27,31.895
2012-07-30,31.01
2012-07-31,30.88
2012-08-01,30.69
2012-08-02,30.58
2012-08-03,32.02
2012-08-06,32.14
2012-08-07,32.37
2012-08-08,32.51
2012-08-09,32.65
2012-08-10,32.64
2012-08-13,32.27
2012-08-14,32.105
2012-08-15,32.91
2012-08-16,33.65
2012-08-17,33.8
2012-08-20,33.92
2012-08-21,33.75
2012-08-22,33.84
2012-08-23,33.5
2012-08-24,32.26
2012-08-27,32.32
2012-08-28,32.06
2012-08-29,31.96
2012-08-30,31.46
2012-08-31,31.27
2012-09-04,31.435
2012-09-05,32.26
2012-09-06,32.79
2012-09-07,32.46
2012-09-10,32.13
2012-09-11,32.43
2012-09-12,32.42
2012-09-13,32.81
2012-09-14,33.34
2012-09-17,33.41
2012-09-18,32.57
2012-09-19,33.12
2012-09-20,34.5298
2012-09-21,33.83
2012-09-24,33.415
2012-09-25,32.895
2012-09-26,32.53
2012-09-27,32.8
2012-09-28,32.435
2012-10-01,32.62
2012-10-02,32.57
2012-10-03,32.6
2012-10-04,32.68
2012-10-05,32.47
2012-10-08,32.23
2012-10-09,31.685
2012-10-10,31.51
2012-10-11,31.78
2012-10-12,31.94
2012-10-15,32.33
2012-10-16,33.24
2012-10-17,33.44
2012-10-18,33.475
2012-10-19,33.24
2012-10-22,33.49
2012-10-23,33.31
2012-10-24,33.36
2012-10-25,33.4
2012-10-26,34.01
2012-10-31,34.025
2012-11-01,34.36
2012-11-02,34.39
2012-11-05,34.24
2012-11-06,34.39
2012-11-07,33.47
2012-11-08,32.9803
2012-11-09,32.9
2012-11-12,32.7
2012-11-13,32.54
2012-11-14,32.235
2012-11-15,32.64
2012-11-16,32.65
2012-11-19,32.92
2012-11-20,32.64
2012-11-21,32.84
2012-11-23,33.4
2012-11-26,33.295
2012-11-27,33.18
2012-11-28,33.88
2012-11-29,34.09
2012-11-30,34.61
2012-12-03,34.7
2012-12-04,35.3
2012-12-05,35.4
2012-12-06,35.14
2012-12-07,35.48
2012-12-10,35.75
2012-12-11,35.54
2012-12-12,35.9597
2012-12-13,35.53
2012-12-14,37.56
2012-12-17,37.42
2012-12-18,37.4904
2012-12-19,38.09
2012-12-20,37.87
2012-12-21,37.71
2012-12-24,37.53
2012-12-26,37.55
2012-12-27,37.3
2012-12-28,36.9
2012-12-31,37.68
2013-01-02,38.34
2013-01-03,37.75
2013-01-04,38.13
2013-01-07,37.94
2013-01-08,38.14
2013-01-09,38.66
2013-01-10,38.62
2013-01-11,38.09
2013-01-14,38.16
2013-01-15,38.15
2013-01-16,37.88
