Date,AAL
2010-01-04,12.394091842717
2010-01-05,13.797196579628
2010-01-06,13.225561316442
2010-01-07,13.61531263225
2010-01-08,13.355478421711
2010-01-11,13.095644211172
2010-01-12,13.199577895388
2010-01-13,14.238914737544
2010-01-14,14.524732369137
2010-01-15,14.290881579652
2010-01-19,14.654649474407
2010-01-20,14.914483684946
2010-01-21,14.186947895437
2010-01-22,13.61531263225
2010-01-25,13.563345790143
2010-01-26,13.121627632226
2010-01-27,12.627942632202
2010-01-28,13.355478421711
2010-01-29,13.797196579628
2010-02-01,14.550715790191
2010-02-02,15.486118948132
2010-02-03,14.706616316515
2010-02-04,14.264898158598
2010-02-05,15.304235000755
2010-02-08,15.40816868497
2010-02-09,16.73332315872
2010-02-10,16.395538685019
2010-02-11,16.421522106073
2010-02-12,17.694709737715
2010-02-16,17.876593685092
2010-02-17,17.668726316661
2010-02-18,17.486842369283
2010-02-19,18.006510790362
2010-02-22,18.240361579847
2010-02-23,18.422245527224
2010-02-24,18.630112895656
2010-02-25,18.39626210617
2010-02-26,19.045847632518
2010-03-01,19.981250790459
2010-03-02,19.955267369405
2010-03-03,19.409615527273
2010-03-04,19.019864211464
2010-03-05,19.305681843057
2010-03-08,19.019864211464
2010-03-09,20.033217632567
2010-03-10,20.630836316807
2010-03-11,20.371002106268
2010-03-12,20.656819737861
2010-03-15,20.526902632591
2010-03-16,20.18911815889
2010-03-17,19.72141657992
2010-03-18,19.487565790435
2010-03-19,18.448228948278
2010-03-22,18.889947106195
2010-03-23,19.201748158842
2010-03-24,19.25371500095
2010-03-25,19.149781316734
2010-03-26,18.967897369357
2010-03-29,19.019864211464
2010-03-30,18.760030000925
2010-03-31,19.097814474626
2010-04-01,19.227731579896
2010-04-05,18.52617921144
2010-04-06,18.39626210617
2010-04-07,17.720693158769
2010-04-08,19.617482895704
2010-04-09,19.019864211464
2010-04-12,19.799366843082
2010-04-13,19.461582369381
2010-04-14,19.279698422003
2010-04-15,19.25371500095
2010-04-16,18.578146053548
2010-04-19,17.902577106146
2010-04-20,18.552162632494
2010-04-21,17.564792632445
2010-04-22,16.811273421882
2010-04-23,17.227008158744
2010-04-26,16.837256842936
2010-04-27,16.447505527127
2010-04-28,19.019864211464
2010-04-29,19.045847632518
2010-04-30,18.370278685117
2010-05-03,19.201748158842
2010-05-04,17.824626842984
2010-05-05,18.006510790362
2010-05-06,16.60340605345
2010-05-07,16.577422632397
2010-05-10,18.05847763247
2010-05-11,17.746676579823
2010-05-12,18.967897369357
2010-05-13,18.811996843033
2010-05-14,18.422245527224
2010-05-17,18.65609631671
2010-05-18,18.188394737739
2010-05-19,19.227731579896
2010-05-20,17.772660000877
2010-05-21,18.734046579871
2010-05-24,18.292328421955
2010-05-25,20.293051843106
2010-05-26,21.955990790557
2010-05-27,22.70951000112
2010-05-28,22.943360790605
2010-06-01,22.449675790581
2010-06-02,24.528349474894
2010-06-03,23.930730790654
2010-06-04,22.319758685311
2010-06-07,21.696156580017
2010-06-08,22.293775264257
2010-06-09,22.163858158988
2010-06-10,23.800813685384
2010-06-11,25.801537106536
2010-06-14,25.09998473808
2010-06-15,27.178658422393
2010-06-16,27.464476053986
2010-06-17,27.906194211903
2010-06-18,27.126691580285
2010-06-21,25.983421053913
2010-06-22,24.606299738056
2010-06-23,24.892117369649
2010-06-24,24.866133948595
2010-06-25,23.800813685384
2010-06-28,23.592946316953
2010-06-29,22.189841580042
2010-06-30,22.371725527419
2010-07-01,22.475659211635
2010-07-02,21.280421843155
2010-07-06,20.994604211562
2010-07-07,24.216548422247
2010-07-08,24.788183685433
2010-07-09,24.788183685433
2010-07-12,23.9047473696
2010-07-13,24.242531843301
2010-07-14,24.112614738031
2010-07-15,23.670896580115
2010-07-16,23.255161843252
2010-07-19,22.397708948473
2010-07-20,23.17721158009
2010-07-21,23.930730790654
2010-07-22,25.593669738104
2010-07-23,26.8928407908
2010-07-26,28.347912369819
2010-07-27,27.386525790824
2010-07-28,27.594393159256
2010-07-29,27.698326843471
2010-07-30,28.192011843496
2010-08-02,27.646360001363
2010-08-03,27.698326843471
2010-08-04,26.061371317075
2010-08-05,25.048017895972
2010-08-06,24.658266580163
2010-08-09,25.281868685457
2010-08-10,25.255885264403
2010-08-11,23.722863422223
2010-08-12,23.982697632762
2010-08-13,23.748846843277
2010-08-16,23.930730790654
2010-08-17,24.684250001217
2010-08-18,24.97006763281
2010-08-19,23.878763948546
2010-08-20,23.644913159061
2010-08-23,23.099261316929
2010-08-24,22.735493422174
2010-08-25,22.813443685336
2010-08-26,22.449675790581
2010-08-27,23.77483026433
2010-08-30,23.047294474821
2010-08-31,23.489012632737
2010-09-01,24.840150527541
2010-09-02,25.074001317026
2010-09-03,25.905470790751
2010-09-07,24.788183685433
2010-09-08,24.658266580163
2010-09-09,23.670896580115
2010-09-10,22.83942710639
2010-09-13,22.345742106365
2010-09-14,22.813443685336
2010-09-15,23.151228159037
2010-09-16,23.696880001169
2010-09-17,23.592946316953
2010-09-20,23.930730790654
2010-09-21,24.788183685433
2010-09-22,23.281145264306
2010-09-23,22.943360790605
2010-09-24,23.359095527468
2010-09-27,24.138598159085
2010-09-28,24.008681053816
2010-09-29,23.540979474845
2010-09-30,24.03466447487
2010-10-01,24.138598159085
2010-10-04,23.696880001169
2010-10-05,23.982697632762
2010-10-06,23.982697632762
2010-10-07,24.008681053816
2010-10-08,23.566962895899
2010-10-11,23.385078948522
2010-10-12,24.814167106487
2010-10-13,25.463752632835
2010-10-14,25.411785790727
2010-10-15,25.203918422296
