Date,MMM
2010-01-04,68.346207158625
2010-01-05,67.91811720774
2010-01-06,68.881319597231
2010-01-07,68.930714591564
2010-01-08,69.416432035838
2010-01-11,69.136527067951
2010-01-12,69.19415456134
2010-01-13,68.971877086842
2010-01-14,68.741367113288
2010-01-15,68.634344625567
2010-01-19,70.075031960277
2010-01-20,69.745731998057
2010-01-21,68.082767188849
2010-01-22,67.07840230408
2010-01-25,67.366539771022
2010-01-26,67.201889789913
2010-01-27,67.75346722663
2010-01-28,66.47742987303
2010-01-29,66.263384897588
2010-02-01,66.22222240231
2010-02-02,66.213989903255
2010-02-03,67.094867302191
2010-02-04,65.209625018486
2010-02-05,64.658047581768
2010-02-08,63.826565177164
2010-02-09,64.806232564767
2010-02-10,64.723907574212
2010-02-11,66.082269918367
2010-02-12,65.184927521319
2010-02-16,65.810597449536
2010-02-17,66.407453631059
2010-02-18,67.211237384766
2010-02-19,67.550981033241
2010-02-22,66.854920875391
2010-02-23,66.051137121683
2010-02-24,66.349448617904
2010-02-25,66.075996413035
2010-02-26,66.415740061509
2010-03-01,66.772056570885
2010-03-02,67.227810245667
2010-03-03,67.12008664981
2010-03-04,67.136659510711
2010-03-05,68.313332634695
2010-03-08,67.376965993778
2010-03-09,67.940443264418
2010-03-10,67.584126755043
2010-03-11,67.335533841525
2010-03-12,67.434971006932
2010-03-15,67.335533841525
2010-03-16,67.666991059549
2010-03-17,68.09788544298
2010-03-18,69.332563580118
2010-03-19,67.915583973067
2010-03-22,67.81614680766
2010-03-23,68.23875476064
2010-03-24,67.625558907296
2010-03-25,67.062081636655
2010-03-26,67.12008664981
2010-03-29,67.418398146031
2010-03-30,69.838035837604
2010-03-31,69.249699275612
2010-04-01,69.481719328229
2010-04-05,69.763457963549
2010-04-06,69.896040850759
2010-04-07,69.324277149668
2010-04-08,68.735940587675
2010-04-09,69.183407832007
2010-04-12,69.009392792545
2010-04-13,69.556297202284
2010-04-14,69.929186572561
2010-04-15,70.434658830047
2010-04-16,69.407141454174
2010-04-19,69.523151480482
2010-04-20,70.658392452213
2010-04-21,71.014708961589
2010-04-22,71.30473402736
2010-04-23,71.743914841241
2010-04-26,72.456547859992
2010-04-27,72.895728673874
2010-04-28,73.11946229604
2010-04-29,74.022683215154
2010-04-30,73.475778805415
2010-05-03,74.420431876783
2010-05-04,72.655422190806
2010-05-05,71.752201271692
2010-05-06,69.804890115802
2010-05-07,68.470774813256
2010-05-10,71.238442583755
2010-05-11,70.46780455185
2010-05-12,71.627904814933
2010-05-13,70.923558226632
2010-05-14,70.169493055628
2010-05-17,70.169493055628
2010-05-18,69.622588645889
2010-05-19,68.831234537857
2010-05-20,66.362850066909
2010-05-21,67.296833380241
2010-05-24,66.371189203635
2010-05-25,66.271119562921
2010-05-26,66.020945461136
2010-05-27,67.905590361252
2010-05-28,66.137693375302
2010-06-01,65.103640421257
2010-06-02,65.66236258191
2010-06-03,65.328797112863
2010-06-04,63.4608304862
2010-06-07,62.32670789144
2010-06-08,62.476812352511
2010-06-09,62.368403575071
2010-06-10,64.569935670781
2010-06-11,65.295440565959
2010-06-14,65.16201437834
2010-06-15,66.521293664706
2010-06-16,67.446937841312
2010-06-17,67.572024892205
2010-06-18,67.697111943097
2010-06-21,67.938946908156
2010-06-22,66.738111219587
2010-06-23,66.813163450123
2010-06-24,65.195370925245
2010-06-25,65.795788769529
2010-06-28,65.862501863339
2010-06-29,65.453884163756
2010-06-30,65.870841000065
2010-07-01,65.503918984113
2010-07-02,64.77007495221
2010-07-06,65.16201437834
2010-07-07,67.14672891917
2010-07-08,67.730468490002
2010-07-09,68.514347342263
2010-07-12,68.597738709524
2010-07-13,69.673487347201
2010-07-14,69.256530510892
2010-07-15,69.264869647618
2010-07-16,67.505311798395
2010-07-19,67.730468490002
2010-07-20,68.539364752441
2010-07-21,68.631095256429
2010-07-22,70.674183754342
2010-07-23,71.858341169459
2010-07-26,72.817341892969
2010-07-27,72.383706783208
2010-07-28,72.29197627922
2010-07-29,72.000106493804
2010-07-30,71.33297555571
2010-08-02,72.892394123505
2010-08-03,72.725611388981
2010-08-04,73.384403190349
2010-08-05,73.150907362016
2010-08-06,72.792324482791
2010-08-09,73.409420600528
2010-08-10,72.64222002172
2010-08-11,70.132139867141
2010-08-12,70.057087636605
2010-08-13,70.057087636605
2010-08-16,69.573417706487
2010-08-17,70.123800730415
2010-08-18,70.161326845682
2010-08-19,68.650856945883
2010-08-20,67.6858345099
2010-08-23,68.03827748652
2010-08-24,67.50961302159
2010-08-25,67.76135800489
2010-08-26,66.947382558887
2010-08-27,67.971145490973
2010-08-30,66.838293066124
2010-08-31,65.915228127357
2010-09-01,67.979536990417
2010-09-02,68.701205942543
2010-09-03,70.052237352919
2010-09-07,68.927776427513
2010-09-08,69.439657893556
2010-09-09,69.615879381866
2010-09-10,70.438246327312
2010-09-13,71.210264276099
2010-09-14,71.017259788902
2010-09-15,70.975302291685
2010-09-16,71.285787771089
2010-09-17,72.225635708742
2010-09-20,73.350096634148
2010-09-21,72.628427682021
2010-09-22,72.695559677568
2010-09-23,71.772494738802
2010-09-24,72.972479159198
2010-09-27,72.326333702062
2010-09-28,73.039611154745
2010-09-29,73.148700647508
2010-09-30,72.762691673115
2010-10-01,73.526318122458
2010-10-04,72.754300173671
2010-10-05,74.566864053431
2010-10-06,75.431188496094
2010-10-07,74.600430051204
2010-10-08,74.818609036731
2010-10-11,74.054982587387
2010-10-12,73.971067592954
2010-10-13,74.801826037844
2010-10-14,74.743085541741
2010-10-15,74.801826037844
