Date,AET
2010-01-04,30.271528318201
2010-01-05,29.840388369427
2010-01-06,29.721136894234
2010-01-07,30.665975505378
2010-01-08,29.996332606218
2010-01-11,30.033025367816
2010-01-12,28.079135812732
2010-01-13,28.207560478324
2010-01-14,28.812991044688
2010-01-15,28.767125092691
2010-01-19,29.95963984462
2010-01-20,29.79452241743
2010-01-21,29.244130993462
2010-01-22,28.712085950294
2010-01-25,28.409370667112
2010-01-26,27.978230718338
2010-01-27,27.914018385541
2010-01-28,27.849806052745
2010-01-29,27.492051627166
2010-02-01,27.308587819177
2010-02-02,27.77642052955
2010-02-03,27.822286481547
2010-02-04,26.813235537607
2010-02-05,27.161816772786
2010-02-08,26.785715966408
2010-02-09,26.574732587221
2010-02-10,26.281190494438
2010-02-11,26.464654302428
2010-02-12,26.26284411364
2010-02-16,26.372922398433
2010-02-17,27.161816772786
2010-02-18,27.281068247979
2010-02-19,26.538039825623
2010-02-22,26.9233138224
2010-02-23,26.58390577762
2010-02-24,27.115950820789
2010-02-25,27.492051627166
2010-02-26,27.510398007965
2010-03-01,27.813113291147
2010-03-02,28.464409809509
2010-03-03,28.693739569495
2010-03-04,28.115828574329
2010-03-05,28.78547147349
2010-03-08,28.638700427098
2010-03-09,28.647873617498
2010-03-10,29.033147614275
2010-03-11,29.987159415818
2010-03-12,29.207438231865
2010-03-15,29.005628043077
2010-03-16,29.308343326259
2010-03-17,29.11570632787
2010-03-18,30.491684887788
2010-03-19,31.610814116522
2010-03-22,31.775931543712
2010-03-23,32.096993207693
2010-03-24,31.564948164524
2010-03-25,31.913529399704
2010-03-26,31.482389450929
2010-03-29,32.032780874897
2010-03-30,32.454747633272
2010-03-31,32.207071492486
2010-04-01,32.041954065296
2010-04-05,32.262110634883
2010-04-06,32.207071492486
2010-04-07,31.46404307013
2010-04-08,30.886132074965
2010-04-09,30.2990478894
2010-04-12,30.198142795006
2010-04-13,29.675270942237
2010-04-14,29.253304183862
2010-04-15,28.822164235087
2010-04-16,28.803817854289
2010-04-19,29.299170135859
2010-04-20,29.326689707057
2010-04-21,28.510275761506
2010-04-22,28.207560478324
2010-04-23,28.400197476713
2010-04-26,27.638822673558
2010-04-27,27.528744388764
2010-04-28,27.978230718338
2010-04-29,28.657046807897
2010-04-30,27.106777630389
2010-05-03,27.216855915183
2010-05-04,26.510520254425
2010-05-05,26.804062347207
2010-05-06,26.382095588832
2010-05-07,25.950955640058
2010-05-10,27.024218916794
2010-05-11,27.161816772786
2010-05-12,27.987403908737
2010-05-13,27.76724733915
2010-05-14,27.317761009577
2010-05-17,27.418666103971
2010-05-18,27.372800151974
2010-05-19,27.501224817566
2010-05-20,26.648118110417
2010-05-21,26.363749208034
2010-05-24,26.226151352042
2010-05-25,25.950955640058
2010-05-26,26.207804971243
2010-05-27,26.794889156808
2010-05-28,26.749023204811
2010-06-01,26.409615160031
2010-06-02,27.161816772786
2010-06-03,27.904845195142
2010-06-04,27.712208196753
2010-06-07,27.033392107194
2010-06-08,26.987526155196
2010-06-09,26.42796154083
2010-06-10,26.464654302428
2010-06-11,26.25367092324
2010-06-14,26.859101489604
2010-06-15,27.143470391987
2010-06-16,26.895794251202
2010-06-17,28.097482193531
2010-06-18,27.914018385541
2010-06-21,27.43701248477
2010-06-22,26.785715966408
2010-06-23,26.538039825623
2010-06-24,26.290363684838
2010-06-25,26.116073067248
2010-06-28,25.721625880072
2010-06-29,24.675882174534
2010-06-30,24.198876273762
2010-07-01,23.841121848183
2010-07-02,24.079624798569
2010-07-06,24.299781368156
2010-07-07,24.923558315319
2010-07-08,25.354698264093
2010-07-09,25.345525073694
2010-07-12,24.960251076917
2010-07-13,25.455603358487
2010-07-14,25.464776548887
2010-07-15,25.886743307262
2010-07-16,24.91438512492
2010-07-19,25.373044644892
2010-07-20,25.40973740649
2010-07-21,25.051982980911
2010-07-22,25.932609259259
2010-07-23,25.822530974466
2010-07-26,26.216978161642
2010-07-27,26.015167972854
2010-07-28,25.272139550498
2010-07-29,25.217100408102
2010-07-30,25.547335262482
2010-08-02,26.143592638447
2010-08-03,26.097726686449
2010-08-04,26.547213016023
2010-08-05,26.987526155196
2010-08-06,27.583783531161
2010-08-09,27.281068247979
2010-08-10,27.216855915183
2010-08-11,25.941782449659
2010-08-12,25.776665022468
2010-08-13,25.813357784066
2010-08-16,25.556508452881
2010-08-17,25.785838212868
2010-08-18,25.996821592055
2010-08-19,24.996943838515
2010-08-20,24.868519172922
2010-08-23,24.90521193452
2010-08-24,24.483245176145
2010-08-25,24.813480030526
2010-08-26,24.639189412936
2010-08-27,25.07032936171
2010-08-30,24.630016222537
2010-08-31,24.510764747344
2010-09-01,25.611547595278
2010-09-02,26.061033924852
2010-09-03,26.382095588832
2010-09-07,26.207804971243
2010-09-08,26.666464491216
2010-09-09,27.024218916794
2010-09-10,27.455358865569
2010-09-13,27.923191575941
2010-09-14,27.978230718338
2010-09-15,27.840632862346
2010-09-16,27.794766910349
2010-09-17,27.253548676781
2010-09-20,28.005750289536
2010-09-21,28.482756190308
2010-09-22,28.244253239922
2010-09-23,28.097482193531
2010-09-24,28.381851095914
2010-09-27,28.262599620721
2010-09-28,28.675393188696
2010-09-29,28.592834475101
2010-09-30,28.996454852677
2010-10-01,28.620354046299
2010-10-04,27.978230718338
2010-10-05,28.491929380707
2010-10-06,27.868152433544
2010-10-07,28.143348145528
2010-10-08,28.152521335927
2010-10-11,28.345158334316
2010-10-12,28.44606342871
2010-10-13,29.051493995074
2010-10-14,28.968935281479
2010-10-15,29.11570632787
