Date,LNT
2010-01-04,11.330373857658
2010-01-05,11.595433674427
2010-01-06,11.685031358969
2010-01-07,11.748496385519
2010-01-08,11.976223833729
2010-01-11,11.950091175738
2010-01-12,11.953824412594
2010-01-13,12.065821518271
2010-01-14,12.200218045083
2010-01-15,12.211417755651
2010-01-19,12.379413414166
2010-01-20,12.297282203337
2010-01-21,12.241283650498
2010-01-22,11.931424991458
2010-01-25,11.879159675476
2010-01-26,11.849293780629
2010-01-27,11.755962859231
2010-01-28,11.816463150562
2010-01-29,11.797556809521
2010-02-01,11.839150759811
2010-02-02,11.948807537848
2010-02-03,11.888307246517
2010-02-04,11.57068071703
2010-02-05,11.608493399112
2010-02-08,11.578243253447
2010-02-09,11.642524812986
2010-02-10,11.582024521655
2010-02-11,11.687900031484
2010-02-12,11.710587640733
2010-02-16,11.971495147097
2010-02-17,11.948807537848
2010-02-18,12.066026852302
2010-02-19,12.258871530919
2010-02-22,12.262652799127
2010-02-23,12.130308411841
2010-02-24,12.107620802592
2010-02-25,11.997964024555
2010-02-26,11.960151342473
2010-03-01,12.179464898547
2010-03-02,12.36096577254
2010-03-03,12.27777787196
2010-03-04,12.292902944793
2010-03-05,12.421466063871
2010-03-08,12.508435232659
2010-03-09,12.508435232659
2010-03-10,12.546247914741
2010-03-11,12.678592302027
2010-03-12,12.769342739023
2010-03-15,12.708842447692
2010-03-16,12.663467229194
2010-03-17,12.77690527544
2010-03-18,12.281559140168
2010-03-19,12.364747040748
2010-03-22,12.413903527454
2010-03-23,12.65212342457
2010-03-24,12.561372987573
2010-03-25,12.550029182949
2010-03-26,12.538685378324
2010-03-29,12.648342156362
2010-03-30,12.621873278904
2010-03-31,12.576498060406
2010-04-01,12.77690527544
2010-04-05,12.829843030354
2010-04-06,12.916812199142
2010-04-07,12.807155421105
2010-04-08,12.716404984109
2010-04-09,12.708842447692
2010-04-12,12.769342739023
2010-04-13,12.765561470815
2010-04-14,12.969749954057
2010-04-15,13.068062927469
2010-04-16,13.041594050012
2010-04-19,13.037812781804
2010-04-20,13.215532387588
2010-04-21,13.363001847707
2010-04-22,13.510471307827
2010-04-23,13.472658625745
2010-04-26,13.370564384124
2010-04-27,12.931937271975
2010-04-28,12.939499808391
2010-04-29,13.061931503799
2010-04-30,13.084887446688
2010-05-03,13.211145132577
2010-05-04,12.878283960688
2010-05-05,12.817068112984
2010-05-06,12.315863359909
2010-05-07,12.155171759686
2010-05-10,12.72907033191
2010-05-11,12.893587922614
2010-05-12,13.06575749428
2010-05-13,13.100191408614
2010-05-14,13.054279522836
2010-05-17,13.207319142095
2010-05-18,13.119321361021
2010-05-19,12.83237207491
2010-05-20,12.289081426538
2010-05-21,12.162823740649
2010-05-24,12.082477940538
2010-05-25,11.914134359353
2010-05-26,11.944742283205
2010-05-27,12.26612548365
2010-05-28,12.296733407501
2010-06-01,12.070999969094
2010-06-02,12.31968935039
2010-06-03,12.514814864946
2010-06-04,12.013610111871
2010-06-07,12.074825959575
2010-06-08,12.128389826316
2010-06-09,12.124563835834
2010-06-10,12.377079207613
2010-06-11,12.392383169539
2010-06-14,12.415339112428
2010-06-15,12.660202503243
2010-06-16,12.840024055873
2010-06-17,12.958629760799
2010-06-18,12.83237207491
2010-06-21,12.675506465169
2010-06-22,12.373253217131
2010-06-23,12.174301712094
2010-06-24,12.170475721612
2010-06-25,12.304385388464
2010-06-28,12.438295055316
2010-06-29,12.132215816797
2010-06-30,12.143693788242
2010-07-01,11.998306149945
2010-07-02,12.040392045242
2010-07-06,12.178127702575
2010-07-07,12.587508684094
2010-07-08,12.694636417576
2010-07-09,12.828546084428
2010-07-12,12.996889665614
2010-07-13,13.146103294392
2010-07-14,13.172885227762
2010-07-15,13.280012961244
2010-07-16,12.843850046354
2010-07-19,12.970107732243
2010-07-20,13.165233246799
2010-07-21,12.977759713206
2010-07-22,13.226449094503
2010-07-23,13.375662723281
2010-07-26,13.532528333022
2010-07-27,13.788869695282
2010-07-28,13.698958918967
2010-07-29,13.579030162545
2010-07-30,13.370122006198
2010-08-02,13.462970075686
2010-08-03,13.451364067
2010-08-04,13.559686814735
2010-08-05,13.517131449554
2010-08-06,13.621585527727
2010-08-09,13.776332310206
2010-08-10,13.776332310206
2010-08-11,13.466838745248
2010-08-12,13.447495397438
2010-08-13,13.695090249405
2010-08-16,13.722170936339
2010-08-17,13.962028449181
2010-08-18,13.911735744875
2010-08-19,13.795675658016
2010-08-20,13.76472630152
2010-08-23,13.679615571157
2010-08-24,13.571292823421
2010-08-25,13.466838745248
2010-08-26,13.513262779992
2010-08-27,13.710564927653
2010-08-30,13.482313423496
2010-08-31,13.548080806049
2010-09-01,13.90012973619
2010-09-02,13.78406964933
2010-09-03,13.865311710132
2010-09-07,13.830493684074
2010-09-08,13.88078638838
2010-09-09,13.977503127429
2010-09-10,13.884655057942
2010-09-13,14.066482527355
2010-09-14,14.074219866479
2010-09-15,14.016189823049
2010-09-16,13.931079092685
2010-09-17,13.892392397066
2010-09-20,13.946553770933
2010-09-21,13.84209969276
2010-09-22,13.907867075314
2010-09-23,13.756988962396
2010-09-24,13.954291110057
2010-09-27,14.012321153487
2010-09-28,14.066482527355
2010-09-29,14.023927162173
2010-09-30,14.062613857793
2010-10-01,14.182542614214
2010-10-04,14.11677523166
2010-10-05,14.159330596842
2010-10-06,14.004583814363
2010-10-07,13.992977805677
2010-10-08,13.981371796991
2010-10-11,14.012321153487
2010-10-12,13.849837031884
2010-10-13,13.888523727504
2010-10-14,13.896261066628
2010-10-15,13.985240466553
