Date,AIG
2010-01-04,23.512061454469
2010-01-05,23.071554448296
2010-01-06,22.922096714059
2010-01-07,22.481589707886
2010-01-08,23.079420644835
2010-01-11,23.30754034446
2010-01-12,22.387195349421
2010-01-13,22.859167141749
2010-01-14,22.497322100964
2010-01-15,22.072547487869
2010-01-19,22.222005222106
2010-01-20,21.993885522481
2010-01-21,21.67137146439
2010-01-22,20.845420827816
2010-01-25,20.522906769726
2010-01-26,19.193519554669
2010-01-27,19.594695578147
2010-01-28,19.004730837737
2010-01-29,19.059794213509
2010-02-01,18.847406906962
2010-02-02,18.8552731035
2010-02-03,18.713681565802
2010-02-04,17.769737981146
2010-02-05,17.628146443448
2010-02-08,17.431491529978
2010-02-09,18.20237879078
2010-02-10,21.175801082446
2010-02-11,20.68809689704
2010-02-12,21.097139117058
2010-02-16,21.576977105925
2010-02-17,21.160068689368
2010-02-18,21.010610955131
2010-02-19,20.869019417433
2010-02-22,22.363596759804
2010-02-23,21.049941937825
2010-02-24,22.017484112097
2010-02-25,21.639906678235
2010-02-26,19.484568826604
2010-03-01,20.279054677023
2010-03-02,19.689089936613
2010-03-03,19.571096988531
2010-03-04,21.010610955131
2010-03-05,22.088279880947
2010-03-08,22.890631927904
2010-03-09,25.777526057643
2010-03-10,28.507096256606
2010-03-11,27.618216047722
2010-03-12,26.925990752308
2010-03-15,26.996786521157
2010-03-16,26.438286566902
2010-03-17,27.067582290006
2010-03-18,27.248504810398
2010-03-19,27.374363955019
2010-03-22,26.265230243049
2010-03-23,26.178702081122
2010-03-24,26.092173919195
2010-03-25,27.146244255394
2010-03-26,26.91025835923
2010-03-29,27.099047076161
2010-03-30,26.894525966152
2010-03-31,26.855194983459
2010-04-01,26.831596393842
2010-04-05,27.578885065028
2010-04-06,28.247511770826
2010-04-07,31.220934062492
2010-04-08,29.569032789344
2010-04-09,30.001673598978
2010-04-12,32.424462132928
2010-04-13,31.582779103276
2010-04-14,31.260265045186
2010-04-15,31.449053762117
2010-04-16,30.796159449397
2010-04-19,30.748962270164
2010-04-20,32.746976191019
2010-04-21,32.172743843686
2010-04-22,34.021300030304
2010-04-23,34.910180239188
2010-04-26,35.012440794193
2010-04-27,29.39597646549
2010-04-28,31.079342524793
2010-04-29,31.645708675587
2010-04-30,30.599504535927
2010-05-03,31.10294111441
2010-05-04,30.088201760905
2010-05-05,29.655560951271
2010-05-06,28.908272280085
2010-05-07,30.442180605151
2010-05-10,32.235673415997
2010-05-11,33.738116954907
2010-05-12,32.566053670626
2010-05-13,31.976088930216
2010-05-14,31.244532652108
2010-05-17,30.678166501315
2010-05-18,29.718490523581
2010-05-19,29.364511679335
2010-05-20,27.382230151558
2010-05-21,28.28684275352
2010-05-24,27.161976648472
2010-05-25,27.130511862316
2010-05-26,26.784399214609
2010-05-27,28.68015258046
2010-05-28,27.83060335427
2010-06-01,26.941723145385
2010-06-02,27.578885065028
2010-06-03,27.689011816571
2010-06-04,27.335032972325
2010-06-07,26.807997804226
2010-06-08,26.988920324618
2010-06-09,26.918124555769
2010-06-10,27.767673781959
2010-06-11,27.594617458106
2010-06-14,29.175722962404
2010-06-15,29.797152488969
2010-06-16,29.78928629243
2010-06-17,29.710624327042
2010-06-18,29.820751078586
2010-06-21,30.489377784383
2010-06-22,30.103934153982
2010-06-23,29.742089113198
2010-06-24,28.924004673163
2010-06-25,29.065596210861
2010-06-28,28.617223008149
2010-06-29,27.154110451933
2010-06-30,27.091180879622
2010-07-01,26.65067387345
2010-07-02,26.037110543423
2010-07-06,26.51694853229
2010-07-07,27.799138568114
2010-07-08,27.932863909274
2010-07-09,28.239645574287
2010-07-12,27.980061088507
2010-07-13,29.883680650896
2010-07-14,29.521835610111
2010-07-15,29.403842662029
2010-07-16,28.035124464278
2010-07-19,27.838469550808
2010-07-20,28.562159632378
2010-07-21,27.775539978498
2010-07-22,28.703751170076
2010-07-23,28.924004673163
2010-07-26,30.442180605151
2010-07-27,30.796159449397
2010-07-28,30.701765090931
2010-07-29,30.654567911698
2010-07-30,30.261258084758
2010-08-02,31.49625094135
2010-08-03,31.142272097104
2010-08-04,31.480518548272
2010-08-05,31.386124189807
2010-08-06,32.196342433303
2010-08-09,32.754842387557
2010-08-10,31.614243889432
2010-08-11,29.765687702814
2010-08-12,29.183589158943
2010-08-13,28.845342707775
2010-08-16,28.28684275352
2010-08-17,28.648687794305
2010-08-18,28.971201852395
2010-08-19,27.964328695429
2010-08-20,27.665413226955
2010-08-23,27.56315267195
2010-08-24,26.957455538463
2010-08-25,27.059716093467
2010-08-26,26.737202035377
2010-08-27,27.689011816571
2010-08-30,26.745068231915
2010-08-31,26.690004856144
2010-09-01,28.050856857356
2010-09-02,28.255377967365
2010-09-03,28.868941297391
2010-09-07,27.980061088507
2010-09-08,28.538561042761
2010-09-09,28.5464272393
2010-09-10,28.593624418533
2010-09-13,29.041997621245
2010-09-14,28.420568094679
2010-09-15,28.444166684296
2010-09-16,28.09018784005
2010-09-17,28.035124464278
2010-09-20,28.790279332003
2010-09-21,28.798145528542
2010-09-22,28.058723053895
2010-09-23,27.586751261567
2010-09-24,28.688018776999
2010-09-27,29.207187748559
2010-09-28,29.356645482796
2010-09-29,29.458906037801
2010-09-30,30.756828466703
2010-10-01,30.568039749771
2010-10-04,30.898420004401
2010-10-05,31.417588975962
2010-10-06,32.046884699066
2010-10-07,31.834497392518
2010-10-08,32.180610040225
2010-10-11,32.28287059523
2010-10-12,32.864969139101
2010-10-13,33.596525417209
2010-10-14,32.990828283721
2010-10-15,32.621117046398
