Date,ADM
2010-01-04,25.909240975812
2010-01-05,26.049201921661
2010-01-06,25.983337947144
2010-01-07,25.711649052259
2010-01-08,25.390562176487
2010-01-11,25.407028170116
2010-01-12,25.135339275231
2010-01-13,25.242368233822
2010-01-14,25.30823220834
2010-01-15,25.143572272046
2010-01-19,25.143572272046
2010-01-20,25.439960157375
2010-01-21,25.061242303899
2010-01-22,25.085941294343
2010-01-25,24.509631517315
2010-01-26,24.39436956191
2010-01-27,24.493165523686
2010-01-28,24.65782545998
2010-01-29,24.674291453609
2010-02-01,24.830718393088
2010-02-02,26.040968924847
2010-02-03,25.670484068186
2010-02-04,24.748388424941
2010-02-05,25.201203249749
2010-02-08,24.608427479092
2010-02-09,24.624893472721
2010-02-10,24.690757447238
2010-02-11,24.723689434497
2010-02-12,24.509631517315
2010-02-16,24.39436956191
2010-02-17,24.725365078354
2010-02-18,24.799839069553
2010-02-19,24.783289293731
2010-02-22,24.667440862976
2010-02-23,24.510217992665
2010-02-24,24.46884355311
2010-02-25,24.386094673999
2010-02-26,24.295070906977
2010-03-01,24.54331754431
2010-03-02,24.70054041462
2010-03-03,24.642616199243
2010-03-04,24.824663733287
2010-03-05,25.337706783775
2010-03-08,25.296332344219
2010-03-09,25.246683016753
2010-03-10,25.023261043153
2010-03-11,24.361270010265
2010-03-12,23.7158287532
2010-03-15,23.674454313644
2010-03-16,23.657904537822
2010-03-17,24.079923821288
2010-03-18,24.195772252044
2010-03-19,24.071648933377
2010-03-22,24.270246243243
2010-03-23,24.261971355332
2010-03-24,23.583430546622
2010-03-25,23.384833236756
2010-03-26,23.517231443334
2010-03-29,24.021999605911
2010-03-30,23.9392507268
2010-03-31,23.914426063066
2010-04-01,24.088198709199
2010-04-05,23.550330994978
2010-04-06,23.360008573023
2010-04-07,23.376558348845
2010-04-08,23.219335478534
2010-04-09,23.384833236756
2010-04-12,23.475857003778
2010-04-13,23.318634133467
2010-04-14,23.426207676312
2010-04-15,23.451032340045
2010-04-16,23.376558348845
2010-04-19,23.384833236756
2010-04-20,23.930975838888
2010-04-21,23.806852520222
2010-04-22,23.550330994978
2010-04-23,23.583430546622
2010-04-26,23.533781219156
2010-04-27,23.070387496135
2010-04-28,23.177961038979
2010-04-29,23.268984806001
2010-04-30,23.120036823601
2010-05-03,22.937989289557
2010-05-04,21.696756102893
2010-05-05,21.887078524848
2010-05-06,21.266461931516
2010-05-07,21.465059241382
2010-05-10,22.019476731425
2010-05-11,22.35874713578
2010-05-12,22.755941755513
2010-05-13,22.466320678625
2010-05-14,22.151874938003
2010-05-17,22.482870454447
2010-05-18,22.226348929203
2010-05-19,22.19306349464
2010-05-20,21.119608229995
2010-05-21,21.144572305917
2010-05-24,20.736825732525
2010-05-25,20.55375584243
2010-05-26,20.695218939321
2010-05-27,21.161215023198
2010-05-28,21.028073284948
2010-06-01,20.80339660165
2010-06-02,21.269392685527
2010-06-03,21.244428609605
2010-06-04,20.657772825438
2010-06-07,20.395650028258
2010-06-08,20.711861656603
2010-06-09,20.745147091165
2010-06-10,21.127929588636
2010-06-11,21.335963554652
2010-06-14,21.344284913293
2010-06-15,22.226348929203
2010-06-16,22.284598439687
2010-06-17,22.892057620456
2010-06-18,22.625774143954
2010-06-21,22.600810068032
2010-06-22,22.176420777359
2010-06-23,22.459346971141
2010-06-24,22.018314963186
2010-06-25,21.918458659498
2010-06-28,22.176420777359
2010-06-29,21.643853824357
2010-06-30,21.485748010184
2010-07-01,21.43581985834
2010-07-02,21.219464533683
2010-07-06,21.452462575621
2010-07-07,21.918458659498
2010-07-08,22.226348929203
2010-07-09,22.234670287843
2010-07-12,22.201384853281
2010-07-13,22.451025612501
2010-07-14,22.384454743375
2010-07-15,22.359490667453
2010-07-16,22.251313005125
2010-07-19,22.284598439687
2010-07-20,22.783879958127
2010-07-21,22.542560557548
2010-07-22,22.842129468612
2010-07-23,22.991913924143
2010-07-26,23.133377021035
2010-07-27,23.166662455597
2010-07-28,23.016878000065
2010-07-29,22.467668329782
2010-07-30,22.767237240846
2010-08-02,23.566087670349
2010-08-03,23.70755076724
2010-08-04,23.807407070928
2010-08-05,25.172109887996
2010-08-06,25.113860377512
2010-08-09,25.488321516341
2010-08-10,25.496642874982
2010-08-11,24.830934183729
2010-08-12,25.463357440419
2010-08-13,25.005682715183
2010-08-16,24.997361356543
2010-08-17,25.737962275561
2010-08-18,25.679428898066
2010-08-19,25.278057166674
2010-08-20,25.520552587724
2010-08-23,25.361676277381
2010-08-24,24.9853902792
2010-08-25,25.177714233826
2010-08-26,25.060647478836
2010-08-27,25.528914498794
2010-08-30,25.545638320936
2010-08-31,25.763048008773
2010-09-01,26.21459120659
2010-09-02,26.373467516933
2010-09-03,26.758115426185
2010-09-07,26.248038850873
2010-09-08,26.716305870831
2010-09-09,26.632686760124
2010-09-10,27.360173023274
2010-09-13,27.326725378991
2010-09-14,26.891906003315
2010-09-15,27.209658624001
2010-09-16,27.769906665737
2010-09-17,27.07586804687
2010-09-20,27.552496977899
2010-09-21,27.468877867193
2010-09-22,27.920421065009
2010-09-23,27.602668444324
2010-09-24,26.983887025093
2010-09-27,27.293277734708
2010-09-28,27.502325511475
2010-09-29,27.234744357213
2010-09-30,26.691220137619
2010-10-01,26.691220137619
2010-10-04,26.432000894428
2010-10-05,27.07586804687
2010-10-06,27.008972758305
2010-10-07,27.368534934344
2010-10-08,27.477239778263
2010-10-11,27.226382446143
2010-10-12,27.351811112203
2010-10-13,27.778268576808
2010-10-14,27.828440043232
2010-10-15,27.820078132161
