Date,ALL
2010-01-04,25.629964688112
2010-01-05,26.051371539282
2010-01-06,26.059799676305
2010-01-07,26.194649868679
2010-01-08,26.304215649983
2010-01-11,26.304215649983
2010-01-12,26.278931238913
2010-01-13,26.514919075568
2010-01-14,26.666625541989
2010-01-15,26.051371539282
2010-01-19,26.455922116404
2010-01-20,26.312643787007
2010-01-21,25.983946443095
2010-01-22,25.267554796107
2010-01-25,25.579395865972
2010-01-26,25.520398906808
2010-01-27,25.520398906808
2010-01-28,25.242270385037
2010-01-29,25.22541411099
2010-02-01,25.242270385037
2010-02-02,25.72267419537
2010-02-03,25.141132740756
2010-02-04,24.18032512009
2010-02-05,24.365744134605
2010-02-08,23.902196598319
2010-02-09,24.214037668184
2010-02-10,24.10447188688
2010-02-11,24.787150985774
2010-02-12,24.888288630055
2010-02-16,25.72267419537
2010-02-17,25.865952524767
2010-02-18,26.337928198077
2010-02-19,26.312643787007
2010-02-22,26.472778390451
2010-02-23,26.278931238913
2010-02-24,26.363212609147
2010-02-25,26.380068883194
2010-02-26,26.337928198077
2010-03-01,26.607628582825
2010-03-02,26.986894748877
2010-03-03,26.961610337807
2010-03-04,26.91946965269
2010-03-05,27.088032393158
2010-03-08,26.961610337807
2010-03-09,26.860472693526
2010-03-10,26.801475734363
2010-03-11,26.954142368293
2010-03-12,26.691216498747
2010-03-15,26.233216596957
2010-03-16,26.309549913922
2010-03-17,26.521586905491
2010-03-18,26.614883181782
2010-03-19,26.513105425829
2010-03-22,26.360438791899
2010-03-23,26.665772059758
2010-03-24,26.572475783468
2010-03-25,26.767549815712
2010-03-26,27.310364514129
2010-03-29,27.361253392106
2010-03-30,27.19162379885
2010-03-31,27.40366079042
2010-04-01,27.55632742435
2010-04-05,27.675068139628
2010-04-06,27.666586659966
2010-04-07,27.793808854907
2010-04-08,28.073697683779
2010-04-09,27.963438448163
2010-04-12,28.022808805802
2010-04-13,28.039771765128
2010-04-14,29.1169196823
2010-04-15,29.091475243312
2010-04-16,28.709808658487
2010-04-19,28.998178967021
2010-04-20,30.049882445205
2010-04-21,29.591882543415
2010-04-22,29.829363973973
2010-04-23,29.846326933298
2010-04-26,29.51554922645
2010-04-27,28.217882838046
2010-04-28,28.641956821185
2010-04-29,28.217882838046
2010-04-30,27.70899405828
2010-05-03,28.022808805802
2010-05-04,27.208586758176
2010-05-05,27.725957017605
2010-05-06,27.19162379885
2010-05-07,26.971105327618
2010-05-10,28.26029023636
2010-05-11,27.776845895582
2010-05-12,28.082179163442
2010-05-13,27.615697781989
2010-05-14,27.030475685258
2010-05-17,27.132253441211
2010-05-18,26.614883181782
2010-05-19,26.614883181782
2010-05-20,25.503809345959
2010-05-21,25.902438890109
2010-05-24,25.308735313715
2010-05-25,25.47836490697
2010-05-26,25.215439037424
2010-05-27,26.274265465003
2010-05-28,26.15472054576
2010-06-01,25.326445033864
2010-06-02,25.804624710835
2010-06-03,25.76193009682
2010-06-04,24.711642592044
2010-06-07,24.481091676361
2010-06-08,24.976349198939
2010-06-09,24.634792286816
2010-06-10,25.445989953107
2010-06-11,25.599690563562
2010-06-14,25.574073795153
2010-06-15,26.188876236973
2010-06-16,25.804624710835
2010-06-17,25.668001945986
2010-06-18,26.077870240533
2010-06-21,25.84731932485
2010-06-22,26.086409163336
2010-06-23,26.001019935305
2010-06-24,25.249594728636
2010-06-25,26.325499001822
2010-06-28,25.616768409168
2010-06-29,24.771415051665
2010-06-30,24.53232521318
2010-07-01,24.242001837876
2010-07-02,24.148073687042
2010-07-06,23.849211388935
2010-07-07,24.600636595604
2010-07-08,24.942193507726
2010-07-09,25.138588732197
2010-07-12,24.856804279696
2010-07-13,25.03612165856
2010-07-14,24.762876128862
2010-07-15,24.660409055226
2010-07-16,23.763822160905
2010-07-19,23.823594620526
2010-07-20,24.139534764239
2010-07-21,23.422265248782
2010-07-22,23.960217385375
2010-07-23,24.148073687042
2010-07-26,24.190768301058
2010-07-27,24.429858139543
2010-07-28,24.122456918633
2010-07-29,24.122456918633
2010-07-30,24.11391799583
2010-08-02,24.61771444121
2010-08-03,24.378624602725
2010-08-04,24.429858139543
2010-08-05,25.112971963788
2010-08-06,24.745798283256
2010-08-09,25.300828265455
2010-08-10,25.121510886591
2010-08-11,24.096840150224
2010-08-12,24.096840150224
2010-08-13,23.994373076587
2010-08-16,23.857750311738
2010-08-17,24.11391799583
2010-08-18,24.216385069467
2010-08-19,23.943139539769
2010-08-20,23.69551077848
2010-08-23,23.832133543329
2010-08-24,23.49911555401
2010-08-25,23.755283238102
2010-08-26,23.405187403176
2010-08-27,24.071223381815
2010-08-30,23.443427988148
2010-08-31,23.735825842733
2010-09-01,24.656019090984
2010-09-02,24.613019406486
2010-09-03,25.301014358449
2010-09-07,24.681818901682
2010-09-08,25.025816377664
2010-09-09,25.326814169148
2010-09-10,25.688011518928
2010-09-13,26.049208868709
2010-09-14,26.03200899491
2010-09-15,26.2212076067
2010-09-16,26.530805335083
2010-09-17,26.651204451677
2010-09-20,27.098401170453
2010-09-21,26.943602306261
2010-09-22,26.625404640978
2010-09-23,26.186807859102
2010-09-24,27.175800602549
2010-09-27,27.003801864558
2010-09-28,27.657397068923
2010-09-29,27.132800918051
2010-09-30,27.132800918051
2010-10-01,27.15000079185
2010-10-04,27.261799971544
2010-10-05,27.846595680713
2010-10-06,27.622997321325
2010-10-07,27.691796816521
2010-10-08,27.880995428311
2010-10-11,27.889595365211
2010-10-12,27.966994797307
2010-10-13,28.328192147087
2010-10-14,28.0959938508
2010-10-15,27.889595365211
