Date,ABT
2010-01-04,21.22963248247
2010-01-05,21.058111397411
2010-01-06,21.175057591769
2010-01-07,21.350476883307
2010-01-08,21.459626664707
2010-01-11,21.568776446108
2010-01-12,21.506405142451
2010-01-13,21.709111879338
2010-01-14,21.73267032956
2010-01-15,21.787640046744
2010-01-19,22.066415041034
2010-01-20,22.082120674516
2010-01-21,21.815124905336
2010-01-22,21.402852026455
2010-01-25,21.477453785491
2010-01-26,21.391072801344
2010-01-27,21.163341115868
2010-01-28,21.182973157719
2010-01-29,20.78640591232
2010-02-01,20.943462247131
2010-02-02,21.375367167863
2010-02-03,21.457821743639
2010-02-04,21.131929848905
2010-02-05,21.19082597446
2010-02-08,20.947388655502
2010-02-09,20.947388655502
2010-02-10,20.912050980169
2010-02-11,21.021990414537
2010-02-12,21.175120340978
2010-02-16,21.434263293418
2010-02-17,21.497085827342
2010-02-18,21.583466811489
2010-02-19,21.351808717641
2010-02-22,21.359661534382
2010-02-23,21.19082597446
2010-02-24,21.33217667579
2010-02-25,21.249722100014
2010-02-26,21.312544633939
2010-03-01,21.316471042309
2010-03-02,21.430336885047
2010-03-03,21.234016466533
2010-03-04,21.234016466533
2010-03-05,21.32825026742
2010-03-08,21.367514351123
2010-03-09,21.516717869194
2010-03-10,21.60702526171
2010-03-11,21.807272088595
2010-03-12,21.406778434826
2010-03-15,21.516717869194
2010-03-16,21.46960096875
2010-03-17,21.398925618085
2010-03-18,21.112297807054
2010-03-19,20.990579147575
2010-03-22,21.151561890757
2010-03-23,21.33610308416
2010-03-24,21.151561890757
2010-03-25,21.014137597796
2010-03-26,20.770700278838
2010-03-29,20.857081262985
2010-03-30,20.617570352397
2010-03-31,20.684319294692
2010-04-01,20.79425872906
2010-04-05,20.782479503949
2010-04-06,20.747141828617
2010-04-07,20.613643944027
2010-04-08,20.52726295988
2010-04-09,20.703951336544
2010-04-12,20.680392886322
2010-04-13,20.700024928173
2010-04-14,20.711903289838
2010-04-15,20.73170055928
2010-04-16,20.692106020397
2010-04-19,20.949470523138
2010-04-20,21.008862331463
2010-04-21,20.502052233757
2010-04-22,20.240728277127
2010-04-23,20.272403908234
2010-04-26,19.943769235503
2010-04-27,19.706202002203
2010-04-28,19.90417469662
2010-04-29,20.094228483259
2010-04-30,20.256566092681
2010-05-03,20.141741929919
2010-05-04,19.872499065513
2010-05-05,19.85666124996
2010-05-06,19.401324052802
2010-05-07,19.290459343929
2010-05-10,19.674526371097
2010-05-11,19.559702208335
2010-05-12,19.460715861127
2010-05-13,19.246905351157
2010-05-14,19.203351358386
2010-05-17,19.175635181167
2010-05-18,19.025175933411
2010-05-19,18.981621940639
2010-05-20,18.403541672944
2010-05-21,18.585676551807
2010-05-24,18.831162692883
2010-05-25,18.700500714568
2010-05-26,18.676743991238
2010-05-27,18.953905763421
2010-05-28,18.831162692883
2010-06-01,18.585676551807
2010-06-02,18.799487061776
2010-06-03,18.898473408984
2010-06-04,18.423338942385
2010-06-07,18.304555325735
2010-06-08,18.336230956842
2010-06-09,18.158055531867
2010-06-10,18.688622352903
2010-06-11,18.688622352903
2010-06-14,18.740095253451
2010-06-15,19.072689380071
2010-06-16,19.318175521147
2010-06-17,19.254824258934
2010-06-18,19.31025661337
2010-06-21,19.124162280619
2010-06-22,19.001419210081
2010-06-23,18.831162692883
2010-06-24,18.791568154
2010-06-25,18.684662899015
2010-06-28,18.680703445126
2010-06-29,18.470852389045
2010-06-30,18.522325289593
2010-07-01,18.395622765167
2010-07-02,18.395622765167
2010-07-06,18.486690204598
2010-07-07,18.890554501208
2010-07-08,19.044973202853
2010-07-09,19.017257025634
2010-07-12,18.934108493979
2010-07-13,19.048932656741
2010-07-14,19.120860659221
2010-07-15,19.188792661563
2010-07-16,18.809172648475
2010-07-19,18.945036653159
2010-07-20,18.969012653986
2010-07-21,19.452528670655
2010-07-22,19.584396675202
2010-07-23,19.5524286741
2010-07-26,19.67630467837
2010-07-27,19.688292678784
2010-07-28,19.668312678095
2010-07-29,19.572408674789
2010-07-30,19.612368676166
2010-08-02,19.912068686499
2010-08-03,19.980000688841
2010-08-04,20.051928691321
2010-08-05,19.972008688565
2010-08-06,20.207772696694
2010-08-09,20.331648700964
2010-08-10,20.567412709093
2010-08-11,20.135844694214
2010-08-12,20.135844694214
2010-08-13,20.003976689667
2010-08-16,20.115864693525
2010-08-17,20.255724698347
2010-08-18,20.07190869201
2010-08-19,19.708272679473
2010-08-20,19.716264679748
2010-08-23,19.89208868581
2010-08-24,19.772208681677
2010-08-25,19.908072686361
2010-08-26,19.780200681952
2010-08-27,19.916064686637
2010-08-30,19.776204681815
2010-08-31,19.716264679748
2010-09-01,20.087892692561
2010-09-02,20.223756697245
2010-09-03,20.275704699036
2010-09-07,20.175804695592
2010-09-08,20.15982069504
2010-09-09,20.415564703858
2010-09-10,20.595384710057
2010-09-13,20.559420708817
2010-09-14,20.543436708266
2010-09-15,20.64333671171
2010-09-16,20.623356711022
2010-09-17,20.635344711435
2010-09-20,20.883096719976
2010-09-21,20.839140718461
2010-09-22,20.775204716257
2010-09-23,20.619360710884
2010-09-24,20.755224715568
2010-09-27,20.819160717772
2010-09-28,20.93104872163
2010-09-29,20.975004723145
2010-09-30,20.875104719701
2010-10-01,21.010968724385
2010-10-04,20.982996723421
2010-10-05,21.210768731273
2010-10-06,21.170808729896
2010-10-07,21.010968724385
2010-10-08,21.102876727554
2010-10-11,21.102876727554
2010-10-12,21.382596737197
2010-10-13,21.426552738713
2010-10-14,21.43863992529
2010-10-15,21.422523676521
