Date,AON
2010-01-04,34.449656070173
2010-01-05,34.231735209423
2010-01-06,34.222655173558
2010-01-07,34.122774779048
2010-01-08,34.40425589085
2010-01-11,34.549536464683
2010-01-12,34.495056249495
2010-01-13,34.558616500547
2010-01-14,34.28621542461
2010-01-15,34.104614707319
2010-01-19,34.349775675662
2010-01-20,34.585856608141
2010-01-21,34.685737002651
2010-01-22,34.985378186182
2010-01-25,35.348579620765
2010-01-26,35.448460015275
2010-01-27,35.575580517379
2010-01-28,35.566500481515
2010-01-29,35.457121187363
2010-02-01,35.356856834391
2010-02-02,35.967557893402
2010-02-03,35.830833775713
2010-02-04,35.37508671675
2010-02-05,36.195431422884
2010-02-08,36.140741775809
2010-02-09,36.304810717035
2010-02-10,36.131626834629
2010-02-11,35.921983187506
2010-02-12,36.286580834677
2010-02-16,36.36861530529
2010-02-17,36.714983070103
2010-02-18,36.705868128923
2010-02-19,36.979316364302
2010-02-22,36.87905201133
2010-02-23,36.99754624666
2010-02-24,37.134270364349
2010-02-25,37.362143893831
2010-02-26,37.316569187935
2010-03-01,37.353028952652
2010-03-02,37.316569187935
2010-03-03,37.225419776142
2010-03-04,37.225419776142
2010-03-05,37.790546129257
2010-03-08,37.763201305719
2010-03-09,37.653822011568
2010-03-10,37.343914011472
2010-03-11,37.662936952747
2010-03-12,37.863465658691
2010-03-15,38.191603541145
2010-03-16,38.173373658786
2010-03-17,38.300982835296
2010-03-18,38.592660953032
2010-03-19,38.87522412959
2010-03-22,38.911683894307
2010-03-23,39.093982717892
2010-03-24,38.665580482467
2010-03-25,38.820534482514
2010-03-26,38.811419541335
2010-03-29,39.103097659072
2010-03-30,39.093982717892
2010-03-31,38.929913776665
2010-04-01,39.185132129685
2010-04-05,39.130442482609
2010-04-06,39.203362012044
2010-04-07,39.258051659119
2010-04-08,39.358316012091
2010-04-09,39.321856247374
2010-04-12,39.577074600394
2010-04-13,39.522384953318
2010-04-14,39.476810247422
2010-04-15,39.567959659214
2010-04-16,39.267166600298
2010-04-19,39.50415507096
2010-04-20,40.114856129971
2010-04-21,40.215120482943
2010-04-22,40.342729659452
2010-04-23,40.178660718226
2010-04-26,39.932557306385
2010-04-27,39.221591894402
2010-04-28,39.62264930629
2010-04-29,40.24246530648
2010-04-30,38.833979020754
2010-05-03,38.788248946542
2010-05-04,38.449846397374
2010-05-05,38.422408352846
2010-05-06,37.626705061559
2010-05-07,37.617559046717
2010-05-10,38.724226842645
2010-05-11,38.779102931699
2010-05-12,39.3187178074
2010-05-13,38.797394961384
2010-05-14,38.056567759151
2010-05-17,38.276072115368
2010-05-18,37.224280408494
2010-05-19,36.995630037435
2010-05-20,35.59628976655
2010-05-21,36.254802835202
2010-05-24,35.623727811078
2010-05-25,35.468245558757
2010-05-26,35.193865113486
2010-05-27,36.227364790675
2010-05-28,36.099320582881
2010-06-01,35.331055336121
2010-06-02,36.263948850044
2010-06-03,36.410285087522
2010-06-04,35.138989024431
2010-06-07,35.138989024431
2010-06-08,35.395077440018
2010-06-09,34.571936104204
2010-06-10,35.084112935377
2010-06-11,35.294471276752
2010-06-14,35.001798801796
2010-06-15,35.898108256349
2010-06-16,36.0170064493
2010-06-17,36.273094864887
2010-06-18,36.346262983626
2010-06-21,36.181634716463
2010-06-22,35.760918033713
2010-06-23,35.614581796235
2010-06-24,35.120696994747
2010-06-25,35.413369469703
2010-06-28,35.303617291594
2010-06-29,34.498767985465
2010-06-30,33.950007094922
2010-07-01,33.639042590281
2010-07-02,33.940861080079
2010-07-06,34.05975927303
2010-07-07,34.846316549475
2010-07-08,34.946922712741
2010-07-09,35.065820905692
2010-07-12,32.578104868564
2010-07-13,33.90427702071
2010-07-14,33.931715065237
2010-07-15,33.821962887128
2010-07-16,33.145157788792
2010-07-19,32.632980957619
2010-07-20,32.916507417733
2010-07-21,32.587250883407
2010-07-22,33.355516130167
2010-07-23,33.492706352803
2010-07-26,33.666480634808
2010-07-27,33.300640041113
2010-07-28,33.52014439733
2010-07-29,33.639042590281
2010-07-30,34.594123242585
2010-08-02,35.016562761873
2010-08-03,34.713508324123
2010-08-04,34.649224049448
2010-08-05,34.915544615956
2010-08-06,35.080847036547
2010-08-09,35.521653491457
2010-08-10,35.310433731813
2010-08-11,34.281885337024
2010-08-12,34.134949852054
2010-08-13,33.896179688978
2010-08-16,33.740060736197
2010-08-17,34.38290348294
2010-08-18,34.38290348294
2010-08-19,33.942097028031
2010-08-20,33.896179688978
2010-08-23,33.905363156789
2010-08-24,33.583941783417
2010-08-25,33.501290573121
2010-08-26,33.308437749099
2010-08-27,34.134949852054
2010-08-30,33.418639362826
2010-08-31,33.280887345667
2010-09-01,34.125766384243
2010-09-02,34.713508324123
2010-09-03,35.236965989328
2010-09-07,34.511472032289
2010-09-08,34.695141388501
2010-09-09,34.952278487199
2010-09-10,34.685957920691
2010-09-13,35.053296633115
2010-09-14,34.731875259744
2010-09-15,34.685957920691
2010-09-16,34.796159534418
2010-09-17,35.007379294062
2010-09-20,35.641038572995
2010-09-21,35.631855105184
2010-09-22,35.585937766131
2010-09-23,35.1267643756
2010-09-24,36.228780512874
2010-09-27,36.228780512874
2010-09-28,36.338982126601
2010-09-29,36.384899465654
2010-09-30,35.916542607313
2010-10-01,36.072661560094
2010-10-04,35.999193817609
2010-10-05,36.430816804708
2010-10-06,36.293064787548
2010-10-07,36.155312770389
2010-10-08,36.192046641632
2010-10-11,35.806340993586
2010-10-12,36.274697851927
2010-10-13,36.237963980685
2010-10-14,36.265514384116
2010-10-15,36.237963980685
