Date,MO
2010-01-04,13.547027881766
2010-01-05,13.553873272308
2010-01-06,13.752389598013
2010-01-07,13.731853426389
2010-01-08,13.766080379096
2010-01-11,13.86876123722
2010-01-12,13.793461941263
2010-01-13,13.855070456137
2010-01-14,13.950905923719
2010-01-15,13.978287485885
2010-01-19,13.950905923719
2010-01-20,13.916678971011
2010-01-21,13.615481787182
2010-01-22,13.492264757434
2010-01-25,13.629172568265
2010-01-26,13.663399520973
2010-01-27,13.683935692598
2010-01-28,13.697626473681
2010-01-29,13.594945615557
2010-02-01,13.60863639664
2010-02-02,13.642863349348
2010-02-03,13.540182491225
2010-02-04,13.293748431728
2010-02-05,13.266366869562
2010-02-08,13.25952147902
2010-02-09,13.321129993894
2010-02-10,13.266366869562
2010-02-11,13.423810852018
2010-02-12,13.437501633101
2010-02-16,13.505955538517
2010-02-17,13.540182491225
2010-02-18,13.690781083139
2010-02-19,13.800307331804
2010-02-22,13.875606627762
2010-02-23,13.670244911514
2010-02-24,13.86876123722
2010-02-25,13.971442095344
2010-02-26,13.772925769638
2010-03-01,13.875606627762
2010-03-02,13.916678971011
2010-03-03,13.930369752094
2010-03-04,13.978287485885
2010-03-05,14.176803811591
2010-03-08,14.197339983215
2010-03-09,14.21787615484
2010-03-10,14.252103107548
2010-03-11,14.183649202132
2010-03-12,14.065278050224
2010-03-15,14.183649202132
2010-03-16,14.176686193196
2010-03-17,14.155797166389
2010-03-18,14.246316282554
2010-03-19,14.162760175325
2010-03-22,14.232390264683
2010-03-23,14.288094336169
2010-03-24,14.25327929149
2010-03-25,14.288094336169
2010-03-26,14.218464246811
2010-03-29,14.378613452333
2010-03-30,14.378613452333
2010-03-31,14.288094336169
2010-04-01,14.503947613177
2010-04-05,14.566614693599
2010-04-06,14.608392747213
2010-04-07,14.476095577434
2010-04-08,14.399502479141
2010-04-09,14.573577702534
2010-04-12,14.691948854442
2010-04-13,14.691948854442
2010-04-14,14.733726908057
2010-04-15,14.691948854442
2010-04-16,14.53179964892
2010-04-19,14.573577702534
2010-04-20,14.740689916993
2010-04-21,14.942617176129
2010-04-22,14.817283015286
2010-04-23,14.872987086772
2010-04-26,14.796393988479
2010-04-27,14.566614693599
2010-04-28,14.636244782956
2010-04-29,14.747652925928
2010-04-30,14.754615934864
2010-05-03,14.900839122515
2010-05-04,14.803356997414
2010-05-05,14.775504961671
2010-05-06,14.448243541691
2010-05-07,14.455206550627
2010-05-10,15.026173283359
2010-05-11,15.033136292294
2010-05-12,15.08884036378
2010-05-13,15.060988328037
2010-05-14,15.047062310166
2010-05-17,15.109729390588
2010-05-18,14.879950095708
2010-05-19,14.838172042093
2010-05-20,14.392539470205
2010-05-21,14.629281774021
2010-05-24,14.517873631048
2010-05-25,14.204538228939
2010-05-26,14.037426014481
2010-05-27,14.30202035404
2010-05-28,14.127945130646
2010-06-01,14.009573978738
2010-06-02,14.190612211068
2010-06-03,14.336835398719
2010-06-04,13.936462384913
2010-06-07,13.800683710666
2010-06-08,14.065278050224
2010-06-09,13.960832916188
2010-06-10,14.148834157453
2010-06-11,14.225427255747
2010-06-14,13.864124073454
2010-06-15,14.104992861649
2010-06-16,14.048317852662
2010-06-17,14.161667870636
2010-06-18,14.182920999006
2010-06-21,14.2112585035
2010-06-22,14.062486604909
2010-06-23,14.005811595922
2010-06-24,13.899545954071
2010-06-25,13.956220963058
2010-06-28,14.409621034955
2010-06-29,14.140414742266
2010-06-30,14.197089751253
2010-07-01,14.338777273721
2010-07-02,14.388367906584
2010-07-06,14.551308557422
2010-07-07,14.799261721741
2010-07-08,15.103889895046
2010-07-09,15.089721142799
2010-07-12,15.089721142799
2010-07-13,15.118058647293
2010-07-14,15.125143023416
2010-07-15,15.203071160773
2010-07-16,15.063154732336
2010-07-19,15.146396151786
2010-07-20,15.245577417513
2010-07-21,15.167649280156
2010-07-22,15.479361829585
2010-07-23,15.670639984916
2010-07-26,15.578543095312
2010-07-27,15.621049352053
2010-07-28,15.635218104299
2010-07-29,15.599796223682
2010-07-30,15.69897748941
2010-08-02,15.76273687452
2010-08-03,15.670639984916
2010-08-04,15.833580635754
2010-08-05,15.826496259631
2010-08-06,15.968183782098
2010-08-09,16.003605662715
2010-08-10,16.031943167209
2010-08-11,15.897340020864
2010-08-12,15.904424396988
2010-08-13,15.833580635754
2010-08-16,16.010690038838
2010-08-17,16.237390074787
2010-08-18,16.24447445091
2010-08-19,16.124040056813
2010-08-20,16.088618176196
2010-08-23,16.102786928442
2010-08-24,16.145293185183
2010-08-25,16.187799441923
2010-08-26,16.017774414962
2010-08-27,15.968183782098
2010-08-30,15.954015029851
2010-08-31,15.812327507384
2010-09-01,16.053196295579
2010-09-02,16.145293185183
2010-09-03,16.230305698663
2010-09-07,16.371993221131
2010-09-08,16.612862009326
2010-09-09,16.740380779547
2010-09-10,16.889152678138
2010-09-13,16.896237054261
2010-09-14,16.925033367945
2010-09-15,17.047417701104
2010-09-16,16.896237054261
2010-09-17,16.917834289524
2010-09-20,17.069014936367
2010-09-21,17.177001112683
2010-09-22,17.184200191104
2010-09-23,16.989825073735
2010-09-24,17.277788210578
2010-09-27,17.284987288999
2010-09-28,17.421769778999
2010-09-29,17.457765171105
2010-09-30,17.29218636742
2010-10-01,17.119408485314
2010-10-04,17.15540387742
2010-10-05,17.457765171105
2010-10-06,17.587348582684
2010-10-07,17.688135680579
2010-10-08,17.644941210053
2010-10-11,17.529755955315
2010-10-12,17.666538445316
2010-10-13,17.724131072684
2010-10-14,17.853714484264
2010-10-15,17.911307111632
