Date,AIV
2010-01-04,12.753599326398
2010-01-05,13.07323840726
2010-01-06,13.304976740885
2010-01-07,13.792426339199
2010-01-08,13.472787258337
2010-01-11,13.576669959617
2010-01-12,13.225066970669
2010-01-13,13.592651913661
2010-01-14,13.440823350251
2010-01-15,13.12917524641
2010-01-19,13.53671507451
2010-01-20,13.304976740885
2010-01-21,12.625743694053
2010-01-22,12.25016777404
2010-01-25,12.417978291492
2010-01-26,12.322086567234
2010-01-27,12.433960245535
2010-01-28,12.370032429363
2010-01-29,12.274140705104
2010-02-01,12.577797831923
2010-02-02,12.993328637044
2010-02-03,12.729626395333
2010-02-04,12.194230934889
2010-02-05,12.537842946816
2010-02-08,12.154276049781
2010-02-09,12.370032429363
2010-02-10,12.338068521277
2010-02-11,12.409987314471
2010-02-12,12.681680533204
2010-02-16,13.296985763863
2010-02-17,13.352922603014
2010-02-18,13.496760189402
2010-02-19,13.304976740885
2010-02-22,13.288994786842
2010-02-23,13.241048924712
2010-02-24,13.368904557057
2010-02-25,13.456805304294
2010-02-26,13.336940648971
2010-03-01,13.3848865111
2010-03-02,13.560688005574
2010-03-03,13.504751166423
2010-03-04,13.53671507451
2010-03-05,14.064119557932
2010-03-08,14.3118398456
2010-03-09,14.295857891557
2010-03-10,14.335812776665
2010-03-11,14.199966167299
2010-03-12,14.183984213255
2010-03-15,14.183984213255
2010-03-16,14.319830822622
2010-03-17,14.663442834549
2010-03-18,14.583533064333
2010-03-19,14.343803753686
2010-03-22,14.471659386031
2010-03-23,14.599515018376
2010-03-24,14.783307489872
2010-03-25,14.999063869454
2010-03-26,14.911163122217
2010-03-29,14.687415765613
2010-03-30,14.767325535829
2010-03-31,14.711388696678
2010-04-01,14.863217260087
2010-04-05,15.526468352876
2010-04-06,16.117800652471
2010-04-07,15.582405192027
2010-04-08,15.59838714607
2010-04-09,15.918026226932
2010-04-12,15.782179617566
2010-04-13,16.31757507801
2010-04-14,16.301593123967
2010-04-15,15.734233755437
2010-04-16,15.334684904359
2010-04-19,15.49450444479
2010-04-20,15.941999157997
2010-04-21,16.397484848225
2010-04-22,17.068726918036
2010-04-23,17.668050194652
2010-04-26,17.692023125717
2010-04-27,17.316447205704
2010-04-28,17.444302838049
2010-04-29,18.483129850851
2010-04-30,17.907779505299
2010-05-03,18.922633587036
2010-05-04,19.050489219381
2010-05-05,18.63495841426
2010-05-06,17.668050194652
2010-05-07,16.964844216756
2010-05-10,17.91577048232
2010-05-11,17.859833643169
2010-05-12,18.363265195527
2010-05-13,17.81188778104
2010-05-14,17.084708872079
2010-05-17,17.132654734208
2010-05-18,16.549313411635
2010-05-19,16.405475825247
2010-05-20,15.297323273174
2010-05-21,16.052151823137
2010-05-24,15.377624182745
2010-05-25,15.618526911456
2010-05-26,15.698827821027
2010-05-27,16.790920191185
2010-05-28,16.566077644388
2010-06-01,16.429566098118
2010-06-02,16.895311373627
2010-06-03,17.096063647553
2010-06-04,15.875489822082
2010-06-07,15.722918093898
2010-06-08,16.172603187493
2010-06-09,16.405475825247
2010-06-10,17.473477922534
2010-06-11,17.682260287417
2010-06-14,17.569839014019
2010-06-15,17.939223198043
2010-06-16,17.883012561344
2010-06-17,18.019524107613
2010-06-18,17.86695237943
2010-06-21,17.569839014019
2010-06-22,16.686529008744
2010-06-23,16.863191009799
2010-06-24,16.405475825247
2010-06-25,17.015762737983
2010-06-28,16.823040555013
2010-06-29,15.931700458781
2010-06-30,15.5542861838
2010-07-01,15.498075547101
2010-07-02,15.048390453506
2010-07-06,14.791427542881
2010-07-07,15.69079773007
2010-07-08,15.987911095481
2010-07-09,16.293054551848
2010-07-12,16.405475825247
2010-07-13,16.975612283197
2010-07-14,16.879251191713
2010-07-15,16.766829918314
2010-07-16,16.148512914621
2010-07-19,16.437596189075
2010-07-20,16.823040555013
2010-07-21,16.493806825774
2010-07-22,17.393177012964
2010-07-23,17.055913192768
2010-07-26,17.601959377847
2010-07-27,17.441357558706
2010-07-28,17.513628377319
2010-07-29,17.120153920424
2010-07-30,17.24060528478
2010-08-02,18.003463925699
2010-08-03,17.537718650191
2010-08-04,17.465447831577
2010-08-05,17.272725648608
2010-08-06,17.112123829467
2010-08-09,17.393177012964
2010-08-10,17.184394648081
2010-08-11,16.541987371517
2010-08-12,16.276994369934
2010-08-13,16.268964278977
2010-08-16,16.18063327845
2010-08-17,16.413505916204
2010-08-18,16.405475825247
2010-08-19,16.010065930787
2010-08-20,15.90516126491
2010-08-23,15.808326188716
2010-08-24,15.816395778398
2010-08-25,16.106901006981
2010-08-26,16.01813552047
2010-08-27,16.211805672858
2010-08-30,16.139179365713
2010-08-31,16.494241311758
2010-09-01,17.180156434801
2010-09-02,17.519079201481
2010-09-03,17.833793199113
2010-09-07,17.478731253067
2010-09-08,17.583635918944
2010-09-09,17.559427149895
2010-09-10,17.849932378478
2010-09-13,18.156576786427
2010-09-14,18.043602530867
2010-09-15,18.043602530867
2010-09-16,17.954837044355
2010-09-17,17.898349916575
2010-09-20,18.293759811035
2010-09-21,18.05167212055
2010-09-22,17.761166891967
2010-09-23,17.188226024484
2010-09-24,17.720818943553
2010-09-27,17.333478638775
2010-09-28,17.446452894335
2010-09-29,17.20436520385
2010-09-30,17.252782741947
2010-10-01,17.37382658719
2010-10-04,17.454522484018
2010-10-05,17.946767454673
2010-10-06,17.962906634038
2010-10-07,18.059741710233
2010-10-08,18.213063914207
2010-10-11,18.237272683255
2010-10-12,18.551986680887
2010-10-13,18.471290784058
2010-10-14,18.358316528498
2010-10-15,18.253411862621
