Date,A
2010-01-04,21.354133474467
2010-01-05,21.122171641198
2010-01-06,21.047125165729
2010-01-07,21.019835538285
2010-01-08,21.013013131425
2010-01-11,21.026657945146
2010-01-12,20.774228891295
2010-01-13,20.937966655955
2010-01-14,21.251797371554
2010-01-15,20.760584077573
2010-01-19,21.013013131425
2010-01-20,20.89703221479
2010-01-21,20.821985739321
2010-01-22,19.900960813106
2010-01-25,20.09198820521
2010-01-26,19.982829695436
2010-01-27,19.900960813106
2010-01-28,19.573485283785
2010-01-29,19.123206430969
2010-02-01,19.873671185662
2010-02-02,20.126100239514
2010-02-03,20.153389866957
2010-02-04,19.832736744497
2010-02-05,19.900960813106
2010-02-08,19.921428033688
2010-02-09,20.064698577766
2010-02-10,19.955540067993
2010-02-11,20.030586543462
2010-02-12,20.453575768835
2010-02-16,20.637780754078
2010-02-17,20.89703221479
2010-02-18,21.13581645492
2010-02-19,21.285909405859
2010-02-22,21.251797371554
2010-02-23,21.047125165729
2010-02-24,21.306376626441
2010-02-25,21.210862930389
2010-02-26,21.463291984241
2010-03-01,21.893103616475
2010-03-02,22.077308601718
2010-03-03,22.131887856604
2010-03-04,22.009084533109
2010-03-05,22.623101150586
2010-03-08,22.513942640812
2010-03-09,22.698147626055
2010-03-10,22.964221493628
2010-03-11,22.909642238742
2010-03-12,22.800483728968
2010-03-15,22.725437253499
2010-03-16,22.800483728968
2010-03-17,22.773194101524
2010-03-18,22.827773356411
2010-03-19,22.800483728968
2010-03-22,23.005155934793
2010-03-23,23.271229802367
2010-03-24,23.127959258289
2010-03-25,23.571415704244
2010-03-26,23.407677939584
2010-03-29,23.469079601331
2010-03-30,23.61917255227
2010-03-31,23.462257194471
2010-04-01,23.571415704244
2010-04-05,23.755620689487
2010-04-06,23.578238111105
2010-04-07,23.394033125862
2010-04-08,23.189360920036
2010-04-09,23.353098684697
2010-04-12,23.339453870975
2010-04-13,23.127959258289
2010-04-14,23.475902008192
2010-04-15,24.308235645216
2010-04-16,24.062628998226
2010-04-19,23.987582522756
2010-04-20,24.758514498032
2010-04-21,24.649355988259
2010-04-22,24.860850600945
2010-04-23,24.997298738162
2010-04-26,25.120102061658
2010-04-27,24.710757650006
2010-04-28,24.997298738162
2010-04-29,25.399820742953
2010-04-30,24.73804727745
2010-05-03,25.085990027353
2010-05-04,24.124030659973
2010-05-05,23.714686248322
2010-05-06,22.704970032916
2010-05-07,21.743010665536
2010-05-10,23.325809057253
2010-05-11,23.243940174923
2010-05-12,23.748798282626
2010-05-13,23.728331062044
2010-05-14,23.100669630845
2010-05-17,23.325809057253
2010-05-18,21.879458802753
2010-05-19,22.234223959517
2010-05-20,21.176750896085
2010-05-21,21.381423101911
2010-05-24,21.422357543076
2010-05-25,21.313199033302
2010-05-26,21.483759204823
2010-05-27,22.343382469291
2010-05-28,22.077308601718
2010-06-01,21.476936797963
2010-06-02,21.981794905666
2010-06-03,22.104598229161
2010-06-04,20.695771212395
2010-06-07,20.535444651165
2010-06-08,20.358062072783
2010-06-09,20.139745053236
2010-06-10,20.774228891295
2010-06-11,20.965256283399
2010-06-14,21.463291984241
2010-06-15,21.968150091944
2010-06-16,22.261513586961
2010-06-17,22.152355077187
2010-06-18,22.247868773239
2010-06-21,22.125065449744
2010-06-22,21.845346768449
2010-06-23,21.811234734144
2010-06-24,20.985723503981
2010-06-25,20.937966655955
2010-06-28,20.862920180486
2010-06-29,19.928250440549
2010-06-30,19.396102705403
2010-07-01,19.29376660249
2010-07-02,18.959468666308
2010-07-06,18.932179038865
2010-07-07,19.491616401455
2010-07-08,19.655354166115
2010-07-09,19.546195656341
2010-07-12,19.239187347603
2010-07-13,19.61441972495
2010-07-14,19.573485283785
2010-07-15,19.37563548482
2010-07-16,18.440965744883
2010-07-19,18.788908494787
2010-07-20,18.775263681065
2010-07-21,18.81619812223
2010-07-22,19.593952504367
2010-07-23,19.989652102297
2010-07-26,20.221613935566
2010-07-27,19.69628860728
2010-07-28,19.634886945532
2010-07-29,19.205075313299
2010-07-30,19.05498236236
2010-08-02,19.662176572976
2010-08-03,18.993580700612
2010-08-04,19.300589009351
2010-08-05,19.416569925985
2010-08-06,19.600774911228
2010-08-09,20.344417259061
2010-08-10,20.09881061207
2010-08-11,19.252832161325
2010-08-12,18.782086087926
2010-08-13,18.659282764431
2010-08-16,18.529657034074
2010-08-17,19.976007288575
2010-08-18,20.085165798349
2010-08-19,19.471149180872
2010-08-20,19.484793994594
2010-08-23,19.075449582943
2010-08-24,18.666105171291
2010-08-25,18.8912445977
2010-08-26,18.768441274204
2010-08-27,19.075449582943
2010-08-30,18.884422190839
2010-08-31,18.400031303718
2010-09-01,19.300589009351
2010-09-02,19.928250440549
2010-09-03,20.364884479644
2010-09-07,19.77815748961
2010-09-08,19.675821386698
2010-09-09,19.737223048445
2010-09-10,19.723578234724
2010-09-13,19.873671185662
2010-09-14,19.900960813106
2010-09-15,20.064698577766
2010-09-16,20.49451021
2010-09-17,20.842452959903
2010-09-20,21.169928489224
2010-09-21,21.251797371554
2010-09-22,20.985723503981
2010-09-23,20.849275366764
2010-09-24,21.893103616475
2010-09-27,21.831701954727
2010-09-28,22.063663787996
2010-09-29,22.227401552656
2010-09-30,22.766371694664
2010-10-01,23.011978341654
2010-10-04,22.234223959517
2010-10-05,22.541232268255
2010-10-06,22.288803214404
2010-10-07,22.650390778029
2010-10-08,23.05973518968
2010-10-11,23.025623155376
2010-10-12,22.97786630735
2010-10-13,23.407677939584
2010-10-14,23.353098684697
2010-10-15,23.523658856218
