Date,AME
2010-01-04,16.325925821694
2010-01-05,16.254024075847
2010-01-06,16.270942133693
2010-01-07,16.313237278309
2010-01-08,16.630450862927
2010-01-11,16.727729695544
2010-01-12,16.385139024156
2010-01-13,16.431663683233
2010-01-14,16.435893197695
2010-01-15,16.258253590308
2010-01-19,16.359761937386
2010-01-20,16.207499416769
2010-01-21,16.15674524323
2010-01-22,15.805695542919
2010-01-25,15.704187195842
2010-01-26,15.505400016147
2010-01-27,15.310842350915
2010-01-28,15.420809726916
2010-01-29,15.412350697993
2010-02-01,15.547695160763
2010-02-02,15.771859427227
2010-02-03,15.733793797073
2010-02-04,15.293924293068
2010-02-05,15.348907981069
2010-02-08,15.344678466607
2010-02-09,15.551924675225
2010-02-10,15.522318073994
2010-02-11,15.754941369381
2010-02-12,15.924121947844
2010-02-16,16.084843497384
2010-02-17,16.055236896153
2010-02-18,16.228646989077
2010-02-19,16.418975139848
2010-02-22,16.440122712156
2010-02-23,16.135597670923
2010-02-24,16.15674524323
2010-02-25,16.410516110925
2010-02-26,16.512024458003
2010-03-01,16.727729695544
2010-03-02,16.82500852816
2010-03-03,16.977271048777
2010-03-04,16.867303672776
2010-03-05,16.896910274007
2010-03-08,16.803860955852
2010-03-09,16.82500852816
2010-03-10,16.896910274007
2010-03-11,16.934975904161
2010-03-12,16.977271048777
2010-03-15,16.918057846315
2010-03-16,16.854519822355
2010-03-17,16.820632876243
2010-03-18,16.786745930131
2010-03-19,16.740151379228
2010-03-22,16.858755690619
2010-03-23,17.01971868465
2010-03-24,16.951944792426
2010-03-25,16.803689403187
2010-03-26,16.909586109787
2010-03-29,17.218804493057
2010-03-30,17.578853295495
2010-03-31,17.561909822439
2010-04-01,17.735580421262
2010-04-05,17.794882576957
2010-04-06,17.892307547029
2010-04-07,17.833005391333
2010-04-08,17.943137966197
2010-04-09,17.977024912308
2010-04-12,17.993968385364
2010-04-13,17.981260780572
2010-04-14,18.027855331476
2010-04-15,17.849948864389
2010-04-16,17.70169347515
2010-04-19,17.608504373343
2010-04-20,17.655098924246
2010-04-21,18.180346588979
2010-04-22,18.269299822523
2010-04-23,18.438734553082
2010-04-26,18.32013024169
2010-04-27,18.273535690787
2010-04-28,18.459913894401
2010-04-29,18.667471439336
2010-04-30,18.32013024169
2010-05-03,18.654763834544
2010-05-04,18.214233535091
2010-05-05,17.782174972165
2010-05-06,17.244219702641
2010-05-07,17.036662157706
2010-05-10,18.036327068004
2010-05-11,18.065978145852
2010-05-12,18.413319343498
2010-05-13,18.366724792594
2010-05-14,18.248120481203
2010-05-17,18.265063954259
2010-05-18,18.01091185842
2010-05-19,17.574617427231
2010-05-20,17.256927307433
2010-05-21,17.189153415209
2010-05-24,17.159502337361
2010-05-25,17.125615391249
2010-05-26,16.973124133746
2010-05-27,17.544966349383
2010-05-28,17.197625151737
2010-06-01,17.032426289442
2010-06-02,17.591560900287
2010-06-03,17.756759762582
2010-06-04,17.015482816386
2010-06-07,16.740151379228
2010-06-08,16.833340481035
2010-06-09,16.909586109787
2010-06-10,17.337408804448
2010-06-11,17.536494612855
2010-06-14,17.688985870358
2010-06-15,17.947745615704
2010-06-16,17.98592328305
2010-06-17,17.973197393935
2010-06-18,18.019858987358
2010-06-21,17.98592328305
2010-06-22,17.731405500743
2010-06-23,17.701711759473
2010-06-24,17.421742198935
2010-06-25,17.515065385781
2010-06-28,17.578694831358
2010-06-29,17.175708342705
2010-06-30,17.031481599397
2010-07-01,17.010271784205
2010-07-02,17.18843423182
2010-07-06,17.124804786243
2010-07-07,17.565968942243
2010-07-08,17.748373352896
2010-07-09,18.019858987358
2010-07-12,17.956229541781
2010-07-13,18.350732104357
2010-07-14,18.393151734742
2010-07-15,18.274376769665
2010-07-16,17.744131389858
2010-07-19,17.935019726588
2010-07-20,18.130150026357
2010-07-21,18.660395406164
2010-07-22,18.902187299356
2010-07-23,19.190640785971
2010-07-26,19.555449607278
2010-07-27,18.991268523164
2010-07-28,18.897945336318
2010-07-29,18.72826681478
2010-07-30,18.779170371241
2010-08-02,19.025204227471
2010-08-03,18.991268523164
2010-08-04,19.173672933817
2010-08-05,19.254270231548
2010-08-06,19.292447898894
2010-08-09,19.521513902971
2010-08-10,19.25002826851
2010-08-11,18.668879332241
2010-08-12,18.418603512972
2010-08-13,18.350732104357
2010-08-16,18.39739369778
2010-08-17,18.770686445164
2010-08-18,18.715540925664
2010-08-19,18.376183882588
2010-08-20,18.291344621819
2010-08-23,18.155601804588
2010-08-24,17.977439356973
2010-08-25,18.007133098242
2010-08-26,18.202263398011
2010-08-27,18.550104367164
2010-08-30,18.138633952434
2010-08-31,18.236199102319
2010-09-01,18.749476629972
2010-09-02,18.948848892779
2010-09-03,19.317899677125
2010-09-07,18.999752449241
2010-09-08,19.101559562164
2010-09-09,19.02944619051
2010-09-10,19.118527414317
2010-09-13,19.377287159663
2010-09-14,19.402738937894
2010-09-15,19.538660051294
2010-09-16,19.483442098975
2010-09-17,19.542907586088
2010-09-20,19.780769534539
2010-09-21,19.72555158222
2010-09-22,19.5344125165
2010-09-23,19.2625702897
2010-09-24,19.772274464951
2010-09-27,19.802007208507
2010-09-28,20.252245896646
2010-09-29,20.158800131183
2010-09-30,20.29047370979
2010-10-01,20.39241454484
2010-10-04,20.307463848965
2010-10-05,20.910613789679
2010-10-06,20.600543749734
2010-10-07,20.507097984271
2010-10-08,20.490107845096
2010-10-11,20.651514167259
2010-10-12,20.715227189166
2010-10-13,21.144228203335
2010-10-14,20.897871185297
2010-10-15,20.800177885041
