Date,AEE
2010-01-04,19.464403517877
2010-01-05,19.38727511777
2010-01-06,19.254053335767
2010-01-07,19.071749844606
2010-01-08,18.938528062603
2010-01-11,19.092784862817
2010-01-12,19.071749844606
2010-01-13,19.197959953871
2010-01-14,19.268076681241
2010-01-15,19.169913262923
2010-01-19,19.415321808718
2010-01-20,19.050714826395
2010-01-21,18.59495609849
2010-01-22,18.076092315953
2010-01-25,18.167244061534
2010-01-26,18.216325770693
2010-01-27,18.22333744343
2010-01-28,18.041033952268
2010-01-29,17.914823843003
2010-02-01,17.872753806581
2010-02-02,18.069080643216
2010-02-03,17.956893879425
2010-02-04,17.515158496994
2010-02-05,17.431018424151
2010-02-08,17.122504823723
2010-02-09,17.2697499512
2010-02-10,17.115493150986
2010-02-11,17.2697499512
2010-02-12,17.220668242041
2010-02-16,17.592286897101
2010-02-17,17.809648751948
2010-02-18,17.977928897636
2010-02-19,17.984940570373
2010-02-22,17.816660424685
2010-02-23,17.732520351841
2010-02-24,17.627345260786
2010-02-25,17.578263551627
2010-02-26,17.325843333096
2010-03-01,17.557228533416
2010-03-02,17.760567042789
2010-03-03,17.830683770159
2010-03-04,17.942870533951
2010-03-05,18.188279079745
2010-03-08,18.149714879692
2010-03-09,18.19953762642
2010-03-10,18.19953762642
2010-03-11,18.334770796112
2010-03-12,18.156832414939
2010-03-15,18.142597344445
2010-03-16,18.149714879692
2010-03-17,18.27071297889
2010-03-18,18.505591642039
2010-03-19,18.534061783026
2010-03-22,18.377476007594
2010-03-23,18.420181219075
2010-03-24,18.149714879692
2010-03-25,18.000246639506
2010-03-26,18.242242837902
2010-03-29,18.45576889531
2010-03-30,18.569649459261
2010-03-31,18.562531924014
2010-04-01,18.825880728151
2010-04-05,18.847233333892
2010-04-06,18.96823143309
2010-04-07,18.832998263398
2010-04-08,18.697765093706
2010-04-09,18.868585939633
2010-04-12,19.025171715065
2010-04-13,18.925526221608
2010-04-14,18.96823143309
2010-04-15,18.96823143309
2010-04-16,18.754705375681
2010-04-19,18.719117699447
2010-04-20,19.003819109324
2010-04-21,19.15328734951
2010-04-22,18.961113897843
2010-04-23,19.089229532288
2010-04-26,18.98958403883
2010-04-27,18.61947220599
2010-04-28,18.840115798645
2010-04-29,18.761822910928
2010-04-30,18.477121501051
2010-05-03,18.341888331359
2010-05-04,18.249360373149
2010-05-05,18.142597344445
2010-05-06,17.551841918949
2010-05-07,17.22443529759
2010-05-10,17.936188822284
2010-05-11,17.964658963271
2010-05-12,18.149714879692
2010-05-13,17.986011569012
2010-05-14,17.857895934567
2010-05-17,17.907718681296
2010-05-18,17.815190723086
2010-05-19,17.580312059937
2010-05-20,17.181730086108
2010-05-21,17.181730086108
2010-05-24,17.053614451663
2010-05-25,16.897028676231
2010-05-26,17.018026775429
2010-05-27,17.373903537776
2010-05-28,17.551841918949
2010-06-01,17.06073198691
2010-06-02,17.48066656648
2010-06-03,17.694192623888
2010-06-04,17.146142409874
2010-06-07,17.277816811942
2010-06-08,17.350139192904
2010-06-09,17.212726669076
2010-06-10,17.538177383407
2010-06-11,17.444158288156
2010-06-14,17.473087240541
2010-06-15,17.986576145374
2010-06-16,18.239704478743
2010-06-17,18.485600574016
2010-06-18,18.471136097823
2010-06-21,18.312026859706
2010-06-22,17.820234669161
2010-06-23,17.588803050081
2010-06-24,17.516480669118
2010-06-25,17.545409621503
2010-06-28,17.682822145332
2010-06-29,17.306745764327
2010-06-30,17.191029954787
2010-07-01,17.060849669054
2010-07-02,17.125939811921
2010-07-06,17.328442478616
2010-07-07,17.856395859642
2010-07-08,17.935950478701
2010-07-09,18.008272859663
2010-07-12,18.029969573952
2010-07-13,18.131220907299
2010-07-14,18.109524193011
2010-07-15,18.138453145396
2010-07-16,17.791305716776
2010-07-19,18.181846573973
2010-07-20,18.095059716818
2010-07-21,17.849163621546
2010-07-22,18.131220907299
2010-07-23,18.290330145417
2010-07-26,18.550690716882
2010-07-27,18.890605907406
2010-07-28,18.948463812176
2010-07-29,18.659174288326
2010-07-30,18.348188050187
2010-08-02,18.738728907384
2010-08-03,18.883373669309
2010-08-04,18.919534859791
2010-08-05,19.555971812261
2010-08-06,19.671687621801
2010-08-09,19.751242240859
2010-08-10,19.975441621843
2010-08-11,19.541507336068
2010-08-12,19.324540193181
2010-08-13,19.946512669458
2010-08-16,20.315356812367
2010-08-17,20.228569955212
2010-08-18,19.953744907554
2010-08-19,19.606597478934
2010-08-20,19.628294193223
2010-08-23,20.004370574228
2010-08-24,20.279195621886
2010-08-25,20.206873240923
2010-08-26,20.069460717094
2010-08-27,20.445537098099
2010-08-30,19.968209383747
2010-08-31,20.300892336174
2010-09-01,20.893935860067
2010-09-02,20.582949621928
2010-09-03,20.720362145757
2010-09-07,20.608262455265
2010-09-08,20.315010766112
2010-09-09,20.337004642798
2010-09-10,20.373661103942
2010-09-13,20.586268578579
2010-09-14,20.63758762418
2010-09-15,20.380992396171
2010-09-16,20.205041382679
2010-09-17,20.102403291475
2010-09-20,20.241697843823
2010-09-21,20.190378798221
2010-09-22,20.3883236884
2010-09-23,20.095071999246
2010-09-24,20.498293071833
2010-09-27,20.710900546469
2010-09-28,20.798876053215
2010-09-29,20.850195098817
2010-09-30,20.820869929901
2010-10-01,21.106790326826
2010-10-04,21.011483527851
2010-10-05,21.290072632547
2010-10-06,21.20942841803
2010-10-07,21.378048139293
2010-10-08,21.392710723751
2010-10-11,21.392710723751
2010-10-12,21.194765833572
2010-10-13,21.187434541343
2010-10-14,21.092127742368
2010-10-15,21.172771956886
