Date,AMGN
2010-01-04,50.496640278325
2010-01-05,50.063289227047
2010-01-06,49.687070870395
2010-01-07,49.232109136769
2010-01-08,49.669572342178
2010-01-11,49.888303944883
2010-01-12,49.022126798172
2010-01-13,49.459590003582
2010-01-14,49.135867231579
2010-01-15,49.214610608553
2010-01-19,50.352014942617
2010-01-20,50.04579069883
2010-01-21,49.547082644664
2010-01-22,49.520834852339
2010-01-25,48.74215034671
2010-01-26,49.503336324123
2010-01-27,50.518250960672
2010-01-28,50.815725940351
2010-01-29,51.165696504678
2010-02-01,51.375678843275
2010-02-02,51.821891312792
2010-02-03,51.681903087061
2010-02-04,50.334516414401
2010-02-05,50.465755376023
2010-02-08,50.273271565643
2010-02-09,50.054539962939
2010-02-10,49.730817190936
2010-02-11,49.434217137668
2010-02-12,49.415843683041
2010-02-16,49.862056152558
2010-02-17,50.04579069883
2010-02-18,50.107035547588
2010-02-19,50.203277452778
2010-02-22,49.958298057748
2010-02-23,49.328351041959
2010-02-24,49.643324549854
2010-02-25,49.214610608553
2010-02-26,49.529584116447
2010-03-01,49.783312775585
2010-03-02,49.75706498326
2010-03-03,49.783312775585
2010-03-04,49.669572342178
2010-03-05,50.080787755263
2010-03-08,50.404510527266
2010-03-09,50.535749488889
2010-03-10,50.553248017105
2010-03-11,50.299519357968
2010-03-12,50.247023773319
2010-03-15,49.774563511477
2010-03-16,50.23827450921
2010-03-17,50.247023773319
2010-03-18,51.016959014839
2010-03-19,52.495584649123
2010-03-22,52.574328026096
2010-03-23,52.548080233772
2010-03-24,51.681903087061
2010-03-25,51.848139105117
2010-03-26,51.97937806674
2010-03-29,52.416841272149
2010-03-30,52.574328026096
2010-03-31,52.353409107365
2010-04-01,53.195525777778
2010-04-05,52.863053741667
2010-04-06,52.74931330826
2010-04-07,52.801808892909
2010-04-08,52.950546382748
2010-04-09,53.28301841886
2010-04-12,52.819307421126
2010-04-13,53.090534608479
2010-04-14,53.493000757456
2010-04-15,53.055537552047
2010-04-16,53.125531664912
2010-04-19,53.431755908699
2010-04-20,52.65307140307
2010-04-21,51.366929579167
2010-04-22,50.885720053216
2010-04-23,51.515667069006
2010-04-26,51.121950184137
2010-04-27,50.605743601754
2010-04-28,50.903218581433
2010-04-29,51.261938409868
2010-04-30,50.14203260402
2010-05-03,50.38701199905
2010-05-04,49.722067926827
2010-05-05,49.520834852339
2010-05-06,47.902220992324
2010-05-07,47.648492333187
2010-05-10,48.628409913304
2010-05-11,48.934634157091
2010-05-12,49.520834852339
2010-05-13,48.89088783655
2010-05-14,47.849725407675
2010-05-17,47.954716576974
2010-05-18,47.832226879459
2010-05-19,48.348433461842
2010-05-20,46.318604188743
2010-05-21,45.881140983333
2010-05-24,46.073624793713
2010-05-25,45.977382888523
2010-05-26,44.06129404883
2010-05-27,44.997465308406
2010-05-28,45.303689552193
2010-06-01,44.411264613158
2010-06-02,49.074622382822
2010-06-03,48.680905497953
2010-06-04,47.543501163889
2010-06-07,46.817312242909
2010-06-08,47.088539430263
2010-06-09,46.502338735015
2010-06-10,47.254775448319
2010-06-11,47.333518825292
2010-06-14,47.307271032968
2010-06-15,48.225943764327
2010-06-16,48.313436405409
2010-06-17,48.505920215789
2010-06-18,48.295937877193
2010-06-21,49.450840739474
2010-06-22,49.100870175146
2010-06-23,49.170864288012
2010-06-24,49.127117967471
2010-06-25,49.223359872661
2010-06-28,48.479672423465
2010-06-29,47.351017353509
2010-06-30,46.021129209064
2010-07-01,45.513671890789
2010-07-02,45.233695439327
2010-07-06,44.883724875
2010-07-07,44.966842884028
2010-07-08,45.697406437061
2010-07-09,45.986132152632
2010-07-12,45.881140983333
2010-07-13,46.161117434795
2010-07-14,46.038627737281
2010-07-15,46.301105660526
2010-07-16,45.644910852412
2010-07-19,46.89255591424
2010-07-20,46.546085055555
2010-07-21,45.714904965278
2010-07-22,46.642326960746
2010-07-23,46.152368170687
2010-07-26,46.95730046864
2010-07-27,47.692238653728
2010-07-28,47.036043845614
2010-07-29,46.694822545395
2010-07-30,47.709737181944
2010-08-02,48.007212161623
2010-08-03,47.867223935892
2010-08-04,48.785896667251
2010-08-05,48.400929046491
2010-08-06,48.943383421199
2010-08-09,48.69840402617
2010-08-10,48.750899610819
2010-08-11,46.974798996857
2010-08-12,47.902220992324
2010-08-13,48.138451123246
2010-08-16,47.316020297076
2010-08-17,47.206654495724
2010-08-18,47.368515881725
2010-08-19,46.126120378363
2010-08-20,45.793648342251
2010-08-23,45.452427042032
2010-08-24,44.673742536403
2010-08-25,45.356185136842
2010-08-26,44.560002102997
2010-08-27,45.566167475439
2010-08-30,45.17245059057
2010-08-31,44.656244008187
2010-09-01,46.012379944956
2010-09-02,45.942385832091
2010-09-03,46.292356396418
2010-09-07,45.942385832091
2010-09-08,46.318604188743
2010-09-09,47.062291637939
2010-09-10,47.552250427997
2010-09-13,47.595996748538
2010-09-14,47.696613285782
2010-09-15,48.383430518275
2010-09-16,48.208445236111
2010-09-17,48.313436405409
2010-09-20,48.94347091384
2010-09-21,48.777147403143
2010-09-22,49.232109136769
2010-09-23,48.750899610819
2010-09-24,49.27585545731
2010-09-27,48.724651818494
2010-09-28,48.995879005848
2010-09-29,48.06845701038
2010-09-30,48.217194500219
2010-10-01,48.567165064547
2010-10-04,48.16469891557
2010-10-05,49.100870175146
2010-10-06,48.847141516009
2010-10-07,48.960881949415
2010-10-08,49.337100306067
2010-10-11,49.08337164693
2010-10-12,48.943383421199
2010-10-13,48.54966653633
2010-10-14,47.998462897515
2010-10-15,49.617076757529
