Date,APD
2010-01-04,67.530797440908
2010-01-05,66.970476971521
2010-01-06,66.418277088647
2010-01-07,66.036609522543
2010-01-08,66.458880021211
2010-01-11,67.67696799814
2010-01-12,66.816185827777
2010-01-13,67.482073921831
2010-01-14,66.645653511007
2010-01-15,67.214094566907
2010-01-19,67.059803423163
2010-01-20,66.166538906748
2010-01-21,64.851003891666
2010-01-22,63.397418905865
2010-01-25,65.17582735218
2010-01-26,64.623627469306
2010-01-27,64.03894524038
2010-01-28,62.560998495041
2010-01-29,61.683975151652
2010-02-01,62.374225005245
2010-02-02,62.219933861501
2010-02-03,61.870748641448
2010-02-04,59.840602013234
2010-02-05,55.739705824242
2010-02-08,55.504208815369
2010-02-09,55.179385354855
2010-02-10,55.398641190702
2010-02-11,55.544811747933
2010-02-12,55.6503793726
2010-02-16,57.177049637017
2010-02-17,56.990276147222
2010-02-18,56.803502657426
2010-02-19,56.551764475527
2010-02-22,56.779140897887
2010-02-23,56.90094969558
2010-02-24,56.738537965323
2010-02-25,56.015805765679
2010-02-26,55.690982305165
2010-03-01,56.16197632291
2010-03-02,57.388184886351
2010-03-03,57.916023009687
2010-03-04,58.37889644092
2010-03-05,59.68631086949
2010-03-08,60.254751925389
2010-03-09,60.279113684928
2010-03-10,60.417163655647
2010-03-11,60.628298904981
2010-03-12,60.547093039852
2010-03-15,60.189787233287
2010-03-16,60.806951808264
2010-03-17,60.538972453339
2010-03-18,60.709504770109
2010-03-19,60.449646001698
2010-03-22,60.912519432931
2010-03-23,61.342910518112
2010-03-24,60.750107702674
2010-03-25,59.848722599747
2010-03-26,60.352198963544
2010-03-29,60.335957790518
2010-03-30,60.563334212878
2010-03-31,60.448894115837
2010-04-01,60.38349977467
2010-04-05,60.628728554045
2010-04-06,61.004746015752
2010-04-07,60.538811334941
2010-04-08,60.571508505524
2010-04-09,61.601469378897
2010-04-12,61.585120793605
2010-04-13,61.266323380419
2010-04-14,62.132798400875
2010-04-15,62.737696056666
2010-04-16,62.149146986167
2010-04-19,62.002009718542
2010-04-20,62.500641569937
2010-04-21,62.672301715499
2010-04-22,63.203630737478
2010-04-23,64.756746340184
2010-04-26,64.576911901975
2010-04-27,63.285373663936
2010-04-28,63.808528393268
2010-04-29,63.784005515331
2010-04-30,62.762218934604
2010-05-03,62.950227665457
2010-05-04,61.119186112794
2010-05-05,60.604205676107
2010-05-06,59.083787243985
2010-05-07,58.021129200028
2010-05-10,59.337190316005
2010-05-11,58.58515539259
2010-05-12,59.320841730713
2010-05-13,58.421669539673
2010-05-14,56.868553936968
2010-05-17,57.694157494195
2010-05-18,57.260919983967
2010-05-19,56.721416669343
2010-05-20,53.958505755056
2010-05-21,54.718714971117
2010-05-24,53.925808584472
2010-05-25,55.053860969596
2010-05-26,56.059298965031
2010-05-27,57.775900420654
2010-05-28,56.451665012031
2010-06-01,55.111081018116
2010-06-02,56.500710767906
2010-06-03,56.378096378218
2010-06-04,54.39991755793
2010-06-07,53.623359756577
2010-06-08,54.612449166721
2010-06-09,55.176475359283
2010-06-10,56.329050622343
2010-06-11,56.754113839926
2010-06-14,56.418967841447
2010-06-15,57.416231544237
2010-06-16,57.661460323612
2010-06-17,57.751377542716
2010-06-18,58.478889588194
2010-06-21,58.160092175007
2010-06-22,57.399882958946
2010-06-23,56.402619256156
2010-06-24,55.029338091658
2010-06-25,56.059298965031
2010-06-28,55.413529846012
2010-06-29,53.958505755056
2010-06-30,53.373790567539
2010-07-01,53.530263645889
2010-07-02,53.50555737036
2010-07-06,54.139685108934
2010-07-07,55.786770144192
2010-07-08,56.643254362526
2010-07-09,57.43385517945
2010-07-12,56.964435944402
2010-07-13,58.413870775429
2010-07-14,57.862097288617
2010-07-15,57.911509839675
2010-07-16,57.087967322046
2010-07-19,57.087967322046
2010-07-20,58.282103972608
2010-07-21,57.689153359915
2010-07-22,58.96564426224
2010-07-23,59.369180095879
2010-07-26,59.953895283395
2010-07-27,59.599772000815
2010-07-28,59.715067953283
2010-07-29,59.863305606456
2010-07-30,59.772715929517
2010-08-02,61.757453397003
2010-08-03,62.325697734167
2010-08-04,63.165711102149
2010-08-05,63.462186408495
2010-08-06,62.770410693687
2010-08-09,63.412773857437
2010-08-10,63.355125881203
2010-08-11,62.095105829231
2010-08-12,61.51862606689
2010-08-13,62.325697734167
2010-08-16,62.506877088045
2010-08-17,63.182181952501
2010-08-18,63.437480132966
2010-08-19,62.25157890758
2010-08-20,61.773924247355
2010-08-23,61.510390641714
2010-08-24,60.810379501729
2010-08-25,60.571552171617
2010-08-26,60.579787596793
2010-08-27,61.288034161954
2010-08-30,60.695083549261
2010-08-31,60.966852580079
2010-09-01,61.559803192772
2010-09-02,63.569246935787
2010-09-03,64.269258075771
2010-09-07,63.725720014136
2010-09-08,64.063372446364
2010-09-09,64.195139249185
2010-09-10,64.195139249185
2010-09-13,64.878679538817
2010-09-14,66.056345339027
2010-09-15,67.019890084653
2010-09-16,67.324600816175
2010-09-17,67.695194949108
2010-09-20,68.395206089093
2010-09-21,68.354028963212
2010-09-22,68.502266616385
2010-09-23,68.304616412154
2010-09-24,69.342279984366
2010-09-27,69.062275528373
2010-09-28,69.152865205312
2010-09-29,68.634033419205
2010-09-30,68.609181023278
2010-10-01,68.774863662793
2010-10-04,67.987871125096
2010-10-05,69.752391235934
2010-10-06,69.60327686037
2010-10-07,68.269531612272
2010-10-08,68.509771439569
2010-10-11,68.368941195981
2010-10-12,68.41036185586
2010-10-13,68.68373821106
2010-10-14,68.012723521023
2010-10-15,67.64822171409
