Date,AES
2010-01-04,11.815758098374
2010-01-05,11.694748139795
2010-01-06,11.573738181217
2010-01-07,11.582381749687
2010-01-08,11.910837351543
2010-01-11,11.988629467773
2010-01-12,11.850332372254
2010-01-13,12.170144405641
2010-01-14,12.178787974111
2010-01-15,12.135570131761
2010-01-19,12.21336224799
2010-01-20,11.850332372254
2010-01-21,11.556451044277
2010-01-22,11.25392614783
2010-01-25,11.591025318156
2010-01-26,11.297143990179
2010-01-27,11.132916189251
2010-01-28,10.960044819853
2010-01-29,10.916826977503
2010-02-01,11.141559757721
2010-02-02,11.340361832529
2010-02-03,11.150203326191
2010-02-04,10.23398506838
2010-02-05,10.138905815211
2010-02-08,10.15619295215
2010-02-09,10.484648554007
2010-02-10,10.320420753079
2010-02-11,10.329064321549
2010-02-12,10.17348008909
2010-02-16,10.24262863685
2010-02-17,10.398212869308
2010-02-18,10.398212869308
2010-02-19,10.527866396357
2010-02-22,10.372282163898
2010-02-23,10.17348008909
2010-02-24,10.1994107945
2010-02-25,10.112975109801
2010-02-26,10.104331541331
2010-03-01,9.6548659808954
2010-03-02,9.7153709601848
2010-03-03,9.9573908773424
2010-03-04,9.7845195079441
2010-03-05,10.009252288162
2010-03-08,9.9314601719327
2010-03-09,9.8536680557035
2010-03-10,9.7326580971246
2010-03-11,10.026539425102
2010-03-12,10.078400835921
2010-03-15,10.000608719692
2010-03-16,10.268559342259
2010-03-17,10.16483652062
2010-03-18,9.9919651512221
2010-03-19,9.9055294665229
2010-03-22,9.7413016655946
2010-03-23,9.7067273917149
2010-03-24,9.5252124538467
2010-03-25,9.3004796736289
2010-03-26,9.386915358328
2010-03-29,9.7153709601848
2010-03-30,9.5684302961962
2010-03-31,9.5079253169068
2010-04-01,9.7672323710043
2010-04-05,10.026539425102
2010-04-06,10.20805436297
2010-04-07,9.8536680557035
2010-04-08,9.7499452340645
2010-04-09,9.7499452340645
2010-04-12,9.7499452340645
2010-04-13,9.7326580971246
2010-04-14,10.052470130512
2010-04-15,10.17348008909
2010-04-16,9.9919651512221
2010-04-19,9.9919651512221
2010-04-20,10.320420753079
2010-04-21,10.605658512586
2010-04-22,10.666163491875
2010-04-23,10.692094197285
2010-04-26,10.501935690947
2010-04-27,10.069757267451
2010-04-28,10.095687972861
2010-04-29,10.112975109801
2010-04-30,9.9746780142823
2010-05-03,10.424143574718
2010-05-04,10.035182993572
2010-05-05,9.5857174331361
2010-05-06,9.2572618312793
2010-05-07,8.5484892167462
2010-05-10,9.2054004204598
2010-05-11,9.3264103790386
2010-05-12,9.6030045700759
2010-05-13,9.4214896322077
2010-05-14,9.2140439889297
2010-05-17,8.9547369348323
2010-05-18,8.6435684699153
2010-05-19,8.4879842374568
2010-05-20,7.9693701292619
2010-05-21,8.3151128680585
2010-05-24,8.0817365193708
2010-05-25,8.3237564365284
2010-05-26,8.574419922156
2010-05-27,8.8423705447234
2010-05-28,8.876944818603
2010-06-01,8.1854593410098
2010-06-02,8.5139149428666
2010-06-03,8.6349249014454
2010-06-04,8.2978257311187
2010-06-07,8.3064692995886
2010-06-08,8.3842614158178
2010-06-09,8.470697100517
2010-06-10,8.9547369348323
2010-06-11,8.9720240717721
2010-06-14,8.9720240717721
2010-06-15,9.291836105159
2010-06-16,9.2054004204598
2010-06-17,9.1621825781102
2010-06-18,9.084390461881
2010-06-21,9.1103211672907
2010-06-22,8.7905091339039
2010-06-23,8.6608556068551
2010-06-24,8.366974278878
2010-06-25,8.5225585113365
2010-06-28,8.4447663951073
2010-06-29,7.9953008346717
2010-06-30,7.9866572662017
2010-07-01,7.857003739153
2010-07-02,7.8829344445628
2010-07-06,7.6927759382246
2010-07-07,8.5225585113365
2010-07-08,8.4620535320471
2010-07-09,8.8423705447234
2010-07-12,8.8596576816632
2010-07-13,8.8423705447234
2010-07-14,8.8250834077835
2010-07-15,8.8164398393136
2010-07-16,8.6262813329755
2010-07-19,8.7040734492047
2010-07-20,8.8596576816632
2010-07-21,8.6694991753251
2010-07-22,8.980667640242
2010-07-23,9.0411726195314
2010-07-26,9.0498161880013
2010-07-27,9.2572618312793
2010-07-28,9.1189647357607
2010-07-29,8.9374497978924
2010-07-30,8.9115190924827
2010-08-02,9.3004796736289
2010-08-03,9.0325290510615
2010-08-04,9.1103211672907
2010-08-05,9.2226875573996
2010-08-06,9.2054004204598
2010-08-09,9.5684302961962
2010-08-10,9.6462224124255
2010-08-11,9.1708261465801
2010-08-12,9.1535390096403
2010-08-13,9.1794697150501
2010-08-16,9.2140439889297
2010-08-17,9.4474203376174
2010-08-18,9.4214896322077
2010-08-19,9.1448954411704
2010-08-20,8.9893112087119
2010-08-23,9.0411726195314
2010-08-24,8.876944818603
2010-08-25,9.0152419141217
2010-08-26,8.9893112087119
2010-08-27,9.1621825781102
2010-08-30,8.9893112087119
2010-08-31,8.8510141131933
2010-09-01,9.2140439889297
2010-09-02,9.4474203376174
2010-09-03,9.6289352754857
2010-09-07,9.5079253169068
2010-09-08,9.5252124538467
2010-09-09,9.6030045700759
2010-09-10,9.5511431592564
2010-09-13,9.6462224124255
2010-09-14,9.6721531178352
2010-09-15,9.490638179967
2010-09-16,9.4214896322077
2010-09-17,9.4042024952679
2010-09-20,9.8363809187636
2010-09-21,9.8363809187636
2010-09-22,9.7240145286547
2010-09-23,9.5857174331361
2010-09-24,9.8104502133539
2010-09-27,9.8450244872335
2010-09-28,9.9228166034628
2010-09-29,9.8450244872335
2010-09-30,9.8104502133539
2010-10-01,9.9746780142823
2010-10-04,9.8277373502937
