Date,AEP
2010-01-04,25.004246211627
2010-01-05,24.717992677435
2010-01-06,24.968464519853
2010-01-07,25.183154670496
2010-01-08,25.483720881397
2010-01-11,25.748505400525
2010-01-12,25.490877219752
2010-01-13,25.805756107363
2010-01-14,25.90594484433
2010-01-15,25.769974415589
2010-01-19,26.077696964845
2010-01-20,26.134947671683
2010-01-21,25.841537799137
2010-01-22,25.347750452656
2010-01-25,25.490877219752
2010-01-26,25.483720881397
2010-01-27,25.426470174559
2010-01-28,25.090122271884
2010-01-29,24.796712399338
2010-02-01,24.760930707564
2010-02-02,25.090122271884
2010-02-03,24.832494091112
2010-02-04,24.152641947407
2010-02-05,24.073922225504
2010-02-08,23.780512352958
2010-02-09,24.055850399702
2010-02-10,23.925427114402
2010-02-11,23.968901542835
2010-02-12,23.874706947897
2010-02-16,24.418137303312
2010-02-17,24.309451232229
2010-02-18,24.287714018012
2010-02-19,24.613772231261
2010-02-22,24.381908612951
2010-02-23,24.432628779456
2010-02-24,24.570297802828
2010-02-25,24.403645827167
2010-02-26,24.360171398734
2010-03-01,24.592035017044
2010-03-02,24.722458302344
2010-03-03,24.613772231261
2010-03-04,24.570297802828
2010-03-05,24.816652897283
2010-03-08,24.765932730777
2010-03-09,24.722458302344
2010-03-10,24.744195516561
2010-03-11,24.794915683066
2010-03-12,24.7079668262
2010-03-15,24.918093230293
2010-03-16,25.193431277037
2010-03-17,25.229659967398
2010-03-18,25.186185538965
2010-03-19,25.012287825232
2010-03-22,24.693475350055
2010-03-23,24.852881587644
2010-03-24,24.628263707405
2010-03-25,24.563052064756
2010-03-26,24.700721088127
2010-03-29,24.903601754149
2010-03-30,24.93983044451
2010-03-31,24.765932730777
2010-04-01,24.990550611015
2010-04-05,24.860127325716
2010-04-06,24.852881587644
2010-04-07,24.693475350055
2010-04-08,24.606526493189
2010-04-09,24.831144373427
2010-04-12,24.693475350055
2010-04-13,24.686229611983
2010-04-14,24.563052064756
2010-04-15,24.468857469817
2010-04-16,24.439874517528
2010-04-19,24.490594684034
2010-04-20,24.599280755117
2010-04-21,24.599280755117
2010-04-22,24.621017969333
2010-04-23,24.650000921622
2010-04-26,24.461611731745
2010-04-27,24.157290732712
2010-04-28,24.287714018012
2010-04-29,24.519577636322
2010-04-30,24.852881587644
2010-05-03,25.041270777521
2010-05-04,24.352925660662
2010-05-05,24.179027946929
2010-05-06,23.62110611537
2010-05-07,23.430258147999
2010-05-10,24.325775533355
2010-05-11,24.333115839792
2010-05-12,24.648749016598
2010-05-13,24.443220436352
2010-05-14,24.223011243232
2010-05-17,24.215670936794
2010-05-18,23.929398985738
2010-05-19,23.716530099055
2010-05-20,23.004520374633
2010-05-21,23.092604051881
2010-05-24,22.894415778073
2010-05-25,22.732929036451
2010-05-26,22.769630568638
2010-05-27,23.48164029306
2010-05-28,23.459619373748
2010-06-01,22.90175608451
2010-06-02,23.378876002937
2010-06-03,23.606425502495
2010-06-04,22.843033633011
2010-06-07,23.070583132569
2010-06-08,23.283452019252
2010-06-09,23.298132632127
2010-06-10,23.988121437237
2010-06-11,23.819294389178
2010-06-14,23.789933163429
2010-06-15,24.523963807163
2010-06-16,24.722152080971
2010-06-17,24.957041886966
2010-06-18,25.00108372559
2010-06-21,24.861617903281
2010-06-22,24.443220436352
2010-06-23,24.017482662986
2010-06-24,24.017482662986
2010-06-25,24.215670936794
2010-06-28,24.450560742789
2010-06-29,23.995461743674
2010-06-30,23.709189792618
2010-07-01,23.650467341119
2010-07-02,23.775252550554
2010-07-06,24.413859210603
2010-07-07,25.228633225148
2010-07-08,25.522245482642
2010-07-09,25.573627627703
2010-07-12,25.595648547015
2010-07-13,25.522245482642
2010-07-14,25.588308240578
2010-07-15,25.896601110946
2010-07-16,25.514905176204
2010-07-19,25.970004175319
2010-07-20,26.366380722936
2010-07-21,25.881920498071
2010-07-22,26.27095673925
2010-07-23,26.278297045688
2010-07-26,26.54988838387
2010-07-27,26.887542479987
2010-07-28,26.872861867113
2010-07-29,26.498506238808
2010-07-30,26.41042256156
2010-08-02,26.623291448243
2010-08-03,26.608610835368
2010-08-04,26.417762867997
2010-08-05,26.726055738366
2010-08-06,26.718715431928
2010-08-09,26.622177549601
2010-08-10,26.934069169429
2010-08-11,26.362267866411
2010-08-12,26.250878002186
2010-08-13,26.377119848307
2010-08-16,26.533065658221
2010-08-17,26.555343631066
2010-08-18,26.154340119859
2010-08-19,25.872152463824
2010-08-20,25.857300481927
2010-08-23,26.072654219428
2010-08-24,26.295433947876
2010-08-25,26.23602602029
2010-08-26,26.139488137962
2010-08-27,26.518213676325
2010-08-30,26.117210165117
2010-08-31,26.295433947876
2010-09-01,26.815253314256
2010-09-02,26.629603540549
2010-09-03,26.822679305204
2010-09-07,26.859809259946
2010-09-08,26.792975341411
2010-09-09,26.993477097015
2010-09-10,27.201404843567
2010-09-13,27.253386780205
2010-09-14,27.045459033653
2010-09-15,26.867235250894
2010-09-16,26.733567413825
2010-09-17,26.644455522446
2010-09-20,26.986051106067
2010-09-21,26.740993404773
2010-09-22,27.052885024601
2010-09-23,26.807827323308
2010-09-24,27.104866961239
2010-09-27,27.134570925032
2010-09-28,27.268238762101
2010-09-29,27.075162997446
2010-09-30,26.904365205636
2010-10-01,26.896939214687
2010-10-04,26.882087232791
2010-10-05,26.986051106067
2010-10-06,26.92664317848
2010-10-07,26.770697368566
2010-10-08,26.874661241842
2010-10-11,26.948921151325
2010-10-12,26.629603540549
2010-10-13,26.607325567704
2010-10-14,26.577621603911
2010-10-15,26.689011468135
